"term","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",4.37984455295523,0.712359001895984,6.14836696286286,8.05813126758113e-10
"SPEI_timescaleSPEI_3",-0.00747022649528542,0.0883888824574466,-0.0845154536135451,0.932647920242392
"SPEI_timescaleSPEI_6",-0.0066455640217913,0.0883508527751075,-0.0752178820356973,0.9400425162353
"SPEI_timescaleSPEI_12",-0.00354813321306101,0.0882999169615856,-0.0401827468830419,0.967948050635474
"SPEI_timescaleSPEI_24",-0.00764265228432777,0.0883501699797889,-0.0865041039092072,0.931067028403032
"SPEI_timescaleSPEI_36",-0.0076924796024796,0.0882763221780059,-0.0871409163033323,0.930560847004336
"SPEI_timescaleSPEI_48",-0.0133750736653926,0.088420321487721,-0.151266964882615,0.879767478762903
"coast_regionPacific Coast",0.803190876942723,0.867100522076484,0.926294998668996,0.354309919526744
"coast_regionGulf Coast",3.4401138260821,1.42420299112034,2.4154659465895,0.0157288171739954
"coast_regionAK Coast",2.46056602921928,1.001796693566,2.45615307479269,0.0140563388162305
"water_classFreshwater",-1.28729172561532,0.875351520505449,-1.47059974816974,0.141423636581725
"water_classSaline",-1.1600899098102,0.922011358828567,-1.25821650536293,0.208336103906934
"month_f2",0.817171457517529,0.297899528728649,2.74311094416626,0.00609436389290744
"month_f3",0.146326197769394,0.28420281998953,0.51486539709488,0.606655851227923
"month_f4",0.0739455372518493,0.281873233845503,0.262336143957462,0.793066462579028
"month_f5",0.275669662160724,0.281608172437767,0.978912152209092,0.327641635036081
"month_f6",-0.305083044983574,0.282028703199321,-1.08174466471932,0.279386100803269
"month_f7",0.032741630976652,0.283091019397332,0.11565761092088,0.907925691779711
"month_f8",0.286878994757682,0.283422710328109,1.0121948040987,0.311463791058171
"month_f9",0.152254063602111,0.284607847781608,0.534960876127851,0.59268607708411
"month_f10",0.526100201208202,0.289290535208702,1.81858767286894,0.0689973990138049
"month_f11",0.318142532616014,0.850368641324175,0.37412307692886,0.708318862639663
"SPEI_timescaleSPEI_3:coast_regionPacific Coast",0.0118713211270078,0.148500482678964,0.0799412965725627,0.936285177631945
"SPEI_timescaleSPEI_6:coast_regionPacific Coast",0.00921344707319113,0.148580595381434,0.0620097600870323,0.950556014476587
"SPEI_timescaleSPEI_12:coast_regionPacific Coast",0.0143571979020431,0.148352396846188,0.0967776605384317,0.922904459379515
"SPEI_timescaleSPEI_24:coast_regionPacific Coast",0.0209165928375744,0.148614737630778,0.140743732223517,0.888074580008918
"SPEI_timescaleSPEI_36:coast_regionPacific Coast",0.0185093203395581,0.14833746117121,0.124778462523332,0.90070087118096
"SPEI_timescaleSPEI_48:coast_regionPacific Coast",0.0241716947564911,0.148423215636574,0.162856562922591,0.87063390762021
"SPEI_timescaleSPEI_3:coast_regionGulf Coast",0.363265752880933,0.300631641235265,1.20834171475867,0.226937866548655
"SPEI_timescaleSPEI_6:coast_regionGulf Coast",0.20856953727685,0.293676740093362,0.710201077588046,0.477592214094855
"SPEI_timescaleSPEI_12:coast_regionGulf Coast",0.13146076483283,0.290398021985737,0.452691667573709,0.650778347821005
"SPEI_timescaleSPEI_24:coast_regionGulf Coast",0.133443869675894,0.289358619340463,0.46117122752401,0.644683491494063
"SPEI_timescaleSPEI_36:coast_regionGulf Coast",0.0363294065760265,0.282500407026867,0.128599484009138,0.897676567385386
"SPEI_timescaleSPEI_48:coast_regionGulf Coast",0.0272507980287709,0.282432926553964,0.0964859103407835,0.923136153514766
"SPEI_timescaleSPEI_3:coast_regionAK Coast",-0.0693705913845476,0.227345195745522,-0.305133306895111,0.760269518301868
"SPEI_timescaleSPEI_6:coast_regionAK Coast",-0.0526588585577677,0.226586250112206,-0.232400944592582,0.816230280034314
"SPEI_timescaleSPEI_12:coast_regionAK Coast",-0.125384633288326,0.235119918311192,-0.533279503450546,0.593849246130339
"SPEI_timescaleSPEI_24:coast_regionAK Coast",-0.175540514736211,0.249153490426033,-0.704547684385437,0.481104408178252
"SPEI_timescaleSPEI_36:coast_regionAK Coast",-0.189020124857482,0.243904492391826,-0.774975987542804,0.438367968715986
"SPEI_timescaleSPEI_48:coast_regionAK Coast",-0.121169023979853,0.2385286814798,-0.507985132974938,0.611472403169869
