"site_name","Year","month","water_class","WUE_T","SPEI_3","baseline_WUE_T","monthly_resistance","WUE_T_pct_change","EDI","EDI_class","response_EDI_pct_change","response_EDI_magnitude","response_EDI_direction","response_EDI_class"
"US-A03",2015,6,"Saline",3.63957047453673,-0.624340541602836,3.47520206277368,1.04729751214289,4.72975121428933,0.611426541017798,"Stress",0.603923958966686,0.603923958966686,"WUE_T increase","Very mild (0.5-1%)"
"US-A03",2015,7,"Saline",15.8008665517353,-1.69391987428009,9.85323411259096,1.60362236106257,60.3622361062566,0.633169024144006,"Stress",-2.81683450958118,2.81683450958118,"WUE_T decrease","Moderate (2.5-5%)"
"US-A03",2015,8,"Saline",9.28461300777095,0.281322028713263,11.2031944913602,0.828746927042211,-17.1253072957789,0.592658999063654,"Stress",6.51473560815223,6.51473560815223,"WUE_T increase","Strong (>=5%)"
"US-A03",2016,6,"Saline",3.33996701237972,0.91623178406375,3.47520206277368,0.961085701507088,-3.8914298492912,0.579335423112799,"Stress",0.604605646963961,0.604605646963961,"WUE_T increase","Very mild (0.5-1%)"
"US-A03",2016,7,"Saline",7.75659106147569,0.07518265931136,9.85323411259096,0.787212703244706,-21.2787296755294,0.596956689916219,"Stress",-2.81683375027186,2.81683375027186,"WUE_T decrease","Moderate (2.5-5%)"
"US-A03",2016,8,"Saline",7.80821802469759,1.0366895449848,11.2031944913602,0.696963533991956,-30.3036466008044,0.576793890105147,"Stress",6.51524812925112,6.51524812925112,"WUE_T increase","Strong (>=5%)"
"US-A03",2017,6,"Saline",2.87678793707406,-0.13064568106738,3.47520206277368,0.827804508949328,-17.2195491050672,0.60123309534291,"Stress",0.604012081392248,0.604012081392248,"WUE_T increase","Very mild (0.5-1%)"
"US-A03",2017,7,"Saline",9.90780959340655,0.187718633807188,9.85323411259096,1.00553883934878,0.553883934878337,0.59461228679279,"Stress",-2.81678315616123,2.81678315616123,"WUE_T decrease","Moderate (2.5-5%)"
"US-A03",2017,8,"Saline",13.0562284973684,0.910395958531781,11.2031944913602,1.16540228837741,16.5402288377414,0.579458447333771,"Stress",6.51515224964655,6.51515224964655,"WUE_T increase","Strong (>=5%)"
"US-A03",2018,7,"Saline",10.4943705200654,1.33821980413924,9.85323411259096,1.06506862621433,6.5068626214329,0.570414350961742,"Stress",-2.81599489463881,2.81599489463881,"WUE_T decrease","Moderate (2.5-5%)"
"US-A03",2018,8,"Saline",11.2671864297954,1.411722105939,11.2031944913602,1.00571193675916,0.571193675915953,0.56885561028992,"Stress",6.51553088227966,6.51553088227966,"WUE_T increase","Strong (>=5%)"
"US-A03",2019,6,"Saline",3.97000051510766,0.787184846938044,3.47520206277368,1.14237976480109,14.237976480109,0.582053517074507,"Stress",0.60450968688718,0.60450968688718,"WUE_T increase","Very mild (0.5-1%)"
"US-A03",2019,7,"Saline",7.83410425572915,1.27719643549657,9.85323411259096,0.795079480118953,-20.4920519881047,0.57170739607967,"Stress",-2.81604052649992,2.81604052649992,"WUE_T decrease","Moderate (2.5-5%)"
"US-A03",2019,8,"Saline",16.6898731841428,1.86794619093638,11.2031944913602,1.48974234063454,48.9742340634537,0.559151226930656,"Stress",6.5158471618567,6.5158471618567,"WUE_T increase","Strong (>=5%)"
"US-A03",2020,6,"Saline",4.81880014729281,-0.662054785985014,3.47520206277368,1.3866244495282,38.6624449528197,0.612201367218252,"Stress",0.603922233923115,0.603922233923115,"WUE_T increase","Very mild (0.5-1%)"
"US-A03",2020,7,"Saline",11.8953016828906,0.610645362528698,9.85323411259096,1.20724845740651,20.724845740651,0.585763849755651,"Stress",-2.81653558622788,2.81653558622788,"WUE_T decrease","Moderate (2.5-5%)"
"US-A03",2020,8,"Saline",11.2687419689412,0.41220623227161,11.2031944913602,1.00585078458038,0.585078458037531,0.589922841173573,"Stress",6.51480923591428,6.51480923591428,"WUE_T increase","Strong (>=5%)"
"US-A03",2021,6,"Saline",2.20608629025111,0.168888180900684,3.47520206277368,0.634808063071404,-36.5191936928596,0.595004875590929,"Stress",0.604128402728399,0.604128402728399,"WUE_T increase","Very mild (0.5-1%)"
"US-A10",2012,6,"Saline",1.05155715318811,0.480787219048006,3.58269131789424,0.293510397598577,-70.6489602401423,0.58848690646352,"Stress",0.604300104414783,0.604300104414783,"WUE_T increase","Very mild (0.5-1%)"
"US-A10",2012,7,"Saline",4.9766525855751,-0.543768959420585,5.28692308595487,0.941313596711095,-5.86864032889047,0.609769342002426,"Stress",-2.81699055919614,2.81699055919614,"WUE_T decrease","Moderate (2.5-5%)"
"US-A10",2012,8,"Saline",5.64637790343506,-0.787916631658585,6.0025883851393,0.940657186725295,-5.93428132747052,0.614783032092766,"Stress",6.51447231401478,6.51447231401478,"WUE_T increase","Strong (>=5%)"
"US-A10",2013,6,"Saline",2.20250713556277,0.45654545908875,3.58269131789424,0.614763299467651,-38.5236700532349,0.588994649025381,"Stress",0.604285059501791,0.604285059501791,"WUE_T increase","Very mild (0.5-1%)"
"US-A10",2013,7,"Saline",5.31626266459827,1.53476641875937,5.28692308595487,1.00554946197749,0.554946197748578,0.566243206322037,"Stress",-2.81585172403646,2.81585172403646,"WUE_T decrease","Moderate (2.5-5%)"
"US-A10",2013,8,"Saline",8.14809126436358,1.75469844565453,6.0025883851393,1.35742961895171,35.7429618951706,0.561564648125487,"Stress",6.5157720090628,6.5157720090628,"WUE_T increase","Strong (>=5%)"
"US-A10",2014,6,"Saline",1.2236129365444,1.7342016572403,3.58269131789424,0.341534569398401,-65.8465430601599,0.562001147197479,"Stress",0.60520718242012,0.60520718242012,"WUE_T increase","Very mild (0.5-1%)"
"US-A10",2014,7,"Saline",2.28040033643605,1.91125985993722,5.28692308595487,0.431328449338352,-56.8671550661648,0.558227423975921,"Stress",-2.81559611932613,2.81559611932613,"WUE_T decrease","Moderate (2.5-5%)"
"US-A10",2014,8,"Saline",6.64182190513595,0.742090563275603,6.0025883851393,1.10649297919198,10.6492979191979,0.583002165407236,"Stress",6.51502796553622,6.51502796553622,"WUE_T increase","Strong (>=5%)"
"US-A10",2015,6,"Saline",3.22327756516754,1.41107179010941,3.58269131789424,0.899680513659785,-10.0319486340215,0.568869407368182,"Stress",0.604979405619101,0.604979405619101,"WUE_T increase","Very mild (0.5-1%)"
"US-A10",2015,7,"Saline",5.93294945674728,0.256042828993739,5.28692308595487,1.12219326067153,12.219326067153,0.59318680937187,"Stress",-2.81674911369004,2.81674911369004,"WUE_T decrease","Moderate (2.5-5%)"
"US-A10",2015,8,"Saline",5.37331652947184,0.5312564173687,6.0025883851393,0.895166582265519,-10.4833417734481,0.587429227937826,"Stress",6.51488325016302,6.51488325016302,"WUE_T increase","Strong (>=5%)"
"US-A10",2016,6,"Saline",0.820655504893635,0.225609211485659,3.58269131789424,0.22906118112793,-77.093881887207,0.59382195455198,"Stress",0.604155919434945,0.604155919434945,"WUE_T increase","Very mild (0.5-1%)"
"US-A10",2016,7,"Saline",4.86704145608227,-0.219302659007344,5.28692308595487,0.920581097351682,-7.94189026483178,0.60307037571193,"Stress",-2.81693353005274,2.81693353005274,"WUE_T decrease","Moderate (2.5-5%)"
"US-A10",2016,8,"Saline",5.09388882298618,-0.539265776861555,6.0025883851393,0.848615379924634,-15.1384620075366,0.609676645192143,"Stress",6.51448137167513,6.51448137167513,"WUE_T increase","Strong (>=5%)"
"US-A10",2017,6,"Saline",2.75507944604694,1.08998813280045,3.58269131789424,0.768997159282554,-23.1002840717446,0.575668038871034,"Stress",0.604737828281326,0.604737828281326,"WUE_T increase","Very mild (0.5-1%)"
"US-A10",2017,7,"Saline",4.76408303597846,1.52660156876275,5.28692308595487,0.901106930916893,-9.88930690831071,0.566416673321957,"Stress",-2.81585754182885,2.81585754182885,"WUE_T decrease","Moderate (2.5-5%)"
"US-A10",2017,8,"Saline",7.25753676466745,0.903923753906842,6.0025883851393,1.20906787189257,20.9067871892573,0.579594875430411,"Stress",6.51514737785768,6.51514737785768,"WUE_T increase","Strong (>=5%)"
"US-A10",2018,6,"Saline",0.86350765548915,-1.06670657622712,3.58269131789424,0.241022063825662,-75.8977936174338,0.620478410063791,"Stress",0.603943993367118,0.603943993367118,"WUE_T increase","Very mild (0.5-1%)"
"US-A10",2018,7,"Saline",2.72959770643765,1.29904728324502,5.28692308595487,0.516292305006109,-48.3707694993891,0.57124450254415,"Stress",-2.81602413287055,2.81602413287055,"WUE_T decrease","Moderate (2.5-5%)"
"US-A10",2019,6,"Saline",6.12010982018125,1.15969537993596,3.58269131789424,1.70824368530259,70.824368530259,0.574194395542239,"Stress",0.604791009285112,0.604791009285112,"WUE_T increase","Very mild (0.5-1%)"
"US-A10",2019,7,"Saline",6.90208545181969,1.87280539539622,5.28692308595487,1.30550139270148,30.550139270148,0.55904760907901,"Stress",-2.81562116119995,2.81562116119995,"WUE_T decrease","Moderate (2.5-5%)"
"US-A10",2019,8,"Saline",9.93110117150656,2.34454707868554,6.0025883851393,1.65446979441288,65.4469794412881,0.548965026629022,"Stress",6.51614576957886,6.51614576957886,"WUE_T increase","Strong (>=5%)"
"US-A10",2020,6,"Saline",3.39770635174289,-0.158746474106003,3.58269131789424,0.9483670375878,-5.16329624122004,0.60181575263907,"Stress",0.604003668450218,0.604003668450218,"WUE_T increase","Very mild (0.5-1%)"
"US-A10",2020,7,"Saline",4.83871122355429,-0.876348067920138,5.28692308595487,0.915222549086956,-8.47774509130437,0.616593081270144,"Stress",-2.81699553400719,2.81699553400719,"WUE_T decrease","Moderate (2.5-5%)"
"US-A10",2021,6,"Saline",7.06706881523488,-0.624677918263176,3.58269131789424,1.972558668378,97.2558668378,0.611433474808728,"Stress",0.603923940517216,0.603923940517216,"WUE_T increase","Very mild (0.5-1%)"
"US-A10",2021,7,"Saline",6.24204022012966,1.64836525319416,5.28692308595487,1.18065652150532,18.0656521505323,0.56382806708689,"Stress",-2.81577201818177,2.81577201818177,"WUE_T decrease","Moderate (2.5-5%)"
"US-A10",2021,8,"Saline",3.9457736846807,1.3837766528276,6.0025883851393,0.657345370282146,-34.2654629717854,0.569448403397652,"Stress",6.51551034323921,6.51551034323921,"WUE_T increase","Strong (>=5%)"
"US-A10",2022,6,"Saline",6.95665294674315,0.1569081106296,3.58269131789424,1.94173941584004,94.1739415840042,0.595254580217302,"Stress",0.604122812056016,0.604122812056016,"WUE_T increase","Very mild (0.5-1%)"
"US-A10",2022,7,"Saline",5.8192607078154,0.887679622859032,5.28692308595487,1.10068949617874,10.0689496178737,0.579937233114247,"Stress",-2.81633632711507,2.81633632711507,"WUE_T decrease","Moderate (2.5-5%)"
"US-A10",2022,8,"Saline",8.05554075068405,1.1806747055521,6.0025883851393,1.34201118481275,34.2011184812752,0.573750623530804,"Stress",6.51535797413064,6.51535797413064,"WUE_T increase","Strong (>=5%)"
"US-Atq",1999,5,"Freshwater",2.40877053636543,-0.842044685300024,1.06940827636576,2.25243304133693,125.243304133693,0.487314063837665,"Watch",-0.622046985047382,0.622046985047382,"WUE_T decrease","Very mild (0.5-1%)"
"US-Atq",1999,6,"Freshwater",1.435370187568,-0.910868333569793,1.73084412854197,0.829289110381722,-17.0710889618278,0.487390143026715,"Watch",0.737788677277965,0.737788677277965,"WUE_T increase","Very mild (0.5-1%)"
"US-Atq",1999,7,"Freshwater",1.4011584655558,-1.03806420835508,1.86207054534366,0.75247335234402,-24.7526647655981,0.487530749706236,"Watch",-2.68293799329694,2.68293799329694,"WUE_T decrease","Moderate (2.5-5%)"
"US-Atq",1999,8,"Freshwater",1.91508678618568,-0.735759309286169,2.13198869228564,0.898263106701838,-10.1736893298162,0.487196574778945,"Watch",6.64807611213238,6.64807611213238,"WUE_T increase","Strong (>=5%)"
"US-Atq",2000,6,"Freshwater",4.68582487756521,-0.706101171520977,1.73084412854197,2.70724833062378,170.724833062378,0.487163790589389,"Watch",0.737481052472862,0.737481052472862,"WUE_T increase","Very mild (0.5-1%)"
