"smooth_term","edf","Ref.df","F","p-value"
"s(SPEI_3):water_classUpland",3.17527432746544,5,13.258791312455,0
"s(SPEI_3):water_classFreshwater",0.00149422137976582,5,8.02826900153649e-05,0.712767382430923
"s(SPEI_3):water_classSaline",0.00108774707742417,5,1.57866121690278e-05,0.920140795133907
"s(site_name)",13.1465562830038,43,0.475275837561053,0.0211381312830883
