"water_class","intercept","slope_SPEI3","AIC","n_obs","n_impacted"
"All (pooled)",0.207011657892933,0.181504093239591,1002.27785854129,722,373
"Upland",0.351080938548916,0.510259456370004,480.188519270014,348,173
"Freshwater",-0.0544802808461021,-0.00442451997917988,331.012560501835,236,115
"Saline",0.399304192515908,-0.0865046991057925,187.731391093348,138,85
