year,coast_region,water_class,mean_WUE_T_pct_change,mean_abs_WUE_T_pct_change,pct_pixels_increase,pct_pixels_decrease,pct_Stable,pct_Mild,pct_Moderate,pct_Large,pct_Strong
2004,Atlantic Coast,Upland,-0.0863,1.5175,49.41,50.59,18.81,18.67,41.83,20.69,0.0
2004,Atlantic Coast,Freshwater,-2.6841,2.6841,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2004,Atlantic Coast,Saline,-2.8167,2.8167,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2005,AK Coast,Upland,0.7178,3.158,49.73,50.27,8.45,7.76,26.29,42.5,15.0
2005,AK Coast,Freshwater,-2.6842,2.6842,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2005,AK Coast,Saline,-2.8167,2.8167,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2005,Pacific Coast,Upland,0.075,1.0679,44.7,55.3,24.06,22.11,47.76,6.07,0.0
2005,Pacific Coast,Freshwater,-2.6841,2.6841,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2005,Pacific Coast,Saline,-2.8166,2.8166,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2005,Gulf Coast,Upland,-6.3354,18.0643,34.06,65.94,1.31,0.58,2.92,5.85,89.33
2005,Gulf Coast,Freshwater,-2.6847,2.6847,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2005,Gulf Coast,Saline,-2.8164,2.8164,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2005,Atlantic Coast,Upland,-0.3631,1.6302,43.3,56.7,17.53,16.36,41.0,25.12,0.0
2005,Atlantic Coast,Freshwater,-2.6842,2.6842,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2005,Atlantic Coast,Saline,-2.8166,2.8166,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2006,AK Coast,Upland,2.1052,4.0919,59.38,40.62,6.67,6.79,20.37,38.85,27.32
2006,AK Coast,Freshwater,-2.6843,2.6843,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2006,AK Coast,Saline,-2.8166,2.8166,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2006,Pacific Coast,Upland,0.1464,1.2187,46.94,53.06,15.75,19.96,55.62,8.66,0.0
2006,Pacific Coast,Freshwater,-2.6841,2.6841,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2006,Pacific Coast,Saline,-2.8166,2.8166,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2006,Gulf Coast,Upland,15.3916,25.278,63.74,36.26,0.73,1.02,3.07,7.75,87.43
2006,Gulf Coast,Freshwater,-2.684,2.684,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2006,Gulf Coast,Saline,-2.8168,2.8168,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2006,Atlantic Coast,Upland,0.8589,1.8842,67.7,32.29,13.04,13.09,34.65,39.21,0.0
2006,Atlantic Coast,Freshwater,-2.6835,2.6835,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2006,Atlantic Coast,Saline,-2.8168,2.8168,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2007,AK Coast,Upland,-0.4739,3.244,30.31,69.69,5.45,5.75,26.88,50.16,11.76
2007,AK Coast,Freshwater,-2.6836,2.6836,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2007,AK Coast,Saline,-2.8168,2.8168,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2007,Pacific Coast,Upland,0.2164,0.9955,50.26,49.74,25.76,26.8,44.99,2.44,0.0
2007,Pacific Coast,Freshwater,-2.6841,2.6841,0.0,100.0,0.0,0.0,0.0,100.0,0.0
