year,month,coast_region,n_pixels,mean_SPEI3,mean_EDI,pct_None,pct_Watch,pct_Stress,pct_Impact
2001,8,AK Coast,1904,-0.043,0.5353,0.0,3.68,96.32,0.0
2001,8,Pacific Coast,283,0.8901,0.558,0.0,0.0,100.0,0.0
2001,8,Gulf Coast,57,0.2772,0.5431,0.0,0.0,100.0,0.0
2001,8,Atlantic Coast,835,0.2202,0.5417,0.0,0.84,99.16,0.0
2001,9,AK Coast,1904,0.0405,0.5373,0.0,4.41,95.59,0.0
2001,9,Pacific Coast,283,0.6197,0.5515,0.0,0.0,100.0,0.0
2001,9,Gulf Coast,57,0.8667,0.5575,0.0,0.0,100.0,0.0
2001,9,Atlantic Coast,835,-0.0432,0.5352,0.0,6.83,93.17,0.0
2001,10,AK Coast,1904,-0.1556,0.5325,0.0,3.94,96.06,0.0
2001,10,Pacific Coast,283,0.1716,0.5405,0.0,0.0,100.0,0.0
2001,10,Gulf Coast,57,-0.1287,0.5332,0.0,0.0,100.0,0.0
2001,10,Atlantic Coast,835,-0.619,0.5211,0.0,32.34,67.66,0.0
2001,11,AK Coast,1904,-0.7555,0.5178,0.0,17.8,82.2,0.0
2001,11,Pacific Coast,283,0.6169,0.5514,0.0,0.0,100.0,0.0
2001,11,Gulf Coast,57,0.5593,0.55,0.0,0.0,100.0,0.0
2001,11,Atlantic Coast,835,-0.7648,0.5175,0.0,45.63,54.37,0.0
2001,12,AK Coast,1904,-0.6694,0.5199,0.0,14.02,85.98,0.0
2001,12,Pacific Coast,283,0.6627,0.5526,0.0,1.41,98.59,0.0
2001,12,Gulf Coast,57,0.2108,0.5415,0.0,0.0,100.0,0.0
2001,12,Atlantic Coast,835,-1.1937,0.507,0.0,51.74,48.26,0.0
2002,1,AK Coast,1904,-0.5239,0.5235,0.0,2.99,97.01,0.0
2002,1,Pacific Coast,283,0.7651,0.555,0.0,0.0,100.0,0.0
2002,1,Gulf Coast,57,-0.164,0.5323,0.0,0.0,100.0,0.0
2002,1,Atlantic Coast,835,-1.1787,0.5074,0.0,41.2,58.8,0.0
2002,2,AK Coast,1904,0.2395,0.5421,0.0,2.57,97.43,0.0
2002,2,Pacific Coast,283,0.2806,0.5432,0.0,0.0,100.0,0.0
2002,2,Gulf Coast,57,-1.1226,0.5088,0.0,5.26,94.74,0.0
2002,2,Atlantic Coast,835,-1.0891,0.5096,0.0,30.06,69.94,0.0
2002,3,AK Coast,1904,0.1135,0.5391,0.0,5.51,94.49,0.0
2002,3,Pacific Coast,283,-0.2238,0.5308,0.0,1.06,98.94,0.0
2002,3,Gulf Coast,57,-1.4419,0.5009,0.0,38.6,61.4,0.0
2002,3,Atlantic Coast,835,-0.4615,0.525,0.0,11.26,88.74,0.0
2002,4,AK Coast,1904,-0.1463,0.5327,0.0,2.1,97.9,0.0
2002,4,Pacific Coast,283,-0.5766,0.5222,0.0,0.71,99.29,0.0
2002,4,Gulf Coast,57,-1.2354,0.506,0.0,1.75,98.25,0.0
2002,4,Atlantic Coast,835,-0.5043,0.524,0.0,5.03,94.97,0.0
2002,5,AK Coast,1904,-0.63,0.5208,0.0,36.08,63.92,0.0
2002,5,Pacific Coast,283,-0.3845,0.5269,0.0,0.0,100.0,0.0
2002,5,Gulf Coast,57,-0.4902,0.5243,0.0,0.0,100.0,0.0
2002,5,Atlantic Coast,835,-0.3248,0.5284,0.0,2.99,97.01,0.0
2002,6,AK Coast,1904,-0.3974,0.5266,0.0,11.92,88.08,0.0
2002,6,Pacific Coast,283,-0.5016,0.5241,0.0,6.01,93.99,0.0
2002,6,Gulf Coast,57,-0.1981,0.5315,0.0,0.0,100.0,0.0
2002,6,Atlantic Coast,835,-0.1428,0.5328,0.0,3.47,96.53,0.0
2002,7,AK Coast,1904,-0.5309,0.5233,0.0,5.67,94.33,0.0
2002,7,Pacific Coast,283,-0.4792,0.5246,0.0,6.71,93.29,0.0
2002,7,Gulf Coast,57,-0.3272,0.5283,0.0,0.0,100.0,0.0
2002,7,Atlantic Coast,835,-0.1053,0.5338,0.0,0.72,99.28,0.0
2002,8,AK Coast,1904,-0.4296,0.5258,0.0,17.49,82.51,0.0
2002,8,Pacific Coast,283,-0.821,0.5162,0.0,11.66,88.34,0.0
2002,8,Gulf Coast,57,-0.1454,0.5328,0.0,3.51,96.49,0.0
2002,8,Atlantic Coast,835,-0.1231,0.5333,0.0,5.63,94.37,0.0
2002,9,AK Coast,1904,-0.3952,0.5266,0.0,12.55,87.45,0.0
2002,9,Pacific Coast,283,-1.0537,0.5105,0.0,20.14,79.86,0.0
2002,9,Gulf Coast,57,0.1479,0.54,0.0,0.0,100.0,0.0
2002,9,Atlantic Coast,835,-0.1162,0.5335,0.0,6.59,93.41,0.0
2002,10,AK Coast,1904,0.271,0.5429,0.0,1.89,98.11,0.0
2002,10,Pacific Coast,283,-1.617,0.4966,0.0,73.85,26.15,0.0
2002,10,Gulf Coast,57,0.3412,0.5447,0.0,0.0,100.0,0.0
2002,10,Atlantic Coast,835,0.4169,0.5464,0.0,4.43,95.57,0.0
2002,11,AK Coast,1904,0.7493,0.5545,0.0,0.63,99.37,0.0
2002,11,Pacific Coast,283,-1.074,0.51,0.0,53.0,47.0,0.0
2002,11,Gulf Coast,57,0.7776,0.5553,0.0,0.0,100.0,0.0
2002,11,Atlantic Coast,835,0.8009,0.5558,0.0,1.92,98.08,0.0
2002,12,AK Coast,1904,0.5402,0.5495,0.0,0.32,99.68,0.0
2002,12,Pacific Coast,283,-0.0535,0.535,0.0,7.07,92.93,0.0
2002,12,Gulf Coast,57,0.7158,0.5538,0.0,0.0,100.0,0.0
2002,12,Atlantic Coast,835,1.0587,0.5621,0.0,0.36,99.64,0.0
2003,1,AK Coast,1904,0.0189,0.5368,0.0,0.74,99.26,0.0
2003,1,Pacific Coast,283,0.3282,0.5444,0.0,0.0,100.0,0.0
2003,1,Gulf Coast,57,-0.1674,0.5323,0.0,0.0,100.0,0.0
2003,1,Atlantic Coast,835,0.4368,0.547,0.0,0.0,100.0,0.0
2003,2,AK Coast,1904,0.1453,0.5399,0.0,1.63,98.37,0.0
2003,2,Pacific Coast,283,0.1939,0.5411,0.0,0.0,100.0,0.0
2003,2,Gulf Coast,57,-0.0648,0.5348,0.0,0.0,100.0,0.0
2003,2,Atlantic Coast,835,0.3064,0.5438,0.0,0.48,99.52,0.0
2003,3,AK Coast,1904,-0.1009,0.5339,0.0,0.95,99.05,0.0
2003,3,Pacific Coast,283,-0.1778,0.532,0.0,1.41,98.59,0.0
2003,3,Gulf Coast,57,-0.2631,0.5299,0.0,0.0,100.0,0.0
2003,3,Atlantic Coast,835,0.3949,0.546,0.0,0.0,100.0,0.0
2003,4,AK Coast,1904,-0.1277,0.5332,0.0,9.56,90.44,0.0
2003,4,Pacific Coast,283,0.2992,0.5437,0.0,0.0,100.0,0.0
2003,4,Gulf Coast,57,0.6419,0.552,0.0,0.0,100.0,0.0
2003,4,Atlantic Coast,835,0.7793,0.5553,0.0,0.24,99.76,0.0
2003,5,AK Coast,1904,-0.3937,0.5267,0.0,6.99,93.01,0.0
2003,5,Pacific Coast,283,0.8159,0.5563,0.0,0.0,100.0,0.0
2003,5,Gulf Coast,57,0.8427,0.5569,0.0,0.0,100.0,0.0
2003,5,Atlantic Coast,835,0.5986,0.5509,0.0,0.12,99.88,0.0
2003,6,AK Coast,1904,-0.0508,0.5351,0.0,2.42,97.58,0.0
2003,6,Pacific Coast,283,0.2937,0.5435,0.0,0.35,99.65,0.0
2003,6,Gulf Coast,57,1.394,0.5703,0.0,0.0,100.0,0.0
2003,6,Atlantic Coast,835,0.7455,0.5545,0.0,0.0,100.0,0.0
2003,7,AK Coast,1904,0.226,0.5419,0.0,0.42,99.58,0.0
2003,7,Pacific Coast,283,-0.7955,0.5168,0.0,12.37,87.63,0.0
2003,7,Gulf Coast,57,1.0568,0.5621,0.0,0.0,100.0,0.0
2003,7,Atlantic Coast,835,0.8026,0.5559,0.0,0.0,100.0,0.0
2003,8,AK Coast,1904,0.3742,0.5455,0.0,1.0,99.0,0.0
2003,8,Pacific Coast,283,-1.2116,0.5066,0.0,49.12,50.88,0.0
2003,8,Gulf Coast,57,0.8923,0.5581,0.0,0.0,100.0,0.0
2003,8,Atlantic Coast,835,0.8703,0.5575,0.0,0.84,99.16,0.0
2003,9,AK Coast,1904,-0.2249,0.5308,0.0,9.82,90.18,0.0
2003,9,Pacific Coast,283,-0.6345,0.5208,0.0,14.84,85.16,0.0
2003,9,Gulf Coast,57,0.1771,0.5407,0.0,0.0,100.0,0.0
2003,9,Atlantic Coast,835,0.5622,0.55,0.0,0.84,99.16,0.0
2003,10,AK Coast,1904,-0.1606,0.5324,0.0,5.15,94.85,0.0
2003,10,Pacific Coast,283,-0.0968,0.5339,0.0,0.0,100.0,0.0
2003,10,Gulf Coast,57,-0.3259,0.5284,0.0,0.0,100.0,0.0
2003,10,Atlantic Coast,835,0.6183,0.5514,0.0,0.36,99.64,0.0
2003,11,AK Coast,1904,-0.1006,0.5338,0.0,7.67,92.33,0.0
2003,11,Pacific Coast,283,-0.0037,0.5362,0.0,0.0,100.0,0.0
2003,11,Gulf Coast,57,-0.0054,0.5362,0.0,0.0,100.0,0.0
2003,11,Atlantic Coast,835,0.2853,0.5433,0.0,0.36,99.64,0.0
2003,12,AK Coast,1904,0.5142,0.5489,0.0,0.11,99.89,0.0
2003,12,Pacific Coast,283,0.2122,0.5416,0.0,1.77,98.23,0.0
