year,coast_region,mean_SPEI3,upland_mean_WUE_T_pct_change,upland_mean_abs_WUE_T_pct_change,upland_mean_lower_pct_change,upland_mean_upper_pct_change,upland_mean_prediction_interval_width,pct_pixels_decrease,pct_pixels_increase,pct_pixels_strong_decrease,pct_pixels_strong_increase,pct_pixels_robust_strong_response,pct_pixels_possible_strong_response,dry_pct_pixels,dry_mean_WUE_T_pct_change,dry_mean_abs_WUE_T_pct_change,dry_pct_pixels_decrease,dry_pct_pixels_increase,dry_pct_pixels_strong_decrease,dry_pct_pixels_strong_increase
2007,Gulf Coast,-0.7412,31.156,37.7174,-2.0626,64.3746,66.4372,20.76,79.24,17.54,77.63,61.7,100.0,40.79,50.9917,51.3337,1.16,98.84,0.69,98.61
2007,Atlantic Coast,-0.5298,0.9341,1.7462,-28.3793,30.2474,58.6267,26.91,73.09,0.0,0.0,0.0,100.0,32.31,2.6749,2.6749,0.0,100.0,0.0,0.0
2008,AK Coast,0.0785,1.4953,3.6274,-27.4426,30.4332,57.8758,41.08,58.92,0.0,20.86,0.0,100.0,14.84,-2.9081,2.9081,100.0,0.0,0.0,0.0
2008,Pacific Coast,-0.501,0.8267,1.1618,-30.7488,32.4022,63.151,30.3,69.7,0.0,0.0,0.0,100.0,24.47,2.3763,2.3763,0.0,100.0,0.0,0.0
2008,Gulf Coast,-0.6332,20.294,33.3562,-12.9486,53.5366,66.4852,33.77,66.23,31.87,63.89,43.71,100.0,46.93,46.1462,46.4225,1.1,98.9,0.66,98.9
2008,Atlantic Coast,-0.0905,0.1773,1.3526,-29.0815,29.436,58.5174,43.01,56.99,0.0,0.0,0.0,100.0,11.97,2.5199,2.5199,0.0,100.0,0.0,0.0
2009,AK Coast,-0.1052,0.3865,3.6743,-28.5534,29.3265,57.8799,61.75,38.25,0.0,17.35,0.0,100.0,15.76,-3.3653,3.3653,100.0,0.0,0.0,0.0
2009,Pacific Coast,-0.2539,0.4501,0.9461,-31.1128,32.013,63.1258,38.28,61.72,0.0,0.0,0.0,100.0,13.87,2.2458,2.2458,0.0,100.0,0.0,0.0
2009,Gulf Coast,-0.3312,6.4473,24.3338,-26.3496,39.2441,65.5937,52.78,47.22,48.54,42.98,21.2,100.0,21.64,43.5068,44.4457,3.78,96.22,2.78,96.22
2009,Atlantic Coast,-0.0896,0.0737,1.8508,-29.2379,29.3853,58.6232,47.56,52.44,0.0,0.0,0.0,100.0,24.15,2.6303,2.6303,0.0,100.0,0.0,0.0
2010,AK Coast,-0.2098,-0.087,3.3136,-29.058,28.884,57.942,63.6,36.4,0.0,12.91,0.0,100.0,18.36,-3.298,3.298,100.0,0.0,0.0,0.0
2010,Pacific Coast,0.5349,-0.6724,0.919,-32.2442,30.8994,63.1436,85.63,14.37,0.0,0.0,0.0,100.0,1.38,2.8037,2.8037,0.0,100.0,0.0,0.0
2010,Gulf Coast,0.6544,-9.7211,18.4153,-43.4616,24.0195,67.4811,74.41,25.59,69.44,21.05,1.75,100.0,0.73,51.5293,51.5293,0.0,100.0,0.0,100.0
2010,Atlantic Coast,-0.0892,0.0759,1.8822,-29.2504,29.4022,58.6527,45.21,54.79,0.0,0.0,0.0,100.0,23.88,2.7023,2.7023,0.0,100.0,0.0,0.0
2011,AK Coast,0.0427,1.2696,4.2975,-27.6665,30.2056,57.872,51.42,48.58,0.0,24.96,0.0,100.0,16.56,-3.4843,3.4843,100.0,0.0,0.0,0.0
2011,Pacific Coast,0.3956,-0.4053,0.9113,-31.9824,31.1718,63.1542,71.91,28.09,0.0,0.0,0.0,100.0,3.53,1.9871,1.9871,0.0,100.0,0.0,0.0
2011,Gulf Coast,0.587,-16.1952,17.5586,-48.6092,16.2187,64.8278,90.79,9.21,84.79,5.56,0.0,100.0,0.0,nan,nan,nan,nan,nan,nan
2011,Atlantic Coast,-0.5282,0.8792,1.8775,-28.4511,30.2095,58.6606,31.3,68.7,0.0,0.0,0.0,100.0,36.63,2.7105,2.7105,0.0,100.0,0.0,0.0
2012,AK Coast,0.0934,1.6661,4.3465,-27.3009,30.6332,57.9341,50.11,49.89,0.0,25.74,0.0,100.0,17.03,-3.3172,3.3172,100.0,0.0,0.0,0.0
2012,Pacific Coast,0.1954,-0.0826,1.1478,-31.673,31.5078,63.1808,60.51,39.49,0.0,0.0,0.0,100.0,11.78,2.5825,2.5825,0.0,100.0,0.0,0.0
2012,Gulf Coast,-0.4098,12.1508,23.4668,-20.5622,44.8637,65.4259,37.43,62.57,32.16,56.28,22.51,100.0,18.28,48.4415,48.5978,0.7,99.3,0.7,99.3
2012,Atlantic Coast,-0.3005,0.4846,1.6159,-28.8144,29.7836,58.598,39.0,61.0,0.0,0.0,0.0,100.0,25.38,2.6312,2.6312,0.0,100.0,0.0,0.0
2013,AK Coast,0.2589,2.5409,4.6955,-26.3979,31.4797,57.8776,40.33,59.67,0.0,33.47,0.0,100.0,12.4,-3.3126,3.3126,100.0,0.0,0.0,0.0
2013,Pacific Coast,-0.4249,0.8493,1.4721,-30.772,32.4705,63.2425,41.25,58.75,0.0,0.0,0.0,100.0,33.1,2.531,2.531,0.0,100.0,0.0,0.0
2013,Gulf Coast,-0.7001,27.3393,33.0635,-5.8769,60.5555,66.4325,19.74,80.26,16.23,77.48,50.59,100.0,41.37,49.6935,49.695,0.19,99.81,0.0,99.61
2013,Atlantic Coast,0.0125,-0.0814,1.5825,-29.3553,29.1924,58.5476,49.51,50.49,0.0,0.0,0.0,100.0,14.05,2.5156,2.5156,0.0,100.0,0.0,0.0
2014,AK Coast,-0.0543,0.8947,3.9913,-28.0924,29.8818,57.9742,55.94,44.06,0.0,20.54,0.0,100.0,18.99,-3.2294,3.2294,100.0,0.0,0.0,0.0
2014,Pacific Coast,-0.1904,0.4605,1.339,-31.144,32.0649,63.2089,51.32,48.67,0.0,0.0,0.0,100.0,26.06,2.5617,2.5617,0.0,100.0,0.0,0.0
2014,Gulf Coast,-0.9249,22.4691,32.4604,-12.2653,57.2036,69.4689,27.34,72.66,24.71,69.3,43.42,100.0,56.14,38.1111,42.1761,10.48,89.52,9.49,88.07
2014,Atlantic Coast,0.1099,-0.289,1.3794,-29.546,28.968,58.514,57.37,42.63,0.0,0.0,0.0,100.0,8.58,2.5564,2.5564,0.0,100.0,0.0,0.0
2015,AK Coast,0.0374,0.7797,3.299,-28.0546,29.614,57.6686,49.67,50.33,0.0,16.78,0.0,100.0,10.9,-3.41,3.41,100.0,0.0,0.0,0.0
2015,Pacific Coast,-0.6645,1.1217,1.4592,-30.4869,32.7303,63.2172,25.15,74.85,0.0,0.0,0.0,100.0,33.89,2.5681,2.5681,0.0,100.0,0.0,0.0
2015,Gulf Coast,0.0091,9.2236,20.4847,-25.6375,44.0847,69.7222,35.23,64.77,30.99,59.5,10.82,100.0,19.88,41.1053,41.5453,3.22,96.78,1.46,94.15
2015,Atlantic Coast,0.0343,-0.121,1.5215,-29.3948,29.1528,58.5476,52.33,47.67,0.0,0.0,0.0,100.0,12.79,2.5213,2.5213,0.0,100.0,0.0,0.0
2016,AK Coast,-0.1428,0.6239,3.831,-28.4107,29.6586,58.0693,57.18,42.82,0.0,19.03,0.0,100.0,23.24,-3.3148,3.3148,100.0,0.0,0.0,0.0
2016,Pacific Coast,0.3733,-0.1947,1.0356,-31.7999,31.4106,63.2104,64.84,35.16,0.0,0.0,0.0,100.0,9.07,2.3835,2.3835,0.0,100.0,0.0,0.0
2016,Gulf Coast,-0.3513,7.6395,26.179,-25.1956,40.4746,65.6701,50.29,49.71,45.76,46.93,24.42,100.0,17.84,46.1264,47.3782,5.0,95.0,3.44,94.6
2016,Atlantic Coast,0.1704,-0.4043,1.6087,-29.6852,28.8767,58.5619,59.08,40.92,0.0,0.0,0.0,100.0,12.19,2.5329,2.5329,0.0,100.0,0.0,0.0
2017,AK Coast,-0.0553,1.3446,4.1188,-27.7515,30.4407,58.1922,51.7,48.3,0.0,23.57,0.0,100.0,22.5,-3.0676,3.0676,100.0,0.0,0.0,0.0
