year,month,coast_region,n_pixels,mean_SPEI3,upland_mean_WUE_T_pct_change,upland_mean_abs_WUE_T_pct_change,upland_mean_lower_pct_change,upland_mean_upper_pct_change,upland_mean_prediction_interval_width,pct_pixels_decrease,pct_pixels_increase,pct_pixels_strong_decrease,pct_pixels_strong_increase,pct_pixels_robust_strong_response,pct_pixels_possible_strong_response,dry_n_pixels,dry_pct_pixels,dry_mean_WUE_T_pct_change,dry_mean_abs_WUE_T_pct_change,dry_pct_pixels_decrease,dry_pct_pixels_increase,dry_pct_pixels_strong_decrease,dry_pct_pixels_strong_increase
2000,8,Pacific Coast,283,0.2136,-0.3857,0.6362,-31.923,31.1515,63.0745,75.27,24.73,0.0,0.0,0.0,100.0,0,0.0,nan,nan,nan,nan,nan,nan
2000,8,Gulf Coast,57,-0.3665,13.9855,25.1572,-18.5124,46.4835,64.9959,33.33,66.67,31.58,64.91,24.56,100.0,0,0.0,nan,nan,nan,nan,nan,nan
2000,8,Atlantic Coast,835,-0.5676,0.9916,2.0314,-28.345,30.3282,58.6732,30.18,69.82,0.0,0.0,0.0,100.0,356,42.63,2.6634,2.6634,0.0,100.0,0.0,0.0
2000,9,AK Coast,1904,0.0785,2.106,4.7284,-26.9555,31.1675,58.123,48.58,51.42,0.0,35.77,0.0,100.0,424,22.27,-3.1856,3.1856,100.0,0.0,0.0,0.0
2000,9,Pacific Coast,283,0.3334,-0.3997,0.7975,-31.9626,31.1632,63.1258,78.09,21.91,0.0,0.0,0.0,100.0,3,1.06,2.1622,2.1622,0.0,100.0,0.0,0.0
2000,9,Gulf Coast,57,0.2477,-16.4626,19.1201,-48.6025,15.6773,64.2798,91.23,8.77,91.23,7.02,0.0,100.0,0,0.0,nan,nan,nan,nan,nan,nan
2000,9,Atlantic Coast,835,-0.38,0.5396,1.7727,-28.7778,29.8569,58.6347,39.28,60.72,0.0,0.0,0.0,100.0,269,32.22,2.8237,2.8237,0.0,100.0,0.0,0.0
2000,10,AK Coast,1904,-0.0823,0.5446,3.2683,-28.3895,29.4788,57.8683,51.84,48.16,0.0,13.66,0.0,100.0,318,16.7,-3.2156,3.2156,100.0,0.0,0.0,0.0
2000,10,Pacific Coast,283,0.273,-0.126,0.7189,-31.7125,31.4604,63.1729,46.29,53.71,0.0,0.0,0.0,100.0,0,0.0,nan,nan,nan,nan,nan,nan
2000,10,Gulf Coast,57,1.3281,3.5413,5.6128,-30.3711,37.4537,67.8248,28.07,71.93,8.77,40.35,0.0,100.0,0,0.0,nan,nan,nan,nan,nan,nan
2000,10,Atlantic Coast,835,-0.7914,1.5219,1.7334,-27.7837,30.8275,58.6111,14.73,85.27,0.0,0.0,0.0,100.0,351,42.04,2.6559,2.6559,0.0,100.0,0.0,0.0
2000,11,AK Coast,1904,0.2712,1.4334,2.8329,-27.2745,30.1414,57.4158,40.28,59.72,0.0,16.91,0.0,100.0,3,0.16,-3.6973,3.6973,100.0,0.0,0.0,0.0
2000,11,Pacific Coast,283,-0.6308,1.206,1.7168,-30.4017,32.8136,63.2153,27.21,72.79,0.0,0.0,0.0,100.0,159,56.18,2.3167,2.3167,0.0,100.0,0.0,0.0
2000,11,Gulf Coast,57,0.7339,-19.6736,19.6736,-51.7749,12.4277,64.2027,100.0,0.0,100.0,0.0,0.0,100.0,0,0.0,nan,nan,nan,nan,nan,nan
2000,11,Atlantic Coast,835,-0.3678,0.7154,1.394,-28.5382,29.969,58.5073,34.37,65.63,0.0,0.0,0.0,100.0,183,21.92,2.5059,2.5059,0.0,100.0,0.0,0.0
2000,12,AK Coast,1904,0.2499,1.8359,3.9701,-26.9795,30.6514,57.6309,47.74,52.26,0.0,25.84,0.0,100.0,111,5.83,-3.5843,3.5843,100.0,0.0,0.0,0.0
2000,12,Pacific Coast,283,-1.352,2.2029,2.2029,-29.4465,33.8524,63.2989,0.0,100.0,0.0,0.0,0.0,100.0,221,78.09,2.5733,2.5733,0.0,100.0,0.0,0.0
2000,12,Gulf Coast,57,-0.3859,12.206,12.7539,-20.2226,44.6346,64.8572,5.26,94.74,1.75,77.19,1.75,100.0,0,0.0,nan,nan,nan,nan,nan,nan
2000,12,Atlantic Coast,835,-0.688,1.2995,1.8003,-28.0078,30.6069,58.6148,26.11,73.89,0.0,0.0,0.0,100.0,350,41.92,2.7128,2.7128,0.0,100.0,0.0,0.0
2001,1,AK Coast,1904,0.8391,5.47,6.2893,-23.4424,34.3823,57.8247,22.58,77.42,0.0,45.85,0.0,100.0,22,1.16,-3.2296,3.2296,100.0,0.0,0.0,0.0
2001,1,Pacific Coast,283,-1.5537,2.6683,2.6683,-29.0507,34.3873,63.438,0.0,100.0,0.0,0.0,0.0,100.0,240,84.81,2.9348,2.9348,0.0,100.0,0.0,0.0
2001,1,Gulf Coast,57,-0.2966,5.4833,8.8019,-26.8536,37.8202,64.6738,26.32,73.68,12.28,49.12,0.0,100.0,0,0.0,nan,nan,nan,nan,nan,nan
2001,1,Atlantic Coast,835,-0.5181,0.9223,2.0749,-28.4091,30.2537,58.6628,30.54,69.46,0.0,0.0,0.0,100.0,317,37.96,2.69,2.69,0.0,100.0,0.0,0.0
2001,2,AK Coast,1904,0.6766,5.038,6.3931,-23.981,34.057,58.038,27.52,72.48,0.0,47.22,0.0,100.0,210,11.03,-3.2574,3.2574,100.0,0.0,0.0,0.0
