year,coast_region,mean_EDI,mean_SPEI3,pct_None,pct_Watch,pct_Stress,pct_Impact
2021,Pacific Coast,0.5297,-0.2686,0.0,19.41,80.56,0.03
2021,Gulf Coast,0.5184,-0.73,0.0,12.72,87.28,0.0
2021,Atlantic Coast,0.5466,0.4229,0.0,2.41,97.57,0.02
2022,AK Coast,0.5393,0.1247,0.0,10.44,89.51,0.05
2022,Pacific Coast,0.5265,-0.3971,0.0,18.88,81.09,0.03
2022,Gulf Coast,0.5207,-0.6372,0.0,28.66,71.34,0.0
2022,Atlantic Coast,0.5317,-0.189,0.0,6.49,93.5,0.01
2023,AK Coast,0.5473,0.454,0.0,2.88,97.07,0.05
2023,Pacific Coast,0.5317,-0.1879,0.0,9.31,90.69,0.0
2023,Gulf Coast,0.5676,1.2918,0.0,0.0,100.0,0.0
2023,Atlantic Coast,0.5307,-0.2276,0.0,10.41,89.58,0.01
2024,AK Coast,0.5471,0.444,0.0,1.05,98.9,0.05
2024,Pacific Coast,0.54,0.1518,0.0,2.44,97.56,0.0
2024,Gulf Coast,0.528,-0.3362,0.0,22.37,77.63,0.0
2024,Atlantic Coast,0.5445,0.3387,0.0,5.93,94.01,0.06
2025,AK Coast,0.5476,0.4655,0.0,1.7,98.26,0.04
2025,Pacific Coast,0.5302,-0.2471,0.0,8.45,91.55,0.0
2025,Gulf Coast,0.5422,0.2433,0.0,7.75,92.25,0.0
2025,Atlantic Coast,0.5291,-0.2941,0.0,8.46,91.54,0.0
