year,coast_region,event_threshold_pct,annual_mean_negative_impacted_area_pct,annual_mean_positive_impacted_area_pct,annual_mean_any_impacted_area_pct,annual_mean_net_positive_minus_negative_pct,annual_mean_dry_area_pct,dry_negative_impacted_area_pct,dry_positive_impacted_area_pct
2017,Gulf Coast,5.0,38.6,49.85,88.45,11.25,27.34,14.87,85.13
2017,Atlantic Coast,5.0,0.0,0.0,0.0,0.0,14.64,0.0,0.0
2018,AK Coast,5.0,0.0,30.71,30.71,30.71,15.24,0.0,0.0
2018,Pacific Coast,5.0,0.0,0.0,0.0,0.0,26.94,0.0,0.0
2018,Gulf Coast,5.0,32.02,58.77,90.79,26.75,34.36,1.97,98.03
2018,Atlantic Coast,5.0,0.0,0.0,0.0,0.0,6.05,0.0,0.0
2019,AK Coast,5.0,0.0,34.26,34.26,34.26,16.44,0.0,0.0
2019,Pacific Coast,5.0,0.0,0.0,0.0,0.0,25.41,0.0,0.0
2019,Gulf Coast,5.0,58.63,29.53,88.16,-29.1,16.52,12.28,82.55
2019,Atlantic Coast,5.0,0.0,0.0,0.0,0.0,6.01,0.0,0.0
2020,AK Coast,5.0,0.0,19.64,19.64,19.64,15.08,0.0,0.0
2020,Pacific Coast,5.0,0.0,0.0,0.0,0.0,25.74,0.0,0.0
2020,Gulf Coast,5.0,50.58,41.38,91.96000000000001,-9.199999999999996,48.39,44.18,52.67
2020,Atlantic Coast,5.0,0.0,0.0,0.0,0.0,7.56,0.0,0.0
2021,AK Coast,5.0,0.0,30.78,30.78,30.78,9.51,0.0,0.0
2021,Pacific Coast,5.0,0.0,0.0,0.0,0.0,34.16,0.0,0.0
2021,Gulf Coast,5.0,19.15,73.98,93.13,54.830000000000005,42.4,4.96,93.99
2021,Atlantic Coast,5.0,0.0,0.0,0.0,0.0,8.51,0.0,0.0
2022,AK Coast,5.0,0.0,30.75,30.75,30.75,17.22,0.0,0.0
2022,Pacific Coast,5.0,0.0,0.0,0.0,0.0,33.16,0.0,0.0
2022,Gulf Coast,5.0,40.06,50.15,90.21000000000001,10.089999999999996,46.35,9.21,86.8
2022,Atlantic Coast,5.0,0.0,0.0,0.0,0.0,18.7,0.0,0.0
2023,AK Coast,5.0,0.0,38.34,38.34,38.34,8.63,0.0,0.0
2023,Pacific Coast,5.0,0.0,0.0,0.0,0.0,16.93,0.0,0.0
2023,Gulf Coast,5.0,33.48,53.22,86.69999999999999,19.740000000000002,1.32,0.0,100.0
2023,Atlantic Coast,5.0,0.0,0.0,0.0,0.0,20.33,0.0,0.0
2024,AK Coast,5.0,0.0,33.92,33.92,33.92,3.96,0.0,0.0
2024,Pacific Coast,5.0,0.0,0.0,0.0,0.0,5.92,0.0,0.0
2024,Gulf Coast,5.0,38.16,50.44,88.6,12.280000000000001,35.23,13.7,82.52
2024,Atlantic Coast,5.0,0.0,0.0,0.0,0.0,13.01,0.0,0.0
2025,AK Coast,5.0,0.0,37.76,37.76,37.76,5.59,0.0,0.0
2025,Pacific Coast,5.0,0.0,0.0,0.0,0.0,21.73,0.0,0.0
2025,Gulf Coast,5.0,37.28,54.24,91.52000000000001,16.96,17.25,0.0,100.0
2025,Atlantic Coast,5.0,0.0,0.0,0.0,0.0,22.7,0.0,0.0
