"site_name","water_class","SPEI_timescale","n_months","slope","r_squared","correlation"
"US-Tw4","Freshwater","SPEI_1",60,0.0670436126982764,0.00649678023033083,0.0806026068457516
"US-Tw5","Freshwater","SPEI_1",11,0.531757587206756,0.189908853157564,0.435785329213323
"US-Twt","Upland","SPEI_1",30,-0.142131253808531,0.0163246834331571,-0.127768084564014
"US-xBA","Freshwater","SPEI_1",19,-0.326831428620901,0.0246543201302866,-0.157016942175953
"US-xSB","Upland","SPEI_1",43,-0.29753681412383,0.00851136371086754,-0.0922570523638575
"US-xSE","Upland","SPEI_1",42,-0.56106177472276,0.0646768681654482,-0.254316472461868
"US-A03","Saline","SPEI_3",17,0.686619147508129,0.0199734848842823,0.141327580055283
"US-A10","Saline","SPEI_3",31,0.494850462518739,0.0404275492722943,0.201066032119536
"US-Atq","Freshwater","SPEI_3",26,-0.290934140058306,0.0151280203083518,-0.122996017449151
"US-BWb","Upland","SPEI_3",10,-1.16367126765349,0.160712038168938,-0.400889059677285
"US-Brw","Upland","SPEI_3",25,0.395135355461637,0.040077213492485,0.200192940665961
"US-CGG","Upland","SPEI_3",17,-0.763396884958007,0.122642836574556,-0.350203992802132
"US-Ced","Upland","SPEI_3",58,0.05099473529117,0.0124438210564541,0.111551876077698
"US-Cms","Upland","SPEI_3",19,0.428480825415589,0.0346618321328413,0.186176883991653
"US-Dix","Upland","SPEI_3",15,-0.394219963788322,0.20698501272876,-0.454956055821615
"US-Dmg","Freshwater","SPEI_3",25,-0.00355738793985412,0.000109802397957573,-0.0104786639395284
"US-EDN","Saline","SPEI_3",44,-0.078780895443637,0.0129515124762376,-0.113804712012454
"US-EKH","Saline","SPEI_3",15,-0.280499703911678,0.0709999261802267,-0.266458113369112
"US-EKN","Saline","SPEI_3",6,0.226386857500475,0.395298884309982,0.628727989125649
"US-EKP","Saline","SPEI_3",13,-0.223477608354854,0.117866022484619,-0.343316213547539
"US-Elm","Freshwater","SPEI_3",43,-0.0104107279951563,0.00167361245781952,-0.0409098088215957
"US-Esm","Freshwater","SPEI_3",50,-0.00248457594785949,1.76050992933254e-05,-0.004195843096843
"US-Fo1","Freshwater","SPEI_3",7,-4.35784922464901,0.0761895822453552,-0.27602460442025
