"site_name","water_class","n_months","mean_TET","mean_WUE_T","var_WUE_T","cv_WUE_T","stability","plasticity_slope_SPEI3","plasticity_r2_SPEI3","plasticity_range","plasticity_p95_p05","WUE_T_max","WUE_T_min","resistance","mean_WUE_T_drought","mean_WUE_T_near_normal","n_events","mean_recovery","pct_full_recovery"
"US-A03","Saline",17,0.275496354767679,8.88460760103453,18.5910885685714,0.485304321369018,0.47789603972164,0.686619147508129,0.0199734848842823,7.56537641247166,5.13256930138629,16.6898731841428,2.20608629025111,NA,NA,NA,NA,NA,NA
"US-A10","Saline",31,0.519978420785461,4.85304093460968,5.47299841887274,0.482057347562808,0.886724344351126,0.494850462518739,0.0404275492722943,12.1014251562155,8.46114029229096,9.93110117150656,0.820655504893635,NA,NA,NA,NA,NA,NA
"US-Atq","Freshwater",26,0.556037297829283,1.72049390885825,2.4489325602759,0.909568210577176,0.702548504914492,-0.290934140058306,0.0151280203083518,95.5497758264549,48.2792049303069,4.69481649409139,0.0491347724626637,NA,NA,NA,NA,NA,NA
"US-BWb","Upland",10,0.544692019353424,5.02621062602486,2.67078705098484,0.325146397828977,1.88192114536855,-1.16367126765349,0.160712038168938,2.91318839658722,2.42439742182972,8.38276372845264,2.8775220093122,1.17223146646746,5.42472783759181,4.62769341445792,NA,NA,NA
"US-Brw","Upland",25,0.579936692437228,2.70328404731547,2.45568962569265,0.579688995725264,1.10082480254523,0.395135355461637,0.040077213492485,20.3590462851002,12.9458375700168,6.35157696085882,0.311978118813317,0.941784614684866,2.61257566266517,2.7740691681817,NA,NA,NA
"US-CGG","Upland",17,0.507461851406196,5.64940248466461,8.3877925844843,0.512650428457396,0.673526726819026,-0.763396884958007,0.122642836574556,4.73908022224661,3.32438299953155,13.2761453934806,2.80141815940539,0.586039675880016,4.77436239915593,8.1468245165937,1,0.467829678906802,0
"US-Ced","Upland",58,0.751609024440722,3.21782826454627,0.236095758814342,0.151001489301804,13.6293353201514,0.05099473529117,0.0124438210564541,2.03509006482039,1.61698464956332,4.65425942902278,2.28700415253295,0.961897662228519,3.11929040750536,3.24285059626676,2,1.10343609490284,50
"US-Cms","Upland",19,0.64905478557044,2.75350769914211,2.82921520808703,0.610867045438865,0.973240809420042,0.428480825415589,0.0346618321328413,25.313368902624,12.4409211469845,5.5654035469938,0.219860247302637,NA,NA,NA,NA,NA,NA
"US-Dix","Upland",15,0.622456389718627,3.8934935319271,0.58734252910403,0.196836786804185,6.6289998408024,-0.394219963788322,0.20698501272876,1.96404951486772,1.78296016067818,4.93494068140352,2.51263557463616,1.20432830148923,4.60615193190505,3.82466469168683,1,1.24191997693413,100
"US-Dmg","Freshwater",25,0.59957118557404,2.56122833223937,0.133570184173456,0.142694247341272,19.175150113691,-0.00355738793985412,0.000109802397957573,1.80913273940036,1.56211100116856,3.22492795798773,1.78258227699568,1.01819952720079,2.5807819742648,2.53465249719751,1,0.941066640571754,0
