site_name,Year,month,NEE,GPP,Reco,ET,NEP,IGBP,water_class,WUE,WUE_tra,WUE_eva,CUE,Tair_f,VPD_f,Rg_f,avg_length,avg_sos,avg_eos,lat,long,climate,NETRAD_f,WS,WD,H_f,PAR_f,RH,PA,precip_mm,Evap_pen,Trans_pen,Evap_ratio,Trans_ratio,lai,SPEI_1,SPEI_3,SPEI_6,SPEI_12,SPEI_24,SPEI_36,SPEI_48
US-HB2,2019,4,-99.02295043232218,211.5049912337273,103.13973270260345,72.40392544268633,108.36525853112384,ENF,Upland,2.921181274917904,4.531854353655044,8.219152758753495,0.5123531974305652,19.082931164167466,5.972673803124738,251.8905724990805,223,81,303,33.3242,-79.244,"Humid Subtropical: mild with no dry season, hot summer",163.48558170282988,2.9114135465277777,205.2693134466936,50.63039393307405,497.8520629314593,74.79804305890006,101.61827638888889,113.12999999999998,25.733186551189473,46.67073889149675,0.35541148347763835,0.6445885165223602,5.458333333333333,0.5591793716346366,-0.6887661756747663,0.6670074421013689,1.158388398981545,0.5908160232199641,0.5745609800118285,1.0455047197169294
US-HB2,2019,5,-104.13930485170118,259.2088117977554,161.42501819441432,87.71524882676209,97.78379360334107,ENF,Upland,2.9551168726625137,4.33333659588703,9.291345838145217,0.37723946545318726,24.860894463485664,8.66240008740832,297.7734402789121,223,81,303,33.3242,-79.244,"Humid Subtropical: mild with no dry season, hot summer",204.05605394227803,2.5547259758064516,192.41668270903074,64.95707048979011,598.3209117462537,75.13283186200717,101.5487946908602,77.44999999999999,27.89787575590878,59.817373070853186,0.31805046590025843,0.6819495340997401,6.366935483870968,-1.7029301930150775,-0.9166711744079094,-0.0038321613218561,0.6522201034764403,0.3519588282725102,0.3316238346200654,1.0133582586714094
US-HB2,2019,6,-45.83767629267721,240.6650736240128,195.8516453884791,104.6378053181707,44.813428235533664,ENF,Upland,2.299982046567451,3.40211559956256,7.099688398086272,0.18620661303577837,26.10266378101852,7.8817951713410705,270.0948600222296,223,81,303,33.3242,-79.244,"Humid Subtropical: mild with no dry season, hot summer",192.74496240012542,2.266283542916667,217.9560642189966,42.61799751250725,547.5918008036032,78.56523211712964,101.48083229166667,204.06,33.897976943450686,70.7398283747199,0.32395535094010797,0.6760446490598909,5.783333333333333,0.7400283708649411,0.1689982088309838,-0.8330049478087987,1.0237224221120955,0.447311510453762,0.4702505664235679,1.1280785569791192
US-HB2,2019,7,-49.86754386433373,246.9807546556902,187.2936832034748,102.4224323085054,59.687071452215335,ENF,Upland,2.4113931791012573,3.361490174589102,8.53162836754155,0.24166689236747865,27.580771029886602,7.9390909371027165,272.17957556366514,223,81,303,33.3242,-79.244,"Humid Subtropical: mild with no dry season, hot summer",197.02074819151528,2.2906030403225808,198.27192221347727,45.92077241813102,556.7673907418624,80.2329713972701,101.60549495967742,141.48999999999998,28.948841184330615,73.47359112417466,0.2826416101614747,0.7173583898385241,5.496774193548387,0.1059536039890073,-0.1314738687145466,-0.5405638987788148,0.5551802330230178,0.4069190569979266,0.5265695838396403,1.2300911503705092
US-HB2,2019,8,-17.199219581764403,228.9748174158838,213.77881180859922,90.02185385034511,15.196005607284564,ENF,Upland,2.5435470124458672,3.616925150423634,8.570902308419248,0.06636540113354154,27.131782075044804,7.0176119356032745,230.0554776189252,223,81,303,33.3242,-79.244,"Humid Subtropical: mild with no dry season, hot summer",166.39725782264372,1.9976879139784947,222.63473258942548,39.48796267896373,473.85473659522256,82.22820606451613,101.44923353494623,120.46,26.715368951406724,63.30648489893826,0.2967653720597569,0.7032346279402417,5.449193548387097,-0.273502027965715,0.1870400568050101,-0.3937886095383851,0.7336200274383787,0.275131703040649,0.5962487713217596,1.2113138143465436
US-HB2,2019,9,-22.236687290733304,219.6320716986579,191.25982437440064,75.95913511036743,28.372247324257252,ENF,Upland,2.8914504013182345,4.219530619958116,9.186616390497422,0.129180802716212,25.93894207516795,7.136509302970348,240.7339920583183,223,81,303,33.3242,-79.244,"Humid Subtropical: mild with no dry season, hot summer",160.26033567229425,2.200249405208333,103.63927773840194,48.087433364998965,482.4838775314334,79.65467798047662,101.68634270833334,395.46999999999997,23.90783095349926,52.051304156868056,0.3147459606900679,0.6852540393099307,4.586666666666667,0.7488180330194661,0.1874947756416115,0.1179207699241974,0.2847911432505532,0.398924440757407,0.3694525225876778,1.3209900675101316
US-HB2,2019,10,14.152957595834842,165.69684507919197,179.83016422813776,59.67277689712518,-14.133319148945814,ENF,Upland,2.7767577393767082,4.632778491292428,6.93101276870767,-0.0852962477480548,22.156779901705246,5.594442698062284,158.88603603872292,223,81,303,33.3242,-79.244,"Humid Subtropical: mild with no dry season, hot summer",94.78865401418592,2.3973526240740743,68.63429098920089,16.80698664167034,316.7475956233444,79.4501859950095,101.58388877314815,99.52,23.906584882844932,35.76619201428013,0.4006279936336709,0.599372006366327,3.5570833333333334,0.1518007442104699,0.162956975500377,-0.1266221174374001,0.3218780114220687,0.404685946791797,0.092320705307087,0.7457219487306945
US-HB2,2020,3,-18.158089814377547,55.26072663109955,39.815805487542015,22.59106954424637,15.444921143557533,ENF,Upland,2.4461314911570304,4.496017167273657,5.365103676652576,0.27949182150032503,19.05419995258838,5.4398076227511725,187.75844102086685,223,81,303,33.3242,-79.244,"Humid Subtropical: mild with no dry season, hot summer",122.2932216574849,2.8140291477272728,175.5746218020874,38.72285958036793,373.46425958656016,79.16414142361111,101.52805274621211,31.629999999999992,10.300029591520982,12.291039952725344,0.45593368527096834,0.5440663147290298,3.022727272727273,0.3535985893510753,0.917033690161516,1.080629913786856,0.985209544656228,1.3978852255232277,1.097347741205698,0.818882325531014
US-HB2,2020,4,-78.82059016346503,176.11551679490643,94.6409406830032,81.08889555055795,81.47457611190319,ENF,Upland,2.1718820511632266,3.745538184141464,5.169405808299213,0.46262008932911686,19.185194816203705,7.983879558788956,256.8325578584522,223,81,303,33.3242,-79.244,"Humid Subtropical: mild with no dry season, hot summer",160.1219633083833,2.886741415625,187.61805469922265,47.337023263849055,501.34978239289177,66.16411430717592,101.22813166666666,149.36999999999998,34.06881241789184,47.02008313266598,0.4201415272286,0.5798584727713985,5.391666666666667,0.9299957639283826,1.326758306849316,1.385447295548766,1.018990133865809,1.4584696244860114,1.0555419346021957,0.9041961364995824
US-HB2,2020,5,-63.86005602348792,212.38696208484356,138.71471197224366,83.54615702901827,73.67225011259988,ENF,Upland,2.542151184896209,4.009102853522591,6.947567385772552,0.3468774607886221,21.83540709189068,6.637534608331495,269.8877288058918,223,81,303,33.3242,-79.244,"Humid Subtropical: mild with no dry season, hot summer",183.97387810739102,2.6020293407258066,121.48377815595097,61.100824888993515,541.1489705955374,74.59237559027778,101.53852788978494,201.63,30.569975113847228,52.97618191517091,0.3659052217474143,0.6340947782525841,5.464516129032258,1.6893809433259612,1.583837863109978,1.6685832088498476,1.636627804572583,1.6201020121084584,1.2874466710958306,1.0540507535940769
