site_name,Year,month,NEE,GPP,Reco,ET,NEP,IGBP,water_class,WUE,WUE_tra,WUE_eva,CUE,Tair_f,VPD_f,Rg_f,avg_length,avg_sos,avg_eos,lat,long,climate,NETRAD_f,WS,WD,H_f,PAR_f,RH,PA,precip_mm,Evap_pen,Trans_pen,Evap_ratio,Trans_ratio,lai,SPEI_1,SPEI_3,SPEI_6,SPEI_12,SPEI_24,SPEI_36,SPEI_48
US-A03,2014,6,0.0,3.4366072483410264,0.8500291263751859,0.0,2.586578121965809,BSV,Saline,,,,0.7526545616216235,3.237098517304688,1.080353298611111,216.96424479166663,70,158,227,70.4953,-149.8823,Tundra,,,,,,,,7.069999999999991,0.0,0.0,,,0.24375,1.2878715189059535,1.5589849511692129,1.4277706142425162,1.7494161284458754,1.2721936525292312,1.0699524319373312,0.7053907341974164
US-A03,2014,7,0.0,3.71035507155316,1.30452875742455,0.6772272060699159,2.405826314128577,BSV,Saline,,,,0.6484086476180553,5.71486489749328,1.4830564190005069,181.3027744623656,70,158,227,70.4953,-149.8823,Tundra,186.4356744500633,4.285228024007387,30.205776978658445,29.42997036043944,,60.0,100.0,34.41999999999998,0.6683811262673686,0.0088460798025447,,,0.4032258064516129,0.2592321261869948,1.6582159646628405,1.1312026182993606,0.9709050280060538,1.3087486837228046,1.0562416987554304,0.647559451204885
US-A03,2014,8,0.0,1.1805631452293286,0.561833849247712,2.707095652756302,0.6187292959816035,BSV,Saline,,,,0.5240967401717536,4.120431938472222,1.0468,119.03565402777778,70,158,227,70.4953,-149.8823,Tundra,80.79343805000013,6.351580825617284,12.74303589789107,32.020856968102365,,,,3.0,2.176072044117315,0.5310236086389666,0.8038401014392266,0.1961598985607659,0.3233333333333333,-1.1780501268039294,0.1221964008033287,0.2470085043628015,0.7725537667465036,1.1607881162640366,1.0644688965431948,0.4450787787502746
US-A03,2015,6,-21.224186930188637,32.04469433186872,12.919481273374542,34.80673744670807,19.125213058494158,BSV,Saline,0.920646308230748,3.6395704745367263,1.232383441381644,0.5968293178404254,8.204384874395833,6.900009329956624,270.73187213541667,70,158,227,70.4953,-149.8823,Tundra,164.63105716797656,3.7812933159722224,35.46766173344818,72.113424049767,577.2565743055555,35.05466072916667,101.24263684895833,8.039999999999996,26.002211045567865,8.80452640114013,0.7470453410170762,0.2529546589829217,0.4770833333333333,-0.2504040308769044,-0.6243405416028365,-0.4220713597473922,-0.560400998879594,0.910268408515188,0.8071811948027382,0.7582921918486923
US-A03,2015,7,-69.67255622782432,100.62627706899724,40.13847142670025,21.493911730657736,60.487805642296976,BSV,Saline,,15.800866551735336,,0.6011134209091508,5.032217113602151,5.215126585326688,211.6305310483871,70,158,227,70.4953,-149.8823,Tundra,136.06853048573782,4.468144825268817,30.832940029643748,84.2277649832784,450.9943472446236,31.012161895161288,101.42592634408602,1.639999999999997,15.125509292758109,6.36840243789958,0.7037113338091879,0.2962886661908098,0.6596774193548387,-0.7716811084345274,-1.6939198742800914,-0.8648902485394878,-0.8616083255879052,0.204174195837878,0.7775983131515914,0.632366973646244
US-A03,2015,8,-6.604458193961717,20.40160502595136,16.670844616016968,10.40626894990455,3.7307604099343936,BSV,Saline,1.960511026974609,9.284613007770954,2.4852993896936093,0.1828660247656383,6.009369040277777,5.668520052101068,120.52117875,70,158,227,70.4953,-149.8823,Tundra,80.38214555175948,3.591647638888889,25.188028437698723,35.535485173612265,258.6826026388889,30.33425722222222,101.2548182638889,39.13999999999999,8.208912419387225,2.197356530517298,0.7888430002054213,0.211156999794576,0.4166666666666667,1.2655144148083377,0.2813220287132634,0.11424252925883,0.1611848926340608,0.6254711730826414,1.0314629276793286,1.0393317895175445
US-A03,2016,6,-17.91002503640163,38.79087614537543,20.55774884556326,35.54329377186658,18.23312729981213,BSV,Saline,1.0913697642754592,3.339967012379722,1.621072432629635,0.4700364908356381,5.008508022160834,5.876256828930392,246.9671060833333,70,158,227,70.4953,-149.8823,Tundra,154.89787125108876,4.558825416666667,15.414484958103388,82.73257023555674,529.5116925,33.754325458333334,101.323187625,23.85999999999999,23.92914429027117,11.614149481595325,0.6732393582840006,0.326760641715997,0.393,1.219484237300483,0.91623178406375,0.2587736949641938,-0.2873001049860501,-0.4858134526964168,0.6139005013785663,0.6132731815819035
US-A03,2016,7,-79.02733309274247,109.19098016683324,34.337286274166374,38.7605924407906,74.85369389266684,BSV,Saline,2.817061693100532,7.756591061475685,4.423659405332578,0.685530011529319,7.649427161747311,6.486262890632936,214.97689173387096,70,158,227,70.4953,-149.8823,Tundra,129.48691169709696,4.590603595430108,9.781428301024627,75.38548106332043,436.7947736454506,33.33990241935484,101.18930070564517,18.44999999999999,24.68340578734589,14.077186653444606,0.636817041046301,0.3631829589536964,0.6701612903225806,-1.163759572421964,0.07518265931136,-0.5522019511781833,-0.3218447240720592,-0.7006850021530742,-0.0234723859061012,0.5552373541156599
US-A03,2016,8,-25.846694098909182,28.50268229512487,10.03837790936386,12.040329508035787,18.464304385761,BSV,Saline,2.367267629685883,7.808218024697593,3.3972266669335727,0.6478093603463824,5.592560099851191,5.482130951067506,145.97485639880952,70,158,227,70.4953,-149.8823,Tundra,91.44523090208524,5.0268523809523815,29.479861189474697,50.59441270967629,300.5518785714286,31.142565104166664,101.3417459077381,6.499999999999992,8.389985446820996,3.650344061214756,0.696823574572562,0.3031764254274349,0.5071428571428571,1.2969667639488984,1.0366895449848028,0.6461046796690906,-0.5072948303460445,-0.1371546877297827,0.3141372470195256,0.776331601166495
US-A03,2017,6,94.59206968847452,67.83433310852124,209.90438434892403,44.82834364233533,-142.07005124040276,BSV,Saline,1.5132018628602493,2.8767879370740586,3.192435701533719,,4.105377402931423,4.743597328548806,270.4063106770833,70,158,227,70.4953,-149.8823,Tundra,176.39311994197118,5.8978908854166665,42.685111556081495,131.18703390341796,597.7472102456986,39.10234859871032,101.45352322668651,0.0,21.24845711878616,23.57988652354911,,,0.2458333333333333,-0.7956333767505764,-0.1306456810673795,0.0139162586048917,0.0716247582271816,-0.1158930352911697,-0.3399196347204319,0.5777938682474482
