site_name,Year,NEE,GPP,Reco,ET,NEP,IGBP,water_class,WUE,WUE_tra,WUE_eva,CUE,Tair_f,VPD_f,Rg_f,avg_length,avg_sos,avg_eos,lat,long,climate,NETRAD_f,WS,WD,H_f,PAR_f,RH,PA,precip_mm,Evap_pen,Trans_pen,Evap_ratio,Trans_ratio,lai,SPEI_1,SPEI_3,SPEI_6,SPEI_12,SPEI_24,SPEI_36,SPEI_48
US-A03,2014,0.0,8.327525465123514,2.716391733047448,3.384322858826218,5.61113373207599,BSV,Saline,2.460617917526859,15.425065795346473,2.927636690182282,0.6738056527807645,4.523680790209822,1.2515032593668913,180.1866099107143,70,158,227,70.4953,-149.8823,Tundra,145.1646976687038,5.110393868244285,17.720011885810006,30.466325003504608,,60.0,100.0,44.48999999999997,2.844453170384684,0.5398696884415114,0.8404792595264458,0.15952074047354747,0.3314285714285714,-0.260169306051949,0.08160005925833819,0.5847193332240197,1.087972713184728,1.0579980404364553,0.8194251745790179,0.493532437968818
US-A03,2015,-97.50120135197467,153.07257642681734,69.72879731609176,66.70691812727036,83.34377911072552,BSV,Saline,2.2947031690891437,8.812323641791794,3.1026149915528287,0.544472308863054,6.329207187304762,5.889956412080033,212.37041535714286,70,158,227,70.4953,-149.8823,Tundra,133.92860000522433,4.044832053571429,30.522458977856928,69.64021670400318,453.0745941071429,32.25289620833333,101.32641821428572,48.81999999999998,49.3366327577132,17.37028536955701,0.7396029398867396,0.2603970601132582,0.545,-0.23061176156450602,-0.48931279115565385,-0.42160331901977227,-0.14918810132080396,0.658215078203814,0.834658411773301,0.7262611098476003
US-A03,2016,-122.78405222805328,176.48453860733355,64.93341302909349,86.34421572069296,111.55112557823996,BSV,Saline,2.0439648114730384,6.014806835426585,3.096082252896826,0.6320730782339741,6.294868342372916,6.067577194968941,212.6015612202381,70,158,227,70.4953,-149.8823,Tundra,130.9539182359488,4.666504002976191,18.885748884169796,73.05122781124741,442.6593799358424,33.04844318452381,101.2676065029762,48.809999999999974,57.00253552443806,29.341680196254686,0.6601778132866523,0.3398221867133453,0.5385714285714286,-0.32774229544500555,-0.4242260596480654,-0.4289903367929236,-0.4668066216400671,-0.2973182378333998,0.3683117148815558,0.5945499282285948
US-A03,2017,100.45652419701865,154.70788049207493,353.40837753406083,79.23993692510106,-198.7004970419858,BSV,Saline,1.9523978248279963,4.865866585411643,3.2607548314188275,-1.2843592479580537,7.066090480469345,5.733167252227575,206.93113913690473,70,158,227,70.4953,-149.8823,Tundra,132.08766768166294,5.083058452380952,43.48923696288961,93.71973099295506,459.8458798223348,36.19120938562925,101.27318265093537,65.71999999999997,47.4454193861481,31.794517538952817,0.59875640021009,0.40124359978990815,0.42642857142857143,0.47417484172289837,0.4358947927483483,0.31310093962901964,0.5959993865453164,0.1351400242133071,0.09600576975077406,0.6057249508813448
US-A03,2018,-51.15868187292761,132.18175760333605,86.13118226714431,64.54947868661408,46.050575336191734,BSV,Saline,2.047758716148194,11.440723100536827,2.4941902778956617,0.3483882811906981,5.161270262047024,5.612569499073694,190.65399065476188,70,158,227,70.4953,-149.8823,Tundra,118.41311488468327,4.291353883928571,8.036788891624717,46.42062052027945,428.2081367069812,30.704697232142856,101.28566151785715,59.57999999999996,52.99585952794959,11.553619158664347,0.8210114257505163,0.17898857424948147,0.26071428571428573,0.21612907201270373,0.5041680126611047,1.0935735745901156,1.4229054605611282,1.259188354233787,0.844070233532957,0.746295037101814
US-A03,2019,-138.81663498932886,182.9580715931591,83.11368552222275,78.07722582168546,99.8443860709363,BSV,Saline,2.3432962642781763,7.644584025202057,3.379089382820974,0.5457227724445994,6.78286926903244,5.947943055347899,188.27416172619047,70,158,227,70.4953,-149.8823,Tundra,121.00480088337413,4.27895793154762,38.42264279127086,64.109909641503,415.50758792156046,34.42947412202381,101.51268302083334,76.24999999999994,54.14419414985103,23.933031671834264,0.693469748445043,0.3065302515549549,0.42642857142857143,0.07180385122820765,0.4393628015779684,0.7853251558555837,1.226723404953084,1.5793000914924642,1.525110969975423,1.2344675847323925
US-A03,2020,-140.33455038279945,174.24404160170093,52.916696353466584,60.905930651410586,121.32734524823422,BSV,Saline,2.860871506897587,8.891742705110465,4.217986509022635,0.6963069963997544,4.840625694900893,4.6050941775702565,200.1586638392857,70,158,227,70.4953,-149.8823,Tundra,127.31596173819084,4.094476101190477,38.8171454347758,78.56648589535509,440.0947436738637,37.450188035714284,101.12790294642858,38.219999999999985,41.309767404181585,19.59616324722885,0.6782552530165606,0.32174474698343686,0.4992857142857143,-0.11562913894556735,-0.01101020465464512,0.1909835188257848,0.8976969750595182,1.3066678641417728,1.657663913200788,1.7134203771753909
US-A03,2021,0.9831899123476725,5.371170690401451,2.341170362120426,9.147865366783574,3.030000328281018,BSV,Saline,0.5871501683774754,2.206086290251107,0.8000957661486335,0.5641228892047276,3.343801506134259,4.13296297391676,250.59346435185185,70,158,227,70.4953,-149.8823,Tundra,169.68784060767396,5.150866550925925,54.82524803244452,120.08025017807091,566.5443370255144,34.55020405092593,101.13634398148149,0.0,6.713159746184246,2.43470562059931,0.7338498630030253,0.26615013699697265,0.3,-0.28598359978083954,-0.6434901533670357,-0.6297651900142396,-0.23373551083818067,0.4952962438954689,1.0004757231263053,1.467923296102582
US-A10,2011,0.0,62.70637393551954,97.54890228530023,0.0,-34.842528349780615,BSV,Saline,,,,-0.5556457208896963,4.657368807817074,1.0861039126016259,162.3756819105691,82,164,245,71.3242,-156.6149,Tundra,,,,,,,,54.989999999999945,0.0,0.0,,,0.576829268292683,-0.18448175215787463,-0.26580074091591815,-0.4989644375278946,-0.47460002393264905,-0.42738106096973655,-0.5330293132162026,-1.2113260345272896
US-A10,2012,-63.830386095994314,157.43489559534402,94.35073254846922,84.47649706930501,63.08416304687474,BSV,Saline,1.863653217843343,3.872776209630058,3.592369344519669,0.400700002425259,5.9273411916652945,4.695478944267703,186.57231801321137,82,164,245,71.3242,-156.6149,Tundra,116.41759492503947,4.6972571265243905,58.913206535215366,61.17845545930989,326.35871834140016,49.159734972052846,100.81253151676829,44.79999999999995,43.824807667819144,40.651689401485655,0.5187810715193957,0.48121892848060177,0.7609756097560977,-0.12524620246642362,0.05983805523546115,0.03065381321065158,-0.27848462902444177,-0.4835410428573557,-0.5096061597476094,-0.6844179933131236
US-A10,2013,-19.145499285321673,167.4446512552238,103.32028675128738,74.04341418775553,64.12436450393636,BSV,Saline,2.2614388206171334,5.319457498777971,3.933797977844392,0.3829585718220179,4.479463880752794,3.8522828756096508,168.08605546239838,82,164,245,71.3242,-156.6149,Tundra,113.15269818012375,4.5626443176420555,4.829862162725797,56.3598897173275,350.0235758792749,45.172706828873075,101.12680377026875,72.79999999999995,42.56564576988741,31.477768417867903,0.5748741631761011,0.425125836823896,0.5865853658536586,0.46475645027579365,0.4495833755219178,0.42563921248267866,0.26864836936188335,0.02240741525499713,-0.21415007052314605,-0.33799545810085224
US-A10,2014,-35.37838224438338,143.99176533049317,96.59360030672823,87.41827046343708,47.39816502376492,BSV,Saline,1.647158706837126,2.928286460381213,3.7649270542980484,0.32917274758716636,2.7882632573809705,3.130277241510635,167.58452906504067,82,164,245,71.3242,-156.6149,Tundra,104.48637181799754,4.856588630589431,54.677869862747244,62.549832667419984,356.31550873323386,49.79738138973577,100.92526117886179,74.57999999999997,38.24556578489665,49.172704678540185,0.43750082885582775,0.5624991711441694,0.48902439024390243,-0.3035832021726006,-0.009459607650739091,0.6367996305687068,1.2989189757068096,1.1226260154167769,0.8728802003501003,0.5796321558424316
US-A10,2015,-138.92887435547058,263.17208269933997,128.08062859240286,94.07270342266403,135.09145410693705,BSV,Saline,2.7975392767965936,4.889927930983257,6.537870208891925,0.5133198503477735,4.80740347672002,3.8476877869646855,170.41871862296748,82,164,245,71.3242,-156.6149,Tundra,110.67660066881722,4.436208536585365,64.5231548024564,60.96260312356118,359.19564384208013,54.78860161331301,101.04238514989838,57.87999999999997,40.253488413001676,53.81921500966209,0.4278976466972011,0.572102353302796,0.8067073170731707,-0.10266274086791959,-0.20062783915559648,-0.04249555222176354,0.29089098774307504,1.0347362231117623,1.1352386159217234,0.9432536276012548
