"site_name","Year","month","NEE","GPP","Reco","ET","NEP","IGBP","water_class","WUE","WUE_tra","WUE_eva","CUE","Tair_f","VPD_f","Rg_f","avg_length","avg_sos","avg_eos","lat","long","climate","NETRAD_f","WS","WD","H_f","PAR_f","RH","PA","precip_mm","Evap_pen","Trans_pen","Evap_ratio","Trans_ratio","lai","SPEI_1","SPEI_3","SPEI_6","SPEI_12","SPEI_24","SPEI_36","SPEI_48","coast_region","month_f","metric","WUE_value","SPEI_timescale","SPEI_value","model_group","baseline_WUE","baseline_n","WUE_change","WUE_pct_change","decline_2_5","decline_5","decline_10","decline_20"
"US-A03",2015,6,-21.2241869301886,32.0446943318687,12.9194812733745,34.8067374467081,19.1252130584942,"BSV","Saline",0.920646308230748,3.63957047453673,1.23238344138164,0.596829317840425,8.20438487439583,6.90000932995662,270.731872135417,70,158,227,70.4953,-149.8823,"Tundra",164.631057167977,3.78129331597222,35.4676617334482,72.113424049767,577.256574305556,35.0546607291667,101.242636848958,8.04,26.0022110455679,8.80452640114013,0.747045341017076,0.252954658982922,0.477083333333333,-0.250404030876904,-0.624340541602836,-0.422071359747392,-0.560400998879594,0.910268408515188,0.807181194802738,0.758292191848692,"AK Coast","6","WUE_ET",0.920646308230748,"SPEI_48",0.758292191848692,"WUE_ET",1.17507264512215,3,-0.254426336891404,-21.6519666207493,1,1,1,1
"US-A03",2015,8,-6.60445819396172,20.4016050259514,16.670844616017,10.4062689499046,3.73076040993439,"BSV","Saline",1.96051102697461,9.28461300777095,2.48529938969361,0.182866024765638,6.00936904027778,5.66852005210107,120.52117875,70,158,227,70.4953,-149.8823,"Tundra",80.3821455517595,3.59164763888889,25.1880284376987,35.5354851736123,258.682602638889,30.3342572222222,101.254818263889,39.14,8.20891241938723,2.1973565305173,0.788843000205421,0.211156999794576,0.416666666666667,1.26551441480834,0.281322028713263,0.11424252925883,0.161184892634061,0.625471173082641,1.03146292767933,1.03933178951754,"AK Coast","8","WUE_ET",1.96051102697461,"SPEI_48",1.03933178951754,"WUE_ET",2.61030209699231,3,-0.649791070017705,-24.8933282766933,1,1,1,1
"US-A03",2016,6,-17.9100250364016,38.7908761453754,20.5577488455633,35.5432937718666,18.2331272998121,"BSV","Saline",1.09136976427546,3.33996701237972,1.62107243262964,0.470036490835638,5.00850802216083,5.87625682893039,246.967106083333,70,158,227,70.4953,-149.8823,"Tundra",154.897871251089,4.55882541666667,15.4144849581034,82.7325702355567,529.5116925,33.7543254583333,101.323187625,23.86,23.9291442902712,11.6141494815953,0.673239358284001,0.326760641715997,0.393,1.21948423730048,0.91623178406375,0.258773694964194,-0.28730010498605,-0.485813452696417,0.613900501378566,0.613273181581903,"AK Coast","6","WUE_ET",1.09136976427546,"SPEI_48",0.613273181581903,"WUE_ET",1.17507264512215,3,-0.0837028808466931,-7.12320903683295,1,1,0,0
"US-A03",2016,7,-79.0273330927425,109.190980166833,34.3372862741664,38.7605924407906,74.8536938926668,"BSV","Saline",2.81706169310053,7.75659106147569,4.42365940533258,0.685530011529319,7.64942716174731,6.48626289063294,214.976891733871,70,158,227,70.4953,-149.8823,"Tundra",129.486911697097,4.59060359543011,9.78142830102463,75.3854810633204,436.794773645451,33.3399024193548,101.189300705645,18.45,24.6834057873459,14.0771866534446,0.636817041046301,0.363182958953696,0.670161290322581,-1.16375957242196,0.07518265931136,-0.552201951178183,-0.321844724072059,-0.700685002153074,-0.0234723859061012,0.55523735411566,"AK Coast","7","WUE_ET",2.81706169310053,"SPEI_48",0.55523735411566,"WUE_ET",2.42415619315489,3,0.392905499945639,16.2079283940156,0,0,0,0
"US-A03",2016,8,-25.8466940989092,28.5026822951249,10.0383779093639,12.0403295080358,18.464304385761,"BSV","Saline",2.36726762968588,7.80821802469759,3.39722666693357,0.647809360346382,5.59256009985119,5.48213095106751,145.97485639881,70,158,227,70.4953,-149.8823,"Tundra",91.4452309020852,5.02685238095238,29.4798611894747,50.5944127096763,300.551878571429,31.1425651041667,101.341745907738,6.49999999999999,8.389985446821,3.65034406121476,0.696823574572562,0.303176425427435,0.507142857142857,1.2969667639489,1.0366895449848,0.646104679669091,-0.507294830346045,-0.137154687729783,0.314137247019526,0.776331601166495,"AK Coast","8","WUE_ET",2.36726762968588,"SPEI_48",0.776331601166495,"WUE_ET",2.61030209699231,3,-0.243034467306431,-9.31058775099112,1,1,0,0
"US-A03",2017,6,94.5920696884745,67.8343331085212,209.904384348924,44.8283436423353,-142.070051240403,"BSV","Saline",1.51320186286025,2.87678793707406,3.19243570153372,NA,4.10537740293142,4.74359732854881,270.406310677083,70,158,227,70.4953,-149.8823,"Tundra",176.393119941971,5.89789088541667,42.6851115560815,131.187033903418,597.747210245699,39.1023485987103,101.453523226687,0,21.2484571187862,23.5798865235491,NA,NA,0.245833333333333,-0.795633376750576,-0.13064568106738,0.0139162586048917,0.0716247582271816,-0.11589303529117,-0.339919634720432,0.577793868247448,"AK Coast","6","WUE_ET",1.51320186286025,"SPEI_48",0.577793868247448,"WUE_ET",1.17507264512215,3,0.338129217738097,28.7751756575822,0,0,0,0
"US-A03",2017,7,-6.11209097960552,64.1295904069126,92.5477793080727,25.8101119457248,-28.41818890116,"BSV","Saline",2.48466920801306,9.90780959340655,3.31633623203919,NA,8.75819949677419,6.46578342708068,207.688770497312,70,158,227,70.4953,-149.8823,"Tundra",128.579067140871,4.75233649193548,46.3270046357805,86.9769797831303,461.764440053763,37.5120298387097,101.251220698925,19.66,19.3374814614259,6.47263048429893,0.749221138679675,0.250778861320323,0.658064516129032,-0.0793113825681002,0.187718633807188,-0.0640310932254368,0.403652997808046,0.0533542070082442,-0.378375053837116,0.128892258355853,"AK Coast","7","WUE_ET",2.48466920801306,"SPEI_48",0.128892258355853,"WUE_ET",2.42415619315489,3,0.060513014858171,2.49625065534317,0,0,0,0
"US-A03",2017,8,11.9765454881497,22.7439569766411,50.9562138770641,8.60148133704089,-28.212256900423,"BSV","Saline",2.64419070221055,13.0562284973684,3.31569656947779,NA,8.30620610416667,5.80240570208386,103.805093194444,70,158,227,70.4953,-149.8823,"Tundra",68.4500518494733,4.46281861111111,315.727469535755,47.7070655031856,235.238726666667,28.8036910416667,101.030025763889,46.06,6.85948080593609,1.74200053110478,0.797476683044912,0.202523316955085,0.236666666666667,1.64240554921346,0.910395958531781,0.962883486186592,0.560366877619222,0.104341701352441,0.21199721486131,0.556416648132401,"AK Coast","8","WUE_ET",2.64419070221055,"SPEI_48",0.556416648132401,"WUE_ET",2.61030209699231,3,0.0338886052182326,1.29826372423637,0,0,0,0
"US-A03",2018,7,-32.2867986664388,71.2647534303238,30.6167631326288,36.161460864721,40.647990297695,"BSV","Saline",1.97073767835108,10.4943705200654,2.4263892847724,0.570380003313096,8.50684166230511,7.01022276251176,189.875690793011,70,158,227,70.4953,-149.8823,"Tundra",117.619312961742,4.07757402553763,358.444491843288,53.637504374583,425.128758508422,32.9798888776882,101.356326680108,39.53,29.370700685817,6.79076017890396,0.812210015399874,0.187789984600124,0.358064516129032,0.598347914505307,1.33821980413924,1.0253086101651,1.54621275091829,1.32011806749388,0.992529533874712,0.566896277054892,"AK Coast","7","WUE_ET",1.97073767835108,"SPEI_48",0.566896277054892,"WUE_ET",2.42415619315489,3,-0.453418514803811,-18.7041790493588,1,1,1,0
"US-A03",2018,8,-12.0915549370748,38.4778328934902,22.9806879323587,13.647293176512,15.4971449611315,"BSV","Saline",2.81944795908051,11.2671864297954,3.76044380329617,0.40275513966779,3.4698824382625,4.65129699948013,111.513939861111,70,158,227,70.4953,-149.8823,"Tundra",76.5769393908551,3.89922916666667,354.106634169289,42.306096198259,245.30950875,35.8016559722222,100.996013194444,11.29,10.2322584530483,3.4150347234637,0.749764683787898,0.250235316212099,0.301666666666667,1.0436788465458,1.411722105939,1.18976227513517,1.52034705196661,1.30096097931321,0.875496461953154,0.877965059368634,"AK Coast","8","WUE_ET",2.81944795908051,"SPEI_48",0.877965059368634,"WUE_ET",2.61030209699231,3,0.209145862088199,8.01232402675476,0,0,0,0
