"term","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-0.469150631880329,0.253498848020199,-1.85070123807011,0.0642125458624536
"metricWUE_T",0.157676756819925,0.0268247761918933,5.87802692898428,4.15185389383038e-09
"SPEI_timescaleSPEI_3",-0.00120167210271082,0.050052384596999,-0.024008288763586,0.98084599713651
"SPEI_timescaleSPEI_6",0.00403882969535725,0.0502230810974485,0.0804178000851971,0.935904970332396
"SPEI_timescaleSPEI_12",0.028178265874957,0.0501947243269487,0.561379034406382,0.574539173353445
"SPEI_timescaleSPEI_24",-0.00396929871535715,0.0502850552528327,-0.0789359521511821,0.937083566765614
"SPEI_timescaleSPEI_36",0.0337951945853921,0.0501826561720644,0.67344371867277,0.50066504308238
"SPEI_timescaleSPEI_48",0.116441804148728,0.0501060573209352,2.32390673652298,0.0201304931394377
"water_classFreshwater",-0.0499493942036014,0.188570834787988,-0.264883985160059,0.791098835798664
"water_classSaline",0.077469000295801,0.194142885975333,0.39903084734016,0.689870475017591
"coast_regionPacific Coast",0.163317736489738,0.182637826556981,0.894216382052619,0.37120612879112
"coast_regionGulf Coast",0.555748548959418,0.29373760415037,1.89198979329497,0.0584923407323311
"coast_regionAK Coast",0.363665917683258,0.217174111434966,1.6745362293892,0.0940252603396286
"month_f2",-1.13665057580833,0.226485949830016,-5.01863615231504,5.20396051252519e-07
"month_f3",-0.448864690954,0.213806744777682,-2.09939443875231,0.0357821445301128
"month_f4",-0.334756875132862,0.212310217144744,-1.57673464628713,0.114856594852599
"month_f5",-0.538080758674754,0.212028937913228,-2.5377703815833,0.0111561154186598
"month_f6",0.0189669500040495,0.212153049183047,0.089402203159874,0.92876227261632
"month_f7",-0.294185246802587,0.213130475326866,-1.38030587297012,0.167492487465594
"month_f8",-0.569052815392253,0.213609201190687,-2.6639901849746,0.00772198157208223
"month_f9",-0.261756826817745,0.214279446112616,-1.221567591136,0.221871190669876
"month_f10",-0.426420600361919,0.218619889061611,-1.95051146623602,0.0511151880760154
"month_f11",-44.6364458955337,17935598.335972,-2.48870681977807e-06,0.999998014299252
