"term","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.0306286639737611,0.540576995306072,0.0566592071799492,0.954816669739171
"metricWUE_T",0.0741424088239276,0.0680123541762528,1.09013148746166,0.275655227786177
"water_classFreshwater",0.0513142094970094,0.124652947288469,0.411656608313154,0.680591133601405
"water_classSaline",0.296771462728849,0.131589433708905,2.2552833792518,0.0241155472082053
"month_f2",-0.82775768583104,0.578703133676643,-1.4303666900369,0.152611803286213
"month_f3",-0.264267411180538,0.547302400201854,-0.48285447146417,0.629199070739903
"month_f4",0.06484688216868,0.542211683305228,0.119596984287363,0.90480240876779
"month_f5",-0.263377199918122,0.539924343296001,-0.487803899172835,0.62568874929335
"month_f6",0.171197204766677,0.539488280329611,0.317332574235126,0.75099126297793
"month_f7",-0.152208255594968,0.540629447942233,-0.281538965689549,0.778297045864884
"month_f8",-0.303599807254748,0.541136794598227,-0.561040776168546,0.574769740006114
"month_f9",-0.0309669793401042,0.543643950505567,-0.0569618760795667,0.954575564288552
"month_f10",-0.434132611217858,0.553641817409042,-0.784139849207075,0.432958055239649
"month_f11",-41.6430049810587,47453132.8121258,-8.77560711237544e-07,0.999999299807857
