"metric","SPEI_timescale","water_class","coast_region","dry_SPEI_prob_25","dry_SPEI_prob_50","dry_SPEI_prob_75","wet_SPEI_prob_25","wet_SPEI_prob_50","wet_SPEI_prob_75","min_decline_probability_10","max_decline_probability_10"
"WUE_ET","SPEI_12","Upland","Pacific Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.284045323535084,0.284489767736322
"WUE_ET","SPEI_12","Upland","Gulf Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.370038363865554,0.370547722078849
"WUE_ET","SPEI_12","Upland","AK Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.326483107622258,0.32696362931851
"WUE_ET","SPEI_12","Freshwater","Atlantic Coast",NA,NA,NA,NA,NA,NA,0.242733670222504,0.243135425835063
"WUE_ET","SPEI_12","Freshwater","Pacific Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.273997904468574,0.274432653599615
"WUE_ET","SPEI_12","Freshwater","Gulf Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.358472148721097,0.358974658328943
"WUE_ET","SPEI_12","Freshwater","AK Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.315596261422468,0.316068279192233
"WUE_ET","SPEI_12","Saline","Atlantic Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.266914924964903,0.267342574068855
"WUE_ET","SPEI_12","Saline","Pacific Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.300059603922386,0.300518587832784
"WUE_ET","SPEI_12","Saline","Gulf Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.388271614867658,0.388790581495947
"WUE_ET","SPEI_12","Saline","AK Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.343741269386217,0.344234209527523
"WUE_ET","SPEI_24","Upland","Atlantic Coast",-1.72897371677414,NA,NA,1.04054278708586,NA,NA,0.240063071161003,0.260609405404906
"WUE_ET","SPEI_24","Upland","Pacific Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.271106475997731,0.293284338016624
"WUE_ET","SPEI_24","Upland","Gulf Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.355125332571144,0.380587574248117
"WUE_ET","SPEI_24","Upland","AK Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.312454781880782,0.336453796672263
"WUE_ET","SPEI_24","Freshwater","Atlantic Coast",NA,NA,NA,1.81237525537472,NA,NA,0.23106930577975,0.251100231708704
"WUE_ET","SPEI_24","Freshwater","Pacific Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.261349667333144,0.283039308460697
"WUE_ET","SPEI_24","Freshwater","Gulf Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.343770881333854,0.368884706200473
"WUE_ET","SPEI_24","Freshwater","AK Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.301826090677301,0.325395100581119
"WUE_ET","SPEI_24","Saline","Atlantic Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.254479043468705,0.275811397298557
"WUE_ET","SPEI_24","Saline","Pacific Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.286683373579049,0.309594263918771
"WUE_ET","SPEI_24","Saline","Gulf Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.373058917286796,0.399011389592383
"WUE_ET","SPEI_24","Saline","AK Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.329333994915369,0.353962025178408
"WUE_ET","SPEI_36","Upland","Atlantic Coast",-1.00254315838463,NA,NA,1.04054278708586,NA,NA,0.227671729276048,0.330749596826667
"WUE_ET","SPEI_36","Upland","Pacific Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.257656047621776,0.367843604591722
"WUE_ET","SPEI_36","Upland","Gulf Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.339447721070276,0.462806791576472
"WUE_ET","SPEI_36","Upland","AK Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.297791047433306,0.415534822503133
"WUE_ET","SPEI_36","Freshwater","Atlantic Coast",-1.07064602323365,NA,NA,1.19944947173357,NA,NA,0.219008407131667,0.319788031114949
"WUE_ET","SPEI_36","Freshwater","Pacific Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.248218460001375,0.356307189690851
"WUE_ET","SPEI_36","Freshwater","Gulf Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.328339312996085,0.450414139030517
"WUE_ET","SPEI_36","Freshwater","AK Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.287452622417855,0.403457297070416
"WUE_ET","SPEI_36","Saline","Atlantic Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.241580140679976,0.348116720262047
"WUE_ET","SPEI_36","Saline","Pacific Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.272749312940258,0.386034981115524
"WUE_ET","SPEI_36","Saline","Gulf Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.357027918137698,0.482112848642116
"WUE_ET","SPEI_36","Saline","AK Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.314240157719935,0.434463774877697
"WUE_ET","SPEI_48","Upland","Atlantic Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.229364595175803,0.339060015790466
"WUE_ET","SPEI_48","Upland","Pacific Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.259496953917034,0.376561633500641
"WUE_ET","SPEI_48","Upland","Gulf Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.341604097171246,0.472094687195828
"WUE_ET","SPEI_48","Upland","AK Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.299802901323763,0.424623920722534
"WUE_ET","SPEI_48","Freshwater","Atlantic Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.220655260331268,0.327957996059302
"WUE_ET","SPEI_48","Freshwater","Pacific Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.250014646187739,0.364909630298043
"WUE_ET","SPEI_48","Freshwater","Gulf Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.330460425139551,0.459666142066891
"WUE_ET","SPEI_48","Freshwater","AK Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.289423418355682,0.412468653889141
"WUE_ET","SPEI_48","Saline","Atlantic Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.243343838976526,0.356630974250598
"WUE_ET","SPEI_48","Saline","Pacific Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.274658158924084,0.394914813160158
"WUE_ET","SPEI_48","Saline","Gulf Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.359235238098884,0.491433747880907
"WUE_ET","SPEI_48","Saline","AK Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.316313082040894,0.443652625342382
"WUE_T","SPEI_1","Upland","Atlantic Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.249312226159698,0.286996016753421
"WUE_T","SPEI_1","Upland","Pacific Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.281109242904603,0.321540575370473
"WUE_T","SPEI_1","Upland","Gulf Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.366668633245121,0.412347312220666
"WUE_T","SPEI_1","Upland","AK Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.323306451633344,0.366711011512957
"WUE_T","SPEI_1","Freshwater","Atlantic Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.240081419841588,0.276884588950726
"WUE_T","SPEI_1","Freshwater","Pacific Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.271126350879821,0.310742501785537
"WUE_T","SPEI_1","Freshwater","Gulf Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.355148365749882,0.400298979430697
"WUE_T","SPEI_1","Freshwater","AK Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.312476388519626,0.355190159272952
"WUE_T","SPEI_1","Saline","Atlantic Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.26409060013856,0.303106225931919
"WUE_T","SPEI_1","Saline","Pacific Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.297026663923277,0.33866884507287
"WUE_T","SPEI_1","Saline","Gulf Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.384837276453184,0.431238197709435
"WUE_T","SPEI_1","Saline","AK Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.340481581340409,0.384880478482527
"WUE_T","SPEI_3","Upland","Atlantic Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.232612817201415,0.295408615276325
"WUE_T","SPEI_3","Upland","Pacific Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.263026257879208,0.330496401751648
"WUE_T","SPEI_3","Upland","Gulf Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.345728733888005,0.422258230630401
"WUE_T","SPEI_3","Upland","AK Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.30365559699981,0.376227293115285
"WUE_T","SPEI_3","Freshwater","Atlantic Coast",NA,NA,NA,1.01784183213619,NA,NA,0.22381596397027,0.285119317948412
"WUE_T","SPEI_3","Freshwater","Pacific Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.253459127444442,0.319539220836003
"WUE_T","SPEI_3","Freshwater","Gulf Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.33451887313631,0.410122413688867
"WUE_T","SPEI_3","Freshwater","AK Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.293198582723262,0.364579585501881
"WUE_T","SPEI_3","Saline","Atlantic Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.246726650044594,0.311784557442068
"WUE_T","SPEI_3","Saline","Pacific Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.278316163697861,0.347857140612687
"WUE_T","SPEI_3","Saline","Gulf Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.363455240160019,0.441262224583588
"WUE_T","SPEI_3","Saline","AK Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.320280897035132,0.394574490755522
"WUE_T","SPEI_6","Upland","Atlantic Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.231501649764091,0.321377279405329
"WUE_T","SPEI_6","Upland","Pacific Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.261819376260428,0.357982412828676
"WUE_T","SPEI_6","Upland","Gulf Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.344319670417666,0.452220974327944
"WUE_T","SPEI_6","Upland","AK Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.302338769749393,0.40521464999922
"WUE_T","SPEI_6","Freshwater","Atlantic Coast",NA,NA,NA,1.01784183213619,NA,NA,0.222734621379656,0.310582179300231
"WUE_T","SPEI_6","Freshwater","Pacific Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.252281116814517,0.346585707496889
"WUE_T","SPEI_6","Freshwater","Gulf Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.333132234567459,0.439879670746446
"WUE_T","SPEI_6","Freshwater","AK Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.291908093380183,0.39323526651475
"WUE_T","SPEI_6","Saline","Atlantic Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.245569637291234,0.338501190429115
"WUE_T","SPEI_6","Saline","Pacific Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.277065500688193,0.375976159365049
"WUE_T","SPEI_6","Saline","Gulf Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.362013904692686,0.471473007407612
"WUE_T","SPEI_6","Saline","AK Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.3189249931506,0.424014543191724
"WUE_T","SPEI_12","Upland","Atlantic Coast",-1.00254315838463,NA,NA,1.01784183213619,NA,NA,0.247529184651782,0.317085830875862
