"smooth_term","edf","Ref.df","Chi.sq","p-value"
"s(SPEI_value):model_groupWUE_ET",2.43038547088413,5,23.8737685027345,5.62289239116609e-05
"s(SPEI_value):model_groupWUE_T",0.00291619024614787,5,0.00201342564459596,0.45329060982707
"s(site_name)",25.303287716431,55,60.7344046020196,1.33600963414526e-06
