"site_name","water_class","coast_region","metric","SPEI_timescale","n_months","baseline_WUE","mean_pct_change","min_pct_change","pct_months_decline_2_5","pct_months_decline_5","pct_months_decline_10","pct_months_decline_20","dry_decline_2_5_threshold","dry_decline_5_threshold","dry_decline_10_threshold","dry_decline_20_threshold","wet_decline_5_threshold","wet_decline_2_5_threshold","wet_decline_10_threshold","wet_decline_20_threshold"
"US-HB2","Upland","Atlantic Coast","WUE_ET","SPEI_48",18,2.35305264122848,4.57564519518836,-29.0338144314624,22.2222222222222,22.2222222222222,22.2222222222222,11.1111111111111,NA,NA,NA,NA,1.20405176027394,1.20405176027394,1.20405176027394,1.38754220608059
"US-HB2","Upland","Atlantic Coast","WUE_T","SPEI_48",18,3.70792139754324,10.0488326410462,-25.6830134793425,38.8888888888889,33.3333333333333,22.2222222222222,16.6666666666667,NA,NA,NA,NA,1.20405176027394,1.20405176027394,1.38754220608059,1.38754220608059
"US-HB3","Upland","Atlantic Coast","WUE_ET","SPEI_48",5,2.89075869106229,-4.76997838603631,-14.5024894172843,80,80,20,0,NA,NA,NA,NA,1.04550471971693,1.04550471971693,1.04550471971693,NA
"US-HB3","Upland","Atlantic Coast","WUE_T","SPEI_48",5,4.42247587979113,-3.53628810759641,-13.2522939310553,60,20,20,0,NA,NA,NA,NA,1.348723831481,1.04550471971693,1.348723831481,NA
"US-KS2","Upland","Atlantic Coast","WUE_ET","SPEI_48",47,2.57372645543116,-1.18849367936841,-46.495681748206,55.3191489361702,53.1914893617021,51.063829787234,38.2978723404255,NA,NA,NA,NA,1.07013420514285,1.07013420514285,1.07013420514285,1.14936495608578
"US-KS2","Upland","Atlantic Coast","WUE_T","SPEI_48",47,3.62622761610503,-1.32182971397699,-44.6263884563776,53.1914893617021,53.1914893617021,51.063829787234,38.2978723404255,NA,NA,NA,NA,1.07013420514285,1.07013420514285,1.07013420514285,1.25150119866567
"US-LA2","Freshwater","Atlantic Coast","WUE_ET","SPEI_48",34,2.86017418967598,0.971764104566761,-34.5243567966265,44.1176470588235,44.1176470588235,26.4705882352941,17.6470588235294,NA,NA,NA,NA,NA,NA,NA,NA
"US-LA2","Freshwater","Atlantic Coast","WUE_T","SPEI_48",34,4.64771633318819,2.0544221804291,-44.6316406838342,52.9411764705882,52.9411764705882,47.0588235294118,29.4117647058824,NA,NA,NA,NA,NA,NA,NA,NA
"US-LA3","Saline","Atlantic Coast","WUE_ET","SPEI_48",21,2.54620616142363,-0.903915383886981,-39.442995299173,52.3809523809524,42.8571428571429,33.3333333333333,14.2857142857143,-1.39037891614482,-1.39037891614482,-1.39037891614482,NA,NA,NA,NA,NA
"US-LA3","Saline","Atlantic Coast","WUE_T","SPEI_48",21,5.33501757983963,-0.583647685021397,-30.1166878499982,47.6190476190476,38.0952380952381,23.8095238095238,9.52380952380952,-1.39037891614482,-1.39037891614482,-1.39037891614482,NA,NA,NA,NA,NA
"US-MCP","Freshwater","Pacific Coast","WUE_ET","SPEI_48",12,4.75388487567538,-2.96059473233375e-15,-31.7971449406551,33.3333333333333,33.3333333333333,8.33333333333333,8.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA
"US-MCP","Freshwater","Pacific Coast","WUE_T","SPEI_48",12,8.25800320623835,2.47949808832952e-15,-40.9784984179736,41.6666666666667,33.3333333333333,25,16.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA
"US-MRf","Upland","Pacific Coast","WUE_ET","SPEI_48",40,5.91439135899709,0.544793541704698,-37.4203129132883,35,32.5,25,15,NA,NA,NA,NA,NA,NA,NA,NA
"US-MRf","Upland","Pacific Coast","WUE_T","SPEI_48",40,9.88881380838274,1.07570269535496,-35.6582707505158,50,37.5,32.5,20,NA,NA,NA,NA,NA,NA,NA,NA
"US-Myb","Freshwater","Pacific Coast","WUE_ET","SPEI_48",82,1.45651295936944,1.80598181185024,-51.5557273091562,43.9024390243902,39.0243902439024,31.7073170731707,13.4146341463415,-1.01680570847372,-1.01680570847372,-1.01680570847372,-1.01680570847372,1.18775259353913,1.18775259353913,1.22078801850322,1.24138276394575
"US-Myb","Freshwater","Pacific Coast","WUE_T","SPEI_48",82,2.54514784267579,2.28305553881854,-33.2864596596056,34.1463414634146,26.8292682926829,18.2926829268293,9.75609756097561,-1.01680570847372,-1.01680570847372,-1.01680570847372,-1.01680570847372,1.22078801850322,1.22078801850322,1.24138276394575,1.24138276394575
"US-NC4","Freshwater","Atlantic Coast","WUE_ET","SPEI_48",78,1.76599055034905,-7.7150015251866,-50.9564419981825,58.974358974359,53.8461538461538,47.4358974358974,34.6153846153846,-1.08067562998493,-1.08067562998493,-1.08067562998493,-1.08067562998493,1.00397740547299,1.00397740547299,1.00397740547299,1.00397740547299
"US-NC4","Freshwater","Atlantic Coast","WUE_T","SPEI_48",78,2.916076976492,-12.2057603440003,-57.0240989706167,65.3846153846154,64.1025641025641,55.1282051282051,39.7435897435897,-1.08067562998493,-1.08067562998493,-1.08067562998493,-1.08067562998493,1.00397740547299,1.00397740547299,1.00397740547299,1.00397740547299
"US-ONA","Upland","Atlantic Coast","WUE_ET","SPEI_48",43,2.08114421018057,-2.0030183114465,-37.4039704913123,46.5116279069767,37.2093023255814,23.2558139534884,6.97674418604651,-1.00452756658912,-1.00452756658912,-1.00452756658912,-1.2147840049706,NA,NA,NA,NA
"US-ONA","Upland","Atlantic Coast","WUE_T","SPEI_48",43,5.02312035725413,-1.6670045617668,-40.2076691389037,48.8372093023256,44.1860465116279,32.5581395348837,9.30232558139535,-1.00452756658912,-1.00452756658912,-1.00452756658912,-1.00452756658912,NA,NA,NA,NA
"US-PHM","Saline","Atlantic Coast","WUE_ET","SPEI_48",33,1.70682355406152,-2.53098022849193,-27.5749322734312,48.4848484848485,45.4545454545455,33.3333333333333,15.1515151515152,-1.18455011616927,-1.18455011616927,-1.18455011616927,-1.18455011616927,1.14559298501398,1.01478499175619,1.52896445893288,NA
"US-PHM","Saline","Atlantic Coast","WUE_T","SPEI_48",33,2.55089487458548,-2.49384287360927,-27.4658585737495,57.5757575757576,39.3939393939394,27.2727272727273,12.1212121212121,-1.18455011616927,-1.18455011616927,-1.18455011616927,-1.18455011616927,1.14559298501398,1.14559298501398,1.14559298501398,NA
"US-RRC","Freshwater","Atlantic Coast","WUE_ET","SPEI_48",19,1.81362460670506,-1.44428908072438,-17.2685702898238,57.8947368421053,47.3684210526316,31.578947368421,0,-1.04111607052896,-1.04111607052896,-1.04111607052896,NA,1.06837189218683,1.06837189218683,1.06837189218683,NA
"US-RRC","Freshwater","Atlantic Coast","WUE_T","SPEI_48",19,2.13785861288276,-1.8402804571626,-24.8300903187361,52.6315789473684,42.1052631578947,42.1052631578947,15.7894736842105,-1.04111607052896,-1.04111607052896,-1.04111607052896,NA,1.06837189218683,1.06837189218683,1.06837189218683,NA
"US-SCg","Upland","Gulf Coast","WUE_ET","SPEI_48",29,2.67782178636214,-1.65108643635547,-62.6190580495885,44.8275862068966,41.3793103448276,41.3793103448276,34.4827586206897,-1.04471897882847,-1.84196409132398,-1.84196409132398,-1.84196409132398,NA,NA,NA,NA
"US-SCg","Upland","Gulf Coast","WUE_T","SPEI_48",29,11.3273179486856,-11.3323262269838,-77.5717407592228,62.0689655172414,62.0689655172414,55.1724137931034,55.1724137931034,-1.03539134735588,-1.03539134735588,-1.03539134735588,-1.03539134735588,NA,NA,NA,NA
"US-SCs","Upland","Gulf Coast","WUE_ET","SPEI_48",12,4.28684888151651,4.51649899852336,-38.7881597179481,41.6666666666667,41.6666666666667,33.3333333333333,16.6666666666667,-1.08954478636085,-1.08954478636085,-1.08954478636085,NA,NA,NA,NA,NA
"US-SCs","Upland","Gulf Coast","WUE_T","SPEI_48",12,10.2593527531447,-3.17130927312874,-46.7017043077299,66.6666666666667,58.3333333333333,50,50,-1.07507408923695,-1.07507408923695,-1.07507408923695,-1.07507408923695,NA,NA,NA,NA
