"model","AIC","BIC","deviance_explained","adj_r2","delta_AIC","delta_BIC"
"with_coast",34350.7086670633,35073.1928111584,0.0247319886726591,0.030297794140983,1.01615633916663,9.62110336429032
"without_coast",34349.6925107241,35063.5717077941,0.0247006433748896,0.0302862393210143,0,0
