"smooth_term","edf","Ref.df","Chi.sq","p-value"
"s(SPEI_value):model_groupWUE_ET__SPEI_1",0.00364036003569253,5,0.0016662296874062,0.567583683171873
"s(SPEI_value):model_groupWUE_T__SPEI_1",0.00109730293625012,5,0.000613917302431856,0.507016905158194
"s(SPEI_value):model_groupWUE_ET__SPEI_3",0.00237812480430427,5,0.000177542749121423,0.925217214869124
"s(SPEI_value):model_groupWUE_T__SPEI_3",0.980235287114603,5,2.22723857647823,0.10477687357722
"s(SPEI_value):model_groupWUE_ET__SPEI_6",0.00187846426552227,5,0.000709993593047805,0.611431667071656
"s(SPEI_value):model_groupWUE_T__SPEI_6",0.553631284667052,5,1.27648357739653,0.136060092407311
"s(SPEI_value):model_groupWUE_ET__SPEI_12",0.00161631344381763,5,0.000173121449917407,0.904226218505186
"s(SPEI_value):model_groupWUE_T__SPEI_12",0.831745132074901,5,5.19491022638419,0.0152958558724865
"s(SPEI_value):model_groupWUE_ET__SPEI_24",0.00874902573534684,5,0.00703797236739805,0.401708066881921
"s(SPEI_value):model_groupWUE_T__SPEI_24",0.885921016697513,5,8.05088549391345,0.0040339656235604
"s(SPEI_value):model_groupWUE_ET__SPEI_36",2.29548573749312,5,15.6477545564365,0.000756084587801409
"s(SPEI_value):model_groupWUE_T__SPEI_36",0.00397778308989194,5,0.00203159797457347,0.537652601596214
"s(SPEI_value):model_groupWUE_ET__SPEI_48",2.43666028169115,5,21.9828182534592,7.61681065138964e-05
"s(SPEI_value):model_groupWUE_T__SPEI_48",2.88968669970927,5,10.2901178791228,0.0213576634725957
"s(site_name)",48.3364052091447,57,523.861171539178,0
