"term","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-0.0809419607465423,0.232584789509696,-0.348010550978734,0.727832259674149
"metricWUE_T",0.137001858440457,0.0257516957435557,5.32011017079296,1.03704433010923e-07
"SPEI_timescaleSPEI_3",-0.00651518146423703,0.0479409499334618,-0.135900132835907,0.891900230462547
"SPEI_timescaleSPEI_6",-0.0307563151408937,0.0481272764073427,-0.639062033774288,0.522782577212259
"SPEI_timescaleSPEI_12",0.00976488167693855,0.0481266451480348,0.202899696143422,0.83921343178407
"SPEI_timescaleSPEI_24",-0.020339788552885,0.0481383328515493,-0.422527897166892,0.672639742696776
"SPEI_timescaleSPEI_36",0.0127343900702918,0.0481359633106914,0.264550435774978,0.791355806474834
"SPEI_timescaleSPEI_48",0.123686794036184,0.0481553752347219,2.56849403484663,0.0102141470084434
"water_classFreshwater",-0.0426663200665204,0.132278112458711,-0.322550112588266,0.747035980157002
"water_classSaline",0.0700693587501763,0.136023032308772,0.515128633444364,0.606463135113112
"coast_regionPacific Coast",0.0607558656053543,0.127934177033478,0.474899413230725,0.634858669698927
"coast_regionGulf Coast",0.257233118241303,0.205591951802278,1.25118282105075,0.210867784333363
"coast_regionAK Coast",0.0553144394106506,0.153940420978898,0.359323685481106,0.71935295744261
"month_f2",-1.17118495382788,0.225468485461583,-5.19445079621753,2.05325067029881e-07
"month_f3",-0.440142194276273,0.213165737754209,-2.06478864245895,0.0389430029606478
"month_f4",-0.172846639390894,0.211659021658344,-0.816627791419636,0.414141168006294
"month_f5",-0.445135134701705,0.211265376269626,-2.10699520461698,0.0351179952445172
"month_f6",0.0281373707876366,0.211500831320251,0.13303669121296,0.894164363002512
"month_f7",-0.247331281863928,0.21230333249319,-1.1649901061815,0.244022997712136
"month_f8",-0.455545215641726,0.212604220228027,-2.14269131230384,0.0321378934428731
"month_f9",-0.235472930912636,0.213319008597723,-1.10385348432165,0.269656699572508
"month_f10",-0.424032671959443,0.21699494620159,-1.95411312282597,0.0506878404896166
"month_f11",-55.8049346937683,17935598.335972,-3.1114063578155e-06,0.999997517456905
