"metric","SPEI_timescale","water_class","coast_region","SPEI_value","month_f","site_name","model_group","decline_probability_5","decline_probability_5_lower","decline_probability_5_upper"
"WUE_ET","SPEI_1","Upland","Atlantic Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_1",0.338046430733691,0.243767102584398,0.447225252903053
"WUE_T","SPEI_1","Upland","Atlantic Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_1",0.369295596151883,0.269884782713639,0.481190734704369
"WUE_ET","SPEI_3","Upland","Atlantic Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_3",0.336539570518782,0.242574218069351,0.44549516925633
"WUE_T","SPEI_3","Upland","Atlantic Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_3",0.338309599591701,0.237763070041588,0.455942092144642
"WUE_ET","SPEI_6","Upland","Atlantic Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_6",0.331176824106744,0.238195178556562,0.43951403000962
"WUE_T","SPEI_6","Upland","Atlantic Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_6",0.34247175196253,0.243054018856398,0.457952313094533
"WUE_ET","SPEI_12","Upland","Atlantic Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_12",0.340197952455863,0.245599716446602,0.449521470355913
"WUE_T","SPEI_12","Upland","Atlantic Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_12",0.326452612342998,0.228502707837049,0.442317462420596
"WUE_ET","SPEI_24","Upland","Atlantic Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_24",0.333437268105472,0.239989421854405,0.442105455355194
"WUE_T","SPEI_24","Upland","Atlantic Coast",-2.16029186081791,"7","US-A03","WUE_T__SPEI_24",0.308521758278207,0.213901849908346,0.422501160994046
"WUE_ET","SPEI_36","Upland","Atlantic Coast",-2.16029186081791,"7","US-A03","WUE_ET__SPEI_36",0.44536835928749,0.315118888088029,0.583580766726912
