"metric","SPEI_timescale","water_class","dry_SPEI_prob_25","dry_SPEI_prob_50","dry_SPEI_prob_75","wet_SPEI_prob_25","wet_SPEI_prob_50","wet_SPEI_prob_75","min_decline_probability_2_5","max_decline_probability_2_5"
"WUE_ET","SPEI_48","Upland",-1.01505482624875,-1.47446015026003,NA,1.00632859940085,NA,NA,0.37394636716614,0.579759520556072
"WUE_ET","SPEI_48","Freshwater",-1.01505482624875,-1.35960881925721,NA,1.00632859940085,1.87919871502227,NA,0.386035103048382,0.592207953092508
"WUE_ET","SPEI_48","Saline",-1.01505482624875,-1.01505482624875,NA,1.00632859940085,1.25900152760705,NA,0.445578399595509,0.649890458718793
"WUE_T","SPEI_48","Upland",-1.01505482624875,NA,NA,1.00632859940085,NA,NA,0.44248081849744,0.442545778294435
"WUE_T","SPEI_48","Freshwater",-1.01505482624875,NA,NA,1.00632859940085,NA,NA,0.455174280267514,0.45523958193333
"WUE_T","SPEI_48","Saline",-1.01505482624875,-1.01505482624875,NA,1.00632859940085,1.00632859940085,NA,0.516412019283757,0.516477778068941
