"metric","SPEI_timescale","water_class","coast_region","n_months","n_sites","mean_pct_change","pct_decline_2_5","pct_decline_5","pct_decline_10","pct_decline_20","min_SPEI","max_SPEI"
"WUE_ET","SPEI_48","Upland","Atlantic Coast",301,8,-1.62591099818373,46.843853820598,42.1926910299003,33.8870431893688,24.2524916943522,-2.03017402236404,2.39411935359089
"WUE_ET","SPEI_48","Upland","Pacific Coast",133,4,0.149408985135041,42.8571428571429,39.8496240601504,30.0751879699248,18.0451127819549,-2.29485701732724,1.77925285670009
"WUE_ET","SPEI_48","Upland","Gulf Coast",92,5,8.69856887259403,44.5652173913043,42.3913043478261,39.1304347826087,31.5217391304348,-1.92149170091185,1.28640898757287
"WUE_ET","SPEI_48","Upland","AK Coast",44,2,1.49375461495021e-15,50,50,43.1818181818182,36.3636363636364,-0.833760906593362,0.795510545105761
"WUE_ET","SPEI_48","Freshwater","Atlantic Coast",214,5,-0.646202896211966,53.2710280373832,49.0654205607477,40.6542056074766,26.6355140186916,-2.90025015604088,1.67729740302192
"WUE_ET","SPEI_48","Freshwater","Pacific Coast",217,5,-1.01640363239572,46.0829493087558,40.5529953917051,31.3364055299539,13.8248847926267,-2.2997711241758,1.9333385335722
"WUE_ET","SPEI_48","Freshwater","AK Coast",26,1,-6.7041812576891,57.6923076923077,57.6923076923077,57.6923076923077,50,-0.253103462870794,1.20573365707844
"WUE_ET","SPEI_48","Saline","Atlantic Coast",203,6,-3.80324367287066,57.6354679802956,52.7093596059113,39.9014778325123,18.7192118226601,-2.37079128580051,1.63551697154512
"WUE_ET","SPEI_48","Saline","Pacific Coast",34,1,-3.55276958534652,55.8823529411765,52.9411764705882,44.1176470588235,23.5294117647059,-1.57973220787017,1.13325345856668
"WUE_ET","SPEI_48","Saline","AK Coast",47,2,11.9617415508154,42.5531914893617,40.4255319148936,34.0425531914894,21.2765957446809,-0.978364223096254,2.00646554737339
"WUE_T","SPEI_48","Upland","Atlantic Coast",301,8,-1.19372938516836,46.5116279069767,42.8571428571429,36.2126245847176,25.5813953488372,-2.03017402236404,2.39411935359089
"WUE_T","SPEI_48","Upland","Pacific Coast",133,4,-0.373267546396812,51.1278195488722,42.1052631578947,33.0827067669173,23.3082706766917,-2.29485701732724,1.77925285670009
"WUE_T","SPEI_48","Upland","Gulf Coast",92,5,0.584761574033815,61.9565217391304,60.8695652173913,57.6086956521739,48.9130434782609,-1.92149170091185,1.28640898757287
"WUE_T","SPEI_48","Upland","AK Coast",44,2,-1.4130111222502e-16,56.8181818181818,52.2727272727273,47.7272727272727,40.9090909090909,-0.833760906593362,0.795510545105761
"WUE_T","SPEI_48","Freshwater","Atlantic Coast",214,5,1.97572466760406,56.5420560747664,54.6728971962617,47.6635514018692,32.7102803738318,-2.90025015604088,1.67729740302192
"WUE_T","SPEI_48","Freshwater","Pacific Coast",217,5,0.198863797354467,44.2396313364055,37.7880184331797,25.3456221198157,10.1382488479263,-2.2997711241758,1.9333385335722
"WUE_T","SPEI_48","Freshwater","AK Coast",26,1,-8.82046198452815,69.2307692307692,69.2307692307692,65.3846153846154,61.5384615384615,-0.253103462870794,1.20573365707844
"WUE_T","SPEI_48","Saline","Atlantic Coast",203,6,-3.34385246494664,56.6502463054187,47.2906403940887,37.4384236453202,20.1970443349754,-2.37079128580051,1.63551697154512
"WUE_T","SPEI_48","Saline","Pacific Coast",34,1,-2.86519646662196,52.9411764705882,47.0588235294118,41.1764705882353,23.5294117647059,-1.57973220787017,1.13325345856668
"WUE_T","SPEI_48","Saline","AK Coast",47,2,16.661169137913,34.0425531914894,34.0425531914894,34.0425531914894,21.2765957446809,-0.978364223096254,2.00646554737339
