"term","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-12.0069989862239,6.42101658302625,-1.86995296320587,0.0616033042065561
"metricWUE_T",0.321426121441462,1.54605806034626,0.207900420873892,0.835323098889073
"water_classFreshwater",0.313854913027284,3.9179772673143,0.0801063639765386,0.936158862491716
"water_classSaline",0.963827998290387,4.25244005323412,0.226652930135338,0.820711552823597
"month_f3",13.0862322424257,6.53311767057247,2.00306085123352,0.0452749899504423
"month_f4",17.8091836667112,6.3379015659154,2.80994955214945,0.00499221371696183
"month_f5",8.58283843218618,6.37554406023858,1.34621270766734,0.178351971558308
"month_f6",12.1133150832908,6.31343938209621,1.91865548240504,0.0551379715504781
"month_f7",10.739870666242,6.34983458485107,1.69136227451725,0.0908881769904314
"month_f8",11.4895128716688,6.39505949961374,1.79662329527392,0.0725121559680661
"month_f9",14.501437687335,6.44744959388307,2.24917426281131,0.0245852724971506
"month_f10",10.0146226976721,6.87291108464408,1.457115125503,0.145206070197634
