"site_name","metric","SPEI_timescale","month_f","baseline_WUE","baseline_n"
"US-EDN","WUE_T","SPEI_48","9",2.19998489928952,1
"US-EKH","WUE_ET","SPEI_48","2",0.955865365260242,1
"US-EKH","WUE_ET","SPEI_48","3",1.0592973289803,2
"US-EKH","WUE_ET","SPEI_48","4",1.44614831011018,1
"US-EKH","WUE_ET","SPEI_48","5",1.0562047573896,1
"US-EKH","WUE_ET","SPEI_48","6",1.04549117555988,2
"US-EKH","WUE_ET","SPEI_48","7",0.857448352391795,1
"US-EKH","WUE_ET","SPEI_48","8",1.26470742027487,2
"US-EKH","WUE_T","SPEI_48","2",2.39272476158425,1
"US-EKH","WUE_T","SPEI_48","3",2.1374898262377,2
"US-EKH","WUE_T","SPEI_48","4",3.36001084739166,1
"US-EKH","WUE_T","SPEI_48","5",2.63625434577197,1
"US-EKH","WUE_T","SPEI_48","6",4.57755886576218,2
"US-EKH","WUE_T","SPEI_48","7",4.48556061072164,1
"US-EKH","WUE_T","SPEI_48","8",5.9938699240668,2
"US-EKN","WUE_ET","SPEI_48","2",0.22234138199642,1
"US-EKN","WUE_ET","SPEI_48","3",0.319764206083858,1
"US-EKN","WUE_ET","SPEI_48","4",0.212269640299238,1
"US-EKN","WUE_ET","SPEI_48","5",0.220499310150351,1
"US-EKN","WUE_ET","SPEI_48","6",0.215984848767664,1
"US-EKN","WUE_ET","SPEI_48","7",0.306173345933566,2
"US-EKN","WUE_T","SPEI_48","2",0.693421653440425,1
"US-EKN","WUE_T","SPEI_48","3",0.638075672447721,1
"US-EKN","WUE_T","SPEI_48","4",0.355500109442623,1
"US-EKN","WUE_T","SPEI_48","5",0.323730611051924,1
"US-EKN","WUE_T","SPEI_48","6",0.373809756758537,1
"US-EKN","WUE_T","SPEI_48","7",0.575200420772908,2
"US-EKP","WUE_ET","SPEI_48","5",2.3908099052344,1
"US-EKP","WUE_ET","SPEI_48","6",3.23392327489535,2
"US-EKP","WUE_ET","SPEI_48","7",3.75490562946008,2
"US-EKP","WUE_ET","SPEI_48","8",3.23694342806965,2
"US-EKP","WUE_ET","SPEI_48","9",3.33506287594262,2
"US-EKP","WUE_T","SPEI_48","5",3.4899295971975,1
"US-EKP","WUE_T","SPEI_48","6",4.96755381019478,2
"US-EKP","WUE_T","SPEI_48","7",5.32766383502809,2
"US-EKP","WUE_T","SPEI_48","8",5.04197459690226,2
"US-EKP","WUE_T","SPEI_48","9",6.45116045748824,2
"US-Elm","WUE_ET","SPEI_48","3",0.292687639002012,5
"US-Elm","WUE_ET","SPEI_48","4",0.306492508020749,5
"US-Elm","WUE_ET","SPEI_48","5",0.330325017904391,5
"US-Elm","WUE_ET","SPEI_48","6",0.316624960673954,6
"US-Elm","WUE_ET","SPEI_48","7",0.180941353409127,5
"US-Elm","WUE_T","SPEI_48","3",0.662741420705631,5
"US-Elm","WUE_T","SPEI_48","4",0.640374511634958,5
"US-Elm","WUE_T","SPEI_48","5",0.645224838347972,5
"US-Elm","WUE_T","SPEI_48","6",0.724830048647362,6
"US-Elm","WUE_T","SPEI_48","7",0.404935887941052,5
"US-Esm","WUE_ET","SPEI_48","1",0.142522030682911,2
"US-Esm","WUE_ET","SPEI_48","2",0.352031554246627,4
"US-Esm","WUE_ET","SPEI_48","3",0.303761914008238,4
"US-Esm","WUE_ET","SPEI_48","4",0.167583333115481,3
"US-Esm","WUE_ET","SPEI_48","5",0.25189866145227,4
"US-Esm","WUE_ET","SPEI_48","6",0.121189186430629,4
"US-Esm","WUE_T","SPEI_48","1",1.09376762415149,2
"US-Esm","WUE_T","SPEI_48","2",1.5125620937135,4
"US-Esm","WUE_T","SPEI_48","3",0.782364507742893,4
"US-Esm","WUE_T","SPEI_48","4",0.470477607856345,3
"US-Esm","WUE_T","SPEI_48","5",0.863263177228969,4
"US-Esm","WUE_T","SPEI_48","6",0.435262544581752,4
"US-Fo1","WUE_ET","SPEI_48","6",2.47977149988446,1
