"smooth_term","edf","Ref.df","Chi.sq","p-value"
"s(SPEI_value):model_groupWUE_ET__SPEI_1",0.607615963079954,5,1.57101967157695,0.112896441317047
"s(SPEI_value):model_groupWUE_T__SPEI_1",1.03754638776089,5,2.19966523475409,0.12145558916201
"s(SPEI_value):model_groupWUE_ET__SPEI_3",0.00204781644491755,5,0.000599418854463119,0.692134021539137
"s(SPEI_value):model_groupWUE_T__SPEI_3",1.39856086118675,5,5.11087601444484,0.0278122075562217
"s(SPEI_value):model_groupWUE_ET__SPEI_6",0.00199804130935382,5,0.000701978421308577,0.638214950907132
"s(SPEI_value):model_groupWUE_T__SPEI_6",0.857408758886413,5,6.43167765709217,0.00850780899018333
"s(SPEI_value):model_groupWUE_ET__SPEI_12",0.0235262553174896,5,0.0225384222133892,0.357459668952557
"s(SPEI_value):model_groupWUE_T__SPEI_12",0.886458918700667,5,4.58850280318285,0.0229549933125448
"s(SPEI_value):model_groupWUE_ET__SPEI_24",0.97682198135431,5,1.45986915196402,0.239592171220687
"s(SPEI_value):model_groupWUE_T__SPEI_24",0.920596227459624,5,12.9319856274241,0.000438306583244064
"s(SPEI_value):model_groupWUE_ET__SPEI_36",2.21351602197353,5,12.2855259683234,0.00411816618922134
"s(SPEI_value):model_groupWUE_T__SPEI_36",0.731999593374944,5,1.50414610575291,0.14916546421118
"s(SPEI_value):model_groupWUE_ET__SPEI_48",2.69991820265988,5,17.1668577155187,0.00130267053282573
"s(SPEI_value):model_groupWUE_T__SPEI_48",2.9295880045479,5,12.5999831782711,0.0112848254419431
"s(site_name)",51.4522816805551,57,931.97787965345,0
