"model","AIC","BIC","deviance_explained","adjusted_r_squared","scale","delta_AIC"
"simple_linear_gam",15045.1899838781,15515.7853295003,0.781313060547188,0.776847886717701,3.71624939233958,638.732235354595
"simple_smooth_gam",14406.4577485236,15060.5765175489,0.819799912020919,0.814950217837166,3.08171466718416,0
