"site_name","Year","month","water_class","difference_type","Trans_ratio","Trans_ratio_z","SPEI_1","WUE_difference","simple_gam_fitted","simple_gam_residual"
"US-A03",2015,6,"Saline","WUE_ET_minus_WUE_T",0.252954658982922,-1.73390907990953,-0.250404030876904,-2.71892416630598,-4.80884081704609,2.08991665074011
"US-A03",2017,7,"Saline","WUE_ET_minus_WUE_T",0.250778861320323,-1.74644304013727,-0.0793113825681002,-7.42314038539349,-4.87428716707365,-2.54885321831984
"US-A03",2018,7,"Saline","WUE_ET_minus_WUE_T",0.187789984600124,-2.10929850651244,0.598347914505307,-8.52363284171434,-6.09832677103379,-2.42530607068055
"US-A03",2019,6,"Saline","WUE_ET_minus_WUE_T",0.302171321440203,-1.45039021214666,0.808188625825573,-2.77038021333929,-3.99065926610412,1.22027905276483
"US-A03",2019,7,"Saline","WUE_ET_minus_WUE_T",0.331341995117861,-1.28234882209611,0.887346387903712,-5.23833652167453,-3.60155681889157,-1.63677970278296
"US-A03",2020,6,"Saline","WUE_ET_minus_WUE_T",0.314167304335341,-1.38128582110664,-0.337731962168077,-3.30489069488708,-3.81339002879794,0.508499333910859
"US-A03",2020,8,"Saline","WUE_ET_minus_WUE_T",0.192817354833588,-2.08033769841917,-0.28847270881118,-9.09593295018768,-6.02900629141056,-3.06692665877712
"US-A03",2021,6,"Saline","WUE_ET_minus_WUE_T",0.266150136996973,-1.65789484409294,0.440495390642731,-1.61893612187363,-4.57589009431757,2.95695397244393
"US-A10",2012,6,"Saline","WUE_ET_minus_WUE_T",0.520663599078083,-0.191737551076989,0.139265404182261,-0.504049621172885,-1.92877115412157,1.42472153294868
"US-A10",2012,7,"Saline","WUE_ET_minus_WUE_T",0.457738390695981,-0.554226247861779,-0.860088491680558,-2.69864764000096,-2.38387705751755,-0.314770582483414
"US-A10",2012,8,"Saline","WUE_ET_minus_WUE_T",0.47526633742659,-0.453254272860758,-0.336805223964465,-2.96284455754305,-2.29041303125962,-0.672431526283431
"US-A10",2013,6,"Saline","WUE_ET_minus_WUE_T",0.384343965905968,-0.977024202408851,0.862521692993792,-1.35598680814438,-2.99520056268976,1.63921375454539
"US-A10",2013,8,"Saline","WUE_ET_minus_WUE_T",0.426414096183479,-0.734673845692375,0.957961444250388,-4.67363029224948,-2.66437354032414,-2.00925675192535
"US-A10",2014,7,"Saline","WUE_ET_minus_WUE_T",0.593621410370574,0.228545235673516,0.748660545720464,-0.926705872511348,-1.52120933201649,0.594503459505145
"US-A10",2015,8,"Saline","WUE_ET_minus_WUE_T",0.508675476758599,-0.26079666026736,0.949190782838457,-2.6400421820679,-2.06511792298638,-0.574924259081514
"US-A10",2016,6,"Saline","WUE_ET_minus_WUE_T",0.648791039965316,0.546356930669598,0.590823552008472,-0.288221566420432,-1.21379265580309,0.925571089382654
"US-A10",2016,7,"Saline","WUE_ET_minus_WUE_T",0.661600330688859,0.620146485293234,-0.483843682087474,-1.64700521926185,-1.1818963456704,-0.465108873591458
"US-A10",2016,8,"Saline","WUE_ET_minus_WUE_T",0.534196372299379,-0.113780283155298,-0.553789430441501,-2.37275189285061,-1.90333821955116,-0.469413673299452
"US-A10",2017,6,"Saline","WUE_ET_minus_WUE_T",0.714145392737973,0.922839023854246,0.0625297876892351,-0.787552153025431,-0.946610627325911,0.15905847430048
"US-A10",2017,7,"Saline","WUE_ET_minus_WUE_T",0.626425018554229,0.417514608776362,0.896930669781346,-1.77974223177177,-1.34810329304728,-0.431638938724483
"US-A10",2017,8,"Saline","WUE_ET_minus_WUE_T",0.451891095705129,-0.587910337202882,0.723479985628111,-3.97792052396162,-2.46107541374167,-1.51684511021995
"US-A10",2018,6,"Saline","WUE_ET_minus_WUE_T",0.512749102964545,-0.237330016412721,0.393762242852899,-0.420744879734072,-1.97936246612857,1.5586175863945
"US-A10",2020,6,"Saline","WUE_ET_minus_WUE_T",0.488547802541507,-0.37674469737132,-0.296499669165121,-1.73776437991758,-2.13922761121459,0.401463231297013
"US-A10",2020,7,"Saline","WUE_ET_minus_WUE_T",0.584118448878044,0.173802212716709,-0.184251790173387,-2.01233072908297,-1.57421406503679,-0.438116664046187
"US-A10",2021,6,"Saline","WUE_ET_minus_WUE_T",0.482147075093919,-0.41361690503827,0.676560581353335,-3.65970225648194,-2.18304454088029,-1.47665771560165
"US-A10",2021,8,"Saline","WUE_ET_minus_WUE_T",0.626406291613708,0.417406729844554,-0.141435486345317,-1.47411622331291,-1.38145667744813,-0.0926595458647756
"US-A10",2022,6,"Saline","WUE_ET_minus_WUE_T",0.339571399352674,-1.23494228832226,0.536457205750764,-4.59437257080667,-3.50969522888704,-1.08467734191963
"US-A10",2022,7,"Saline","WUE_ET_minus_WUE_T",0.52303866060968,-0.178055705891122,0.936293221570519,-2.77556238146109,-1.93988998160872,-0.835672399852377
"US-A10",2022,8,"Saline","WUE_ET_minus_WUE_T",0.431719802338575,-0.704109647986343,0.906030794455581,-4.5778042900684,-2.62028512361359,-1.9575191664548
"US-Atq",1999,6,"Freshwater","WUE_ET_minus_WUE_T",0.613163621081762,0.341120635503375,-0.444222397443271,-0.555253405765995,-0.812334673596986,0.257081267830991
"US-Atq",1999,7,"Freshwater","WUE_ET_minus_WUE_T",0.560085984602099,0.0353601339393859,-0.715020884441495,-0.616389246791414,-1.10599054951968,0.489601302728265
"US-Atq",1999,8,"Freshwater","WUE_ET_minus_WUE_T",0.453295176385155,-0.579821951181293,-0.272356875769605,-1.04698718364877,-1.69307770738247,0.646090523733701
