"difference_type","difference_label","water_class","n_months","n_sites","mean_difference","median_difference","sd_difference","se_difference","ci95_difference"
"WUE_ET_minus_WUE_T","WUE_ET - WUE_T","Upland",766,29,-2.34198063222502,-1.48180719367707,2.69875305602363,0.0975099115093164,0.19141876456418
"WUE_ET_minus_WUE_T","WUE_ET - WUE_T","Freshwater",612,20,-1.42944274657144,-1.05143229138732,2.19125014652646,0.0885760373164587,0.173950419411199
"WUE_ET_minus_WUE_T","WUE_ET - WUE_T","Saline",431,15,-1.96058025353747,-1.24002818013391,2.0241807440737,0.0975013556295641,0.191638543162952
"WUE_ET_minus_WUE_E","WUE_ET - WUE_E","Upland",766,29,-4.41936842774393,-3.45712365064795,3.841890463124,0.138813144926894,0.272499895609442
"WUE_ET_minus_WUE_E","WUE_ET - WUE_E","Freshwater",612,20,-2.84432402109558,-2.18787068693488,2.68126604514143,0.108383756024512,0.212849890207515
"WUE_ET_minus_WUE_E","WUE_ET - WUE_E","Saline",431,15,-2.35372605138121,-1.92550064171514,1.94282858424022,0.093582759975307,0.183936558328202
"WUE_E_minus_WUE_T","WUE_E - WUE_T","Upland",766,29,2.07738779551891,1.71651027478871,5.33191391803115,0.192649880715117,0.378185166914043
"WUE_E_minus_WUE_T","WUE_E - WUE_T","Freshwater",612,20,1.41488127452413,0.709262093299583,3.53549160750789,0.142913777806272,0.28066181714838
"WUE_E_minus_WUE_T","WUE_E - WUE_T","Saline",431,15,0.393145797843735,0.672489632459193,3.13558968186912,0.1510360404205,0.296860762236508
