"term","Estimate","Std._Error","t_value","p_value_normal_approx","signif"
"(Intercept)",-2.68156730382503,0.232398906769702,-11.5386399234759,8.4246731752734e-31,"***"
"difference_typeWUE_ET_minus_WUE_E",-1.56471777447547,0.100093557909745,-15.6325522556244,4.36945079016143e-55,"***"
"difference_typeWUE_E_minus_WUE_T",4.12795849327925,0.100093557909746,41.2410007145658,0,"***"
"water_classFreshwater",0.798227569374899,0.361459459543478,2.20834604905086,0.0272201595851263,"*"
"water_classSaline",1.01715771419513,0.39628901532222,2.56670680959473,0.0102669381279341,"*"
"Trans_ratio_z",2.19506827789952,0.0887611358932711,24.7300606938935,5.08145284931082e-135,"***"
"difference_typeWUE_ET_minus_WUE_E:water_classFreshwater",0.13450756902787,0.149688682552906,0.898582088731591,0.368875302655018,""
"difference_typeWUE_E_minus_WUE_T:water_classFreshwater",-1.27213050035392,0.149688682552906,-8.49850822826434,1.92042639980559e-17,"***"
"difference_typeWUE_ET_minus_WUE_E:water_classSaline",0.622883372242945,0.168210426839702,3.70300096103155,0.000213064074676671,"***"
"difference_typeWUE_E_minus_WUE_T:water_classSaline",-1.49832041292025,0.168210426839702,-8.90741698401426,5.22352904412583e-19,"***"
"difference_typeWUE_ET_minus_WUE_E:Trans_ratio_z",-4.37298563650607,0.0940541085545225,-46.4943605730001,0,"***"
"difference_typeWUE_E_minus_WUE_T:Trans_ratio_z",2.48567578645576,0.0940541085545225,26.4281467833468,6.50769615328828e-154,"***"
"water_classFreshwater:Trans_ratio_z",-1.06225391339607,0.142833855283846,-7.43698971987495,1.03005563184328e-13,"***"
"water_classSaline:Trans_ratio_z",-0.733894900812999,0.171547762773037,-4.27807911306872,1.8851302635069e-05,"***"
"difference_typeWUE_ET_minus_WUE_E:water_classFreshwater:Trans_ratio_z",1.2694824105678,0.157418872793859,8.06435967960587,7.36207113428023e-16,"***"
"difference_typeWUE_E_minus_WUE_T:water_classFreshwater:Trans_ratio_z",-0.156575742687595,0.157418872793859,-0.994644034153592,0.319909422964171,""
"difference_typeWUE_ET_minus_WUE_E:water_classSaline:Trans_ratio_z",1.64787020428641,0.160540471654041,10.2645157779124,1.01830553475051e-24,"***"
"difference_typeWUE_E_minus_WUE_T:water_classSaline:Trans_ratio_z",-1.11533180247602,0.160540471654041,-6.94735595943386,3.72195757991651e-12,"***"
