"npar","AIC","BIC","logLik","-2*log(L)","Chisq","Df","Pr(>Chisq)","signif"
9,28115.5964120259,28174.9886879925,-14048.798206013,28097.5964120259,NA,NA,NA,""
21,22878.9064869296,23017.488464185,-11418.4532434648,22836.9064869296,5260.68992509629,12,0,"***"
