"site_name","year","avg_DER_sos","avg_DER_eos","avg_TRS_sos","avg_TRS_eos","avg_length","avg_sos","avg_eos"
"US-Skr",2010,96.8,251.6,73,268.4,154.8,84.9,260
"US-Skr",2011,136.1,230.2,117.7,232.3,94.1,126.9,231.25
"US-Skr",2012,27.2,321.8,10.4,323.8,294.6,18.8,322.8
"US-Skr",2013,27.8,328.8,11.2,332.8,301,19.5,330.8
"US-Skr",2014,34.6,332.2,21.2,333.8,297.6,27.9,333
"US-Skr",2015,27.8,323.8,23.8,338.4,296,25.8,331.1
"US-Skr",2017,16.4,350.8,6.2,345.2,334.4,11.3,348
"US-Skr",2018,97.1,229.7,84.5,231.4,132.6,90.8,230.55
"US-Skr",2019,59,302.8,22,315.2,243.8,40.5,309
"US-Skr",2020,160.5,274.6,146.4,276.3,114.1,153.45,275.45
"US-Skr",2021,46.6,264.8,20.8,268.8,218.2,33.7,266.8
"US-Skr",2022,89.8,210.8,48,228.2,121,68.9,219.5
"US-Skr",2023,64.6,235.2,45.6,231.8,170.6,55.1,233.5
"US-Srr",2014,90,256.8,68.6,278,166.8,79.3,267.4
"US-Srr",2015,82.4,248.8,60.6,277.6,166.4,71.5,263.2
"US-Srr",2016,99,251.4,71.2,279.6,152.4,85.1,265.5
"US-Srr",2017,101.8,266,80.6,263.4,164.2,91.2,264.7
"US-StJ",2015,148,256.8,134.2,279.6,108.8,141.1,268.2
"US-StJ",2016,147.2,245.8,131.6,269.6,98.6,139.4,257.7
"US-StJ",2017,142,261.6,120.8,285,119.6,131.4,273.3
"US-StS",2015,158.4,219,155.1,223.8,60.6,156.75,221.4
"US-TaS",2018,152.566666666667,249.333333333333,140.166666666667,250.5,96.7666666666667,146.366666666667,249.916666666667
"US-TaS",2021,79.8,144.8,71.6,141.7,65,75.7,143.25
"US-TaS",2022,201.2,253.8,180,262.8,52.6,190.6,258.3
"US-Tw1",2011,139.6,280.2,119,304.8,140.6,129.3,292.5
"US-Tw1",2012,160,279.4,132.6,300,119.4,146.3,289.7
"US-Tw1",2013,149.8,270.6,123.4,299,120.8,136.6,284.8
"US-Tw1",2014,138.4,275.2,119.2,300.2,136.8,128.8,287.7
"US-Tw1",2015,152,294,126.2,311.6,142,139.1,302.8
"US-Tw1",2016,133.4,277.8,113.4,294.8,144.4,123.4,286.3
"US-Tw1",2017,139,285.2,114.2,304.6,146.2,126.6,294.9
"US-Tw1",2018,161.4,279.6,140.4,306.4,118.2,150.9,293
"US-Tw1",2019,148.2,279.6,133,300.2,131.4,140.6,289.9
"US-Tw1",2020,148.4,273.8,136.6,304,125.4,142.5,288.9
"US-Tw1",2021,164.2,277,142.4,300.8,112.8,153.3,288.9
"US-Tw1",2022,168.6,294.6,146.2,310.4,126,157.4,302.5
"US-Tw1",2023,170.6,280.8,151.2,307.2,110.2,160.9,294
