"difference_type","difference_label","n_months","n_sites","mean_difference","median_difference","sd_difference","se_difference","ci95_difference"
"WUE_ET_minus_WUE_T","WUE_ET - WUE_T",1809,64,-1.94239149500317,-1.25607447642541,2.4157008809564,0.0567968008536116,0.111394256083338
"WUE_ET_minus_WUE_E","WUE_ET - WUE_E",1809,64,-3.39437172178422,-2.53635624140105,3.22152623514473,0.075742980211093,0.148552960859471
"WUE_E_minus_WUE_T","WUE_E - WUE_T",1809,64,1.45198022678104,1.02459626642938,4.36176073476367,0.102551627056324,0.201132141852824
