"model","AIC","BIC","deviance_explained","adjusted_r_squared","scale","delta_AIC"
"simple_linear_gam",15462.9163001099,15858.1896784621,0.752791583128245,0.748497692125105,4.18837753792501,690.03696791907
"simple_smooth_gam",14772.8793321908,15243.240912203,0.797215028559178,0.793012513140698,3.44705282396174,0
