"term","Estimate","Std._Error","t_value","p_value_normal_approx","signif"
"(Intercept)",-2.15880347393305,0.160550460208154,-13.446261512637,3.23835527444823e-41,"***"
"difference_typeWUE_ET_minus_WUE_E",-1.45198022678103,0.0680324882418737,-21.3424536468349,4.58255874836533e-101,"***"
"difference_typeWUE_E_minus_WUE_T",3.39437172178423,0.0680324882418736,49.8933937226627,0,"***"
"Trans_ratio_z",1.70575943594189,0.0652296544082907,26.1500609104115,9.83951388250143e-151,"***"
"difference_typeWUE_ET_minus_WUE_E:Trans_ratio_z",-3.64517020256712,0.0680387570728699,-53.5749087635907,0,"***"
"difference_typeWUE_E_minus_WUE_T:Trans_ratio_z",2.23154145255185,0.0680387570728699,32.7980925660041,6.26861091780971e-236,"***"
