"npar","AIC","BIC","logLik","-2*log(L)","Chisq","Df","Pr(>Chisq)","signif"
6,28115.273059459,28154.8679101034,-14051.6365297295,28103.273059459,NA,NA,NA,""
8,23386.8164612555,23439.609595448,-11685.4082306277,23370.8164612555,4732.45659820355,2,0,"***"
