"threshold_pct","term","LRT","p_value","AIC"
0,"<none>",NA,NA,2760.464866663
0,"month_f",5.64981123910275,0.0174572512206743,2764.11467790211
0,"metric:timescale:anomaly_class:water_class",0.463085015962406,0.793308972823483,2756.92795167897
5,"<none>",NA,NA,2729.77260271068
5,"month_f",12.0289766041833,0.000523798278276922,2739.80157931487
5,"metric:timescale:anomaly_class:water_class",1.90720531784791,0.385350234228972,2727.67980802853
10,"<none>",NA,NA,2729.29260092566
10,"month_f",12.8744961803723,0.000333090386092162,2740.16709710603
10,"metric:timescale:anomaly_class:water_class",2.59747061614053,0.272876679835067,2727.8900715418
20,"<none>",NA,NA,2600.95302379876
20,"month_f",3.44962094322136,0.063266277536958,2602.40264474198
20,"metric:timescale:anomaly_class:water_class",0.552103614960743,0.75877361959354,2597.50512741372
