"term","Estimate","Std. Error","t value"
"(Intercept)",2.50454088550085,0.510188703223657,4.90904810254668
"metricWUE_T",2.0852469074839,0.187119966836085,11.1439037893297
"timescaleSPEI_48",-0.158520095020539,0.220054024699943,-0.720368987736945
"anomaly_classNear-normal",-0.270881645606026,0.147806052922354,-1.83268303462731
"anomaly_classWet",0.00212798366199393,0.201615006662042,0.0105546888459596
"water_classFreshwater",-0.622351484770933,0.578317259655689,-1.07614198673832
"water_classSaline",-0.850319274165431,0.610190464817756,-1.39353091074505
"Trans_ratio_z",-0.615512266660282,0.0372346727757535,-16.5306210791005
"month_f2",0.529914196925817,0.374343466030967,1.41558286710414
"month_f3",0.471500875188772,0.36289929347933,1.299260934537
"month_f4",0.319525044977255,0.3613848597776,0.884168321755079
"month_f5",0.423607364481552,0.361108460116409,1.17307515959331
"month_f6",0.160765230344391,0.361914654894849,0.444207572614322
"month_f7",0.356961378372318,0.362820050019946,0.983852403836817
"month_f8",0.494136465223613,0.363320817170937,1.36005547128099
"month_f9",0.212957146267366,0.363697717317431,0.585533359511023
"month_f10",0.2396841137541,0.367687309042599,0.651869422358363
"metricWUE_T:timescaleSPEI_48",0.249571984721636,0.307749379835621,0.810958530135596
"metricWUE_T:anomaly_classNear-normal",0.0859611293441404,0.207533547697172,0.414203536237778
"metricWUE_T:anomaly_classWet",-0.304242520873557,0.281818615985385,-1.07956857218167
"timescaleSPEI_48:anomaly_classNear-normal",0.249129503763325,0.238574770877369,1.04424077553188
"timescaleSPEI_48:anomaly_classWet",-0.0383371006722171,0.331475832951584,-0.115655794061514
"metricWUE_T:water_classFreshwater",-1.06285022994229,0.29759792511094,-3.57143024282202
"metricWUE_T:water_classSaline",-0.487261012288808,0.320075030388438,-1.52233372186976
"timescaleSPEI_48:water_classFreshwater",0.00311425509859343,0.313559284598559,0.00993194987857088
"timescaleSPEI_48:water_classSaline",0.283523718368942,0.343659381895371,0.825013758696867
"anomaly_classNear-normal:water_classFreshwater",0.154371054705022,0.236129608731294,0.653755602842211
"anomaly_classWet:water_classFreshwater",-0.40296603189339,0.29298822393013,-1.37536596689117
"anomaly_classNear-normal:water_classSaline",0.0288747336222138,0.255652365929882,0.112945301785837
"anomaly_classWet:water_classSaline",0.0150830379292121,0.34205381747274,0.0440955111702974
"metricWUE_T:timescaleSPEI_48:anomaly_classNear-normal",-0.33410933344639,0.332873067915517,-1.00371392476602
"metricWUE_T:timescaleSPEI_48:anomaly_classWet",-0.679539348430518,0.463660373648631,-1.46559720659994
"metricWUE_T:timescaleSPEI_48:water_classFreshwater",-0.351074026440098,0.438939829769398,-0.799822669600383
"metricWUE_T:timescaleSPEI_48:water_classSaline",-1.01690827039794,0.481841870177455,-2.11046057500862
"metricWUE_T:anomaly_classNear-normal:water_classFreshwater",0.0019176584914897,0.3308214041065,0.0057966578573385
"metricWUE_T:anomaly_classWet:water_classFreshwater",0.548520311831895,0.410697947464942,1.33558084528464
"metricWUE_T:anomaly_classNear-normal:water_classSaline",0.0815807863303953,0.357211836936236,0.228382091226607
"metricWUE_T:anomaly_classWet:water_classSaline",0.799945701067291,0.475413184034468,1.68263255612468
"timescaleSPEI_48:anomaly_classNear-normal:water_classFreshwater",-0.192322707204843,0.347721689897289,-0.553093789638638
"timescaleSPEI_48:anomaly_classWet:water_classFreshwater",0.369840835429965,0.439896322786121,0.840745458128741
"timescaleSPEI_48:anomaly_classNear-normal:water_classSaline",-0.11914265261304,0.381459558041826,-0.312333640883568
"timescaleSPEI_48:anomaly_classWet:water_classSaline",-0.274477642692305,0.511967416427208,-0.536123264655711
"metricWUE_T:timescaleSPEI_48:anomaly_classNear-normal:water_classFreshwater",0.555937653643493,0.48565947858932,1.14470668884772
"metricWUE_T:timescaleSPEI_48:anomaly_classWet:water_classFreshwater",0.731511332507533,0.615824838413902,1.18785616765896
"metricWUE_T:timescaleSPEI_48:anomaly_classNear-normal:water_classSaline",1.03071975470999,0.534514384644872,1.92832931034174
"metricWUE_T:timescaleSPEI_48:anomaly_classWet:water_classSaline",1.82421145576548,0.718532815632359,2.53880047797128
