"timescale","anomaly_class","metric","n_months","n_sites","mean_wue","median_wue","sd_wue","se_wue","ci95_wue","mean_response","se_response","ci95_response","mean_abs_response","pct_decrease"
"SPEI_6","Dry","WUE_ET",226,35,1.86876566676538,1.80461792255669,1.03409956340852,0.0687872797410014,0.13554969517544,0.119730135123196,0.0464353975454171,0.0915038944166863,0.465781869825134,48.6725663716814
"SPEI_6","Dry","WUE_T",226,35,3.51779173221537,2.96117224571175,2.49785650795668,0.166154943339648,0.327418848461267,0.343635293748013,0.105144925717766,0.207194741294476,0.957164432962468,46.4601769911504
"SPEI_6","Near-normal","WUE_ET",949,41,1.97018963094462,1.8683870300467,1.20778763876246,0.0392064458414539,0.0769414551076838,1.68463767698654e-17,0.0180590394292745,0.0354403145124232,0.380440662301485,50.263435194942
"SPEI_6","Near-normal","WUE_T",949,41,3.73284683698112,3.130436578935,2.74636328037012,0.0891507246448692,0.174955580156875,-3.36927535397308e-17,0.0473967358157072,0.0930146495747686,0.892215733699222,54.0569020021075
"SPEI_6","Wet","WUE_ET",230,37,1.86069666645794,1.84318895334556,0.998257383156903,0.0658231425876838,0.12969642487191,0.0226058652699896,0.0424366571258572,0.0836162251810899,0.441072137262523,42.6086956521739
"SPEI_6","Wet","WUE_T",230,37,3.47614385322719,3.15527487633266,2.31833952316763,0.152866781227843,0.301205233106531,0.0747578917013074,0.0889430111504613,0.175251288681494,0.858072696370559,46.9565217391304
"SPEI_48","Dry","WUE_ET",195,24,1.69292380181797,1.50322881336484,1.15788594530324,0.0829179347872859,0.163536350649727,-0.0512787252481898,0.0454826586162773,0.0897039708844007,0.415052658847666,65.6410256410256
"SPEI_48","Dry","WUE_T",195,24,3.03205760826419,2.4686082392801,2.37586036664513,0.170138894719536,0.33555941808475,-0.237553033440389,0.117855404693098,0.232442388215524,0.930289860331688,66.6666666666667
"SPEI_48","Near-normal","WUE_ET",887,39,2.0823825977819,1.95408056951051,1.24971941328069,0.0419614711870707,0.0823554754283577,-5.50730699926797e-18,0.0197119844716711,0.0386876295533957,0.414274950183109,49.4926719278467
"SPEI_48","Near-normal","WUE_T",887,39,3.8438649143657,3.24362458043219,2.70991477892953,0.0909900332083007,0.178581141988668,-1.50199281798217e-17,0.0481392698748795,0.0944803016949818,0.907020261833832,52.423900789177
"SPEI_48","Wet","WUE_ET",210,23,1.75767787088426,1.75846142847901,0.853809794858718,0.0589184733661162,0.116150668299697,-0.0847247676060358,0.0481963823734898,0.0950133583319898,0.484181750425687,53.8095238095238
"SPEI_48","Wet","WUE_T",210,23,3.26217326404841,2.97231949330871,2.07460509402846,0.143161352462525,0.28222534993199,-0.104143765524631,0.0969465755631455,0.191118487932552,0.941008019514363,57.1428571428571
