"timescale","anomaly_class","metric","water_class","n_months","n_sites","mean_spei","mean_wue","mean_response","mean_abs_response","pct_decrease"
"SPEI_6","Dry","WUE_ET","Upland",104,17,-1.43759591293143,2.32361991497602,0.162261046145341,0.681898597985793,53.8461538461538
"SPEI_6","Dry","WUE_ET","Freshwater",68,8,-1.51158659679566,1.48942982794167,0.0588297290837143,0.227714574741345,41.1764705882353
"SPEI_6","Dry","WUE_ET","Saline",54,10,-1.52939497098901,1.47043224502661,0.114508151130265,0.349345505695302,48.1481481481481
"SPEI_6","Dry","WUE_T","Upland",104,17,-1.43759591293143,4.40886682246007,0.474342753116514,1.37509508657407,48.0769230769231
"SPEI_6","Dry","WUE_T","Freshwater",68,8,-1.51158659679566,2.51182650548317,0.0264914176285494,0.380359645394043,42.6470588235294
"SPEI_6","Dry","WUE_T","Saline",54,10,-1.52939497098901,3.06841814022169,0.491268771559114,0.878607721463323,48.1481481481481
"SPEI_6","Near-normal","WUE_ET","Upland",452,18,-0.00359074254398254,2.35908076722475,3.92999300752268e-18,0.532606290651666,49.3362831858407
"SPEI_6","Near-normal","WUE_ET","Freshwater",284,13,-0.0150899296354473,1.56139397038201,9.38216640528301e-18,0.265992273202166,48.5915492957746
"SPEI_6","Near-normal","WUE_ET","Saline",213,10,0.113877908859579,1.68999795958858,1.20534776734539e-17,0.210133049578126,54.4600938967136
"SPEI_6","Near-normal","WUE_T","Upland",452,18,-0.00359074254398254,4.53028880405278,-3.92999300752268e-17,1.27536722060947,54.2035398230089
"SPEI_6","Near-normal","WUE_T","Freshwater",284,13,-0.0150899296354473,2.67166943575925,6.25477760352201e-18,0.530460867437242,52.4647887323944
"SPEI_6","Near-normal","WUE_T","Saline",213,10,0.113877908859579,3.4555257704582,-8.33970347136268e-18,0.561482916492517,55.868544600939
"SPEI_6","Wet","WUE_ET","Upland",82,18,1.34549381637755,2.24305893196875,0.120704091329697,0.537079355643013,29.2682926829268
"SPEI_6","Wet","WUE_ET","Freshwater",102,12,1.4247269468442,1.49074908952184,-0.117163879541609,0.351484654474774,54.9019607843137
"SPEI_6","Wet","WUE_ET","Saline",46,7,1.438329964446,1.99941290723176,0.157659331224056,0.46857934024405,39.1304347826087
"SPEI_6","Wet","WUE_T","Upland",82,18,1.34549381637755,4.0240633185791,0.13838123832192,1.05248540891402,43.9024390243902
"SPEI_6","Wet","WUE_T","Freshwater",102,12,1.4247269468442,2.75742355802178,-0.15612322163538,0.635453253067364,47.0588235294118
"SPEI_6","Wet","WUE_T","Saline",46,7,1.438329964446,4.09310198262058,0.473296133819827,1.00514532220452,52.1739130434783
"SPEI_48","Dry","WUE_ET","Upland",61,10,-1.43288064145232,2.74534088019375,0.266863423374114,0.744107033319711,42.6229508196721
"SPEI_48","Dry","WUE_ET","Freshwater",82,9,-1.72387419722657,1.17764024160307,-0.12554058852644,0.225195755191028,68.2926829268293
"SPEI_48","Dry","WUE_ET","Saline",52,5,-1.5716506472555,1.27092015098526,-0.307378692116344,0.32843629840631,88.4615384615385
"SPEI_48","Dry","WUE_T","Upland",61,10,-1.43288064145232,5.08015977239936,-0.244513470608655,1.89588583674671,50.8196721311475
"SPEI_48","Dry","WUE_T","Freshwater",82,9,-1.72387419722657,2.09853487742621,-0.108073678561713,0.493284194479151,63.4146341463415
"SPEI_48","Dry","WUE_T","Saline",52,5,-1.5716506472555,2.10156976050399,-0.433566887917067,0.486695822612292,90.3846153846154
"SPEI_48","Near-normal","WUE_ET","Upland",453,19,0.0598035298273459,2.32459820454041,4.90164690783734e-18,0.535660652167543,48.3443708609272
"SPEI_48","Near-normal","WUE_ET","Freshwater",255,11,-0.033844799464422,1.69962101349997,-3.47216808681789e-17,0.27303195210413,49.8039215686275
"SPEI_48","Near-normal","WUE_ET","Saline",179,9,-0.00457766525368465,2.01467608454329,-1.48856718385496e-17,0.308293059184173,51.9553072625698
"SPEI_48","Near-normal","WUE_T","Upland",453,19,0.0598035298273459,4.4112688926437,-3.72525164995638e-17,1.22350956295627,52.9801324503311
"SPEI_48","Near-normal","WUE_T","Freshwater",255,11,-0.033844799464422,2.93022275735584,1.7415263131375e-17,0.57877151436268,52.9411764705882
"SPEI_48","Near-normal","WUE_T","Saline",179,9,-0.00457766525368465,3.70947803100021,3.88035351833024e-17,0.573689408183986,50.2793296089386
"SPEI_48","Wet","WUE_ET","Upland",48,10,1.40068867493064,1.74811130244132,-0.317716944164249,0.989028897908853,62.5
"SPEI_48","Wet","WUE_ET","Freshwater",119,7,1.45316310453597,1.65317740139173,-0.0732265336668346,0.305652602099055,51.2605042016807
"SPEI_48","Wet","WUE_ET","Saline",43,6,1.38235522253893,2.0575558047185,0.143538828580692,0.414700484650739,51.1627906976744
"SPEI_48","Wet","WUE_T","Upland",48,10,1.40068867493064,3.09914832534275,-0.444910298186427,1.68585828291102,66.6666666666667
"SPEI_48","Wet","WUE_T","Freshwater",119,7,1.45316310453597,2.87032181225022,-0.161619035140801,0.555255775679415,57.1428571428571
"SPEI_48","Wet","WUE_T","Saline",43,6,1.38235522253893,4.52858070176598,0.435306249640261,1.17709416773109,46.5116279069767
