"term","npar","AIC","LRT","Pr(Chi)"
"<none>",NA,18841.7914797577,NA,NA
"Trans_ratio_z",1,19106.3409948262,266.549515068469,6.41128414446195e-60
"month_f",9,18864.2414747303,40.4499949725505,6.29675552476272e-06
"metric:timescale:anomaly_class:water_class",4,18840.6978116117,6.90633185396655,0.140921731355641
