"model","AIC","BIC","logLik","response"
"WUE value",18841.7914797577,19158.2575199353,-9372.89573987886,"WUE_value"
"Signed response",16333.8127664168,16650.2788065944,-8118.9063832084,"WUE_response"
"Response magnitude",3812.28754763738,4008.53224829693,-1870.14377381869,"abs(WUE_response)"
"Direction",2210.86750703502,2401.66096600959,-1070.43375351751,"decrease_binary"
