"timescale","metric","n","slope","cor"
"SPEI_48","WUE_ET",1847,0.0405326046439412,0.0390533968444893
"SPEI_48","WUE_T",1847,0.135817758851601,0.0490730828673403
"SPEI_6","WUE_ET",1847,-0.0129520938224396,-0.0120038035401545
"SPEI_6","WUE_T",1847,0.0162916416153332,0.00565229932314057
