"site_name","timescale","metric","month_f","baseline_mean","baseline_median","baseline_n"
"US-Ced","SPEI_6","WUE_T","9",3.11320307586876,3.23048115507657,6
"US-Ced","SPEI_6","WUE_T","10",3.22461529697341,3.39468568797221,5
"US-Ced","SPEI_48","WUE_ET","4",1.96228686420499,1.92293769159881,3
"US-Ced","SPEI_48","WUE_ET","5",2.15311857178916,2.05743186304266,5
"US-Ced","SPEI_48","WUE_ET","6",2.57106475749592,2.52435617734896,7
"US-Ced","SPEI_48","WUE_ET","7",2.35562891377797,2.29737941232853,8
"US-Ced","SPEI_48","WUE_ET","8",2.4796999228964,2.38691637816973,8
"US-Ced","SPEI_48","WUE_ET","9",2.54832318467977,2.57411967856446,7
"US-Ced","SPEI_48","WUE_ET","10",2.42426695669926,2.52878782985674,5
"US-Ced","SPEI_48","WUE_T","4",3.18310263114957,3.17589034406036,3
"US-Ced","SPEI_48","WUE_T","5",3.03976246459381,2.99331243334237,5
"US-Ced","SPEI_48","WUE_T","6",3.27871006057854,3.35037101831313,7
"US-Ced","SPEI_48","WUE_T","7",2.9513844097803,2.98149875637935,8
"US-Ced","SPEI_48","WUE_T","8",3.12088675674293,2.89895926281255,8
"US-Ced","SPEI_48","WUE_T","9",3.28307723906628,3.34532884114549,7
"US-Ced","SPEI_48","WUE_T","10",3.34636615054341,3.49841723932608,5
"US-CGG","SPEI_6","WUE_ET","2",3.04573249148144,3.04573249148144,1
"US-CGG","SPEI_6","WUE_ET","3",2.45179055687339,2.45179055687339,2
"US-CGG","SPEI_6","WUE_ET","4",2.54258268181444,2.54258268181444,2
"US-CGG","SPEI_6","WUE_T","2",9.9755502136354,9.9755502136354,1
"US-CGG","SPEI_6","WUE_T","3",4.44499200717158,4.44499200717158,2
"US-CGG","SPEI_6","WUE_T","4",5.10373279114029,5.10373279114029,2
"US-CGG","SPEI_48","WUE_ET","2",1.71870003947816,1.71870003947816,2
"US-CGG","SPEI_48","WUE_ET","3",2.53326939588642,2.73993191286489,3
"US-CGG","SPEI_48","WUE_ET","4",2.93475454545591,2.93475454545591,2
"US-CGG","SPEI_48","WUE_T","2",8.038781776443,8.038781776443,2
"US-CGG","SPEI_48","WUE_T","3",5.8686704175354,4.91392581434917,3
"US-CGG","SPEI_48","WUE_T","4",4.79875137654939,4.79875137654939,2
"US-Cms","SPEI_6","WUE_ET","6",0.51157497414291,0.327442935517276,4
"US-Cms","SPEI_6","WUE_ET","7",1.82883430607367,1.80194417116677,5
"US-Cms","SPEI_6","WUE_ET","8",2.48383713672177,2.70132010863776,6
"US-Cms","SPEI_6","WUE_T","6",0.795404496546701,0.513447492033092,4
"US-Cms","SPEI_6","WUE_T","7",2.73310914251798,2.43411289911855,5
"US-Cms","SPEI_6","WUE_T","8",4.13199945323558,4.36231793740494,6
"US-Cms","SPEI_48","WUE_ET","6",0.908824729148775,0.575319541835044,6
"US-Cms","SPEI_48","WUE_ET","7",1.81530836345405,1.80194417116677,7
"US-Cms","SPEI_48","WUE_ET","8",2.48383713672177,2.70132010863776,6
"US-Cms","SPEI_48","WUE_T","6",1.38352555907249,0.803765934057315,6
"US-Cms","SPEI_48","WUE_T","7",2.74621374426453,2.43411289911855,7
"US-Cms","SPEI_48","WUE_T","8",4.13199945323558,4.36231793740494,6
"US-Dix","SPEI_6","WUE_ET","5",1.43346295940101,1.43346295940101,1
"US-Dix","SPEI_6","WUE_ET","6",2.6415621367309,2.6415621367309,1
"US-Dix","SPEI_6","WUE_ET","7",2.21410524640314,2.21410524640314,2
"US-Dix","SPEI_6","WUE_ET","8",3.01571777269145,3.01571777269145,1
"US-Dix","SPEI_6","WUE_ET","9",2.42922973866013,2.42922973866013,2
"US-Dix","SPEI_6","WUE_T","5",3.01846514729442,3.01846514729442,1
"US-Dix","SPEI_6","WUE_T","6",3.65001412760357,3.65001412760357,1
"US-Dix","SPEI_6","WUE_T","7",3.33203653598651,3.33203653598651,2
"US-Dix","SPEI_6","WUE_T","8",4.35392901787857,4.35392901787857,1
"US-Dix","SPEI_6","WUE_T","9",3.90199611378694,3.90199611378694,2
"US-Dix","SPEI_48","WUE_ET","5",2.10127114488873,2.10127114488873,2
"US-Dix","SPEI_48","WUE_ET","6",2.6507753351409,2.6507753351409,1
"US-Dix","SPEI_48","WUE_ET","7",2.52565419044265,2.52565419044265,2
"US-Dix","SPEI_48","WUE_ET","8",2.91756938036623,2.91756938036623,2
"US-Dix","SPEI_48","WUE_ET","9",2.42922973866013,2.42922973866013,2
"US-Dix","SPEI_48","WUE_T","5",3.91342922198219,3.91342922198219,2
"US-Dix","SPEI_48","WUE_T","6",4.71039820570749,4.71039820570749,1
"US-Dix","SPEI_48","WUE_T","7",4.14181337822364,4.14181337822364,2
"US-Dix","SPEI_48","WUE_T","8",4.41029529030435,4.41029529030435,2
"US-Dix","SPEI_48","WUE_T","9",3.90199611378694,3.90199611378694,2
"US-Dmg","SPEI_6","WUE_ET","4",1.10165130146582,1.10165130146582,1
"US-Dmg","SPEI_6","WUE_ET","5",1.42176927626537,1.42176927626537,2
"US-Dmg","SPEI_6","WUE_ET","6",1.65815664957996,1.65815664957996,1
"US-Dmg","SPEI_6","WUE_ET","7",1.65310720797378,1.65310720797378,2
"US-Dmg","SPEI_6","WUE_ET","8",1.51991566922333,1.54011502390865,3
"US-Dmg","SPEI_6","WUE_ET","9",1.48190637422136,1.54065274718078,3
"US-Dmg","SPEI_6","WUE_ET","10",1.51850629894897,1.51850629894897,2
"US-Dmg","SPEI_6","WUE_T","4",1.99064582405032,1.99064582405032,1
"US-Dmg","SPEI_6","WUE_T","5",2.22452153784213,2.22452153784213,2
"US-Dmg","SPEI_6","WUE_T","6",2.52178154952446,2.52178154952446,1
"US-Dmg","SPEI_6","WUE_T","7",2.61182040365785,2.61182040365785,2
"US-Dmg","SPEI_6","WUE_T","8",2.48191106224526,2.44219080337303,3
"US-Dmg","SPEI_6","WUE_T","9",2.82320022313388,2.84850405314288,3
"US-Dmg","SPEI_6","WUE_T","10",3.06309043522893,3.06309043522893,2
"US-Dmg","SPEI_48","WUE_ET","4",1.10165130146582,1.10165130146582,1
"US-Dmg","SPEI_48","WUE_ET","5",1.47309086215058,1.47309086215058,2
"US-Dmg","SPEI_48","WUE_ET","6",1.70105384505443,1.70105384505443,2
"US-Dmg","SPEI_48","WUE_ET","7",1.73726154777448,1.73726154777448,2
"US-Dmg","SPEI_48","WUE_ET","8",1.69098933979574,1.69098933979574,2
"US-Dmg","SPEI_48","WUE_ET","9",1.63395370287445,1.63395370287445,2
