"threshold_pct","timescale","anomaly_class","metric","water_class","n_months","n_sites","pct_decrease","mean_response_pct","median_response_pct"
10,"SPEI_48","Dry","WUE_ET","Upland",105,15,25.7142857142857,12.2478410143782,4.24011297953954
10,"SPEI_48","Dry","WUE_T","Freshwater",99,9,69.6969696969697,-31.1932063195777,-29.6666218478118
10,"SPEI_48","Dry","WUE_T","Saline",96,8,78.125,-30.277462534525,-38.1708566218874
10,"SPEI_48","Dry","WUE_T","Upland",105,15,40.952380952381,23.3541833229602,4.31953094764462
10,"SPEI_48","Wet","WUE_ET","Freshwater",208,15,46.6346153846154,-9.68694756187268,-6.16689049257658
10,"SPEI_48","Wet","WUE_ET","Saline",97,8,50.5154639175258,-2.82035208134035,-13.6430480141714
10,"SPEI_48","Wet","WUE_ET","Upland",128,12,38.28125,-9.60842782641638,-0.380909185970695
10,"SPEI_48","Wet","WUE_T","Freshwater",208,15,50,-1.55063079376632,-10.3807783609625
10,"SPEI_48","Wet","WUE_T","Saline",97,8,49.4845360824742,31.4333150688686,-6.27874706633292
10,"SPEI_48","Wet","WUE_T","Upland",128,12,56.25,-12.2950158235103,-13.5040962180979
10,"SPEI_6","Dry","WUE_ET","Freshwater",98,12,35.7142857142857,-2.55654667307637,3.68609651649796
10,"SPEI_6","Dry","WUE_ET","Saline",91,13,56.043956043956,-10.2993625442062,-23.2343963642539
10,"SPEI_6","Dry","WUE_ET","Upland",148,23,39.8648648648649,3.796875990611,-2.50748224845235
10,"SPEI_6","Dry","WUE_T","Freshwater",98,12,39.7959183673469,-4.38758645271898,-3.41690386609747
10,"SPEI_6","Dry","WUE_T","Saline",91,13,60.4395604395604,-5.77180360456611,-18.6993145554861
10,"SPEI_6","Dry","WUE_T","Upland",148,23,51.3513513513513,7.92474208017228,-11.5695559496226
10,"SPEI_6","Wet","WUE_ET","Freshwater",165,19,38.7878787878788,-1.77908089565042,1.32871618442224
10,"SPEI_6","Wet","WUE_ET","Saline",73,13,43.8356164383562,11.1386433484691,-6.77917321162366
10,"SPEI_6","Wet","WUE_ET","Upland",110,21,40.9090909090909,-3.23949895513132,-1.71334876608722
10,"SPEI_6","Wet","WUE_T","Freshwater",165,19,40.6060606060606,14.2374898425929,-1.81474227784425
10,"SPEI_6","Wet","WUE_T","Saline",73,13,53.4246575342466,17.4897084237905,-17.2370435301368
