"SPEI_timescale","coast_region","slope_per_1sd_SPEI","std_error","lower_95","upper_95","z_value","p_value"
"SPEI_1","Atlantic Coast",-0.055623160699536,0.0663561502225459,-0.185681215135726,0.0744348937366539,-0.838251774899335,0.401889314269641
"SPEI_3","Atlantic Coast",-0.129997773409744,0.067138288167364,-0.261588818217778,0.00159327139828908,-1.93626881110943,0.0528347865966871
"SPEI_6","Atlantic Coast",-0.114491932829603,0.0687738198899651,-0.249288619813935,0.0203047541547281,-1.66476041337802,0.0959605646668436
"SPEI_12","Atlantic Coast",-0.0873009490022022,0.0689681858756623,-0.2224785933185,0.047876695314096,-1.26581477957954,0.205579402450272
"SPEI_24","Atlantic Coast",-0.124200859497994,0.0676397831888128,-0.256774834548067,0.00837311555207945,-1.83621019528247,0.0663265754038132
"SPEI_36","Atlantic Coast",-0.155347474358497,0.0672719093879833,-0.287200416758944,-0.02349453195805,-2.30924728867956,0.0209298628281565
"SPEI_48","Atlantic Coast",-0.168013524601465,0.0634179125269626,-0.292312633154311,-0.043714416048618,-2.64930707913214,0.00806570073460484
"SPEI_1","Pacific Coast",-0.156768018138231,0.085873043718045,-0.3250791838256,0.0115431475491368,-1.82557891685967,0.0679137139483608
"SPEI_3","Pacific Coast",-0.111019278658115,0.0788192942263884,-0.265505095341836,0.0434665380256068,-1.40852921543854,0.158974422241796
"SPEI_6","Pacific Coast",-0.141160146530662,0.0788072444059235,-0.295622345566272,0.0133020525049485,-1.79120774485615,0.0732599638377217
"SPEI_12","Pacific Coast",-0.049826995299148,0.0665455023398394,-0.180256179885233,0.0806021892869373,-0.748765785021621,0.453998385368662
"SPEI_24","Pacific Coast",-0.082148116401854,0.0701385490273371,-0.219619672495435,0.0553234396917267,-1.17122634472858,0.241507808514369
"SPEI_36","Pacific Coast",-0.0330596531220501,0.0768807131109658,-0.183745850819543,0.117626544575443,-0.430012311076426,0.667186685802757
"SPEI_48","Pacific Coast",-0.00839674198495954,0.0845190469215266,-0.174054073951152,0.157260589981233,-0.099347334012837,0.920862497171136
"SPEI_1","Gulf Coast",-0.687171299618336,0.226551567344237,-1.13121237161304,-0.243130227623632,-3.03317830758683,0.00241992567318936
"SPEI_3","Gulf Coast",-1.54290577604151,0.233358533342417,-2.00028850139265,-1.08552305069038,-6.61173925779497,3.79830598247666e-11
"SPEI_6","Gulf Coast",-1.04024264357101,0.2457246621383,-1.52186298136207,-0.55862230577994,-4.23336686891255,2.30218488689985e-05
"SPEI_12","Gulf Coast",-1.08188454960753,0.221549002706794,-1.51612059491284,-0.647648504302213,-4.88327429322413,1.04338568565165e-06
"SPEI_24","Gulf Coast",-0.841637802083052,0.216814412078143,-1.26659404975621,-0.416681554409892,-3.88183513271117,0.00010367115570141
"SPEI_36","Gulf Coast",-0.635454974608638,0.234675926147285,-1.09541978985732,-0.175490159359959,-2.70779787701709,0.0067731258413157
"SPEI_48","Gulf Coast",0.0899458563364778,0.249448206266765,-0.398972627946382,0.578864340619337,0.360579286909315,0.718413975718002
"SPEI_1","AK Coast",0.096188941449169,0.157329231359071,-0.212176352014609,0.404554234912947,0.611386330551874,0.540943849994813
"SPEI_3","AK Coast",0.416528012306525,0.145449537916353,0.131446917990474,0.701609106622576,2.86372867369347,0.00418686480359966
"SPEI_6","AK Coast",0.425882003152892,0.154042127851482,0.123959432563988,0.727804573741796,2.76471124550748,0.00569732041764591
"SPEI_12","AK Coast",0.42175825526859,0.191655463654854,0.0461135465050766,0.797402964032103,2.20060648011643,0.0277638944525069
"SPEI_24","AK Coast",0.296599261028942,0.195085073024364,-0.0857674820988114,0.678966004156696,1.52035856168196,0.128420883145796
"SPEI_36","AK Coast",0.449351280997691,0.187123744172498,0.0825887424195951,0.816113819575786,2.40135896694896,0.0163343041662906
"SPEI_48","AK Coast",0.356285497617588,0.173071366838454,0.0170656186142189,0.695505376620957,2.05860451746561,0.039532139655107
