"term","npar","AIC","LRT","Pr(Chi)"
"<none>",NA,55753.1307306005,NA,NA
"water_class",2,55751.7565515531,2.62582095254038,0.269035893211058
"month_f",10,55912.9597485706,179.829017970042,2.54253111415307e-33
"SPEI_z:SPEI_timescale:coast_region",18,55750.7123919713,33.5816613707357,0.0141794642243156
