"term","Estimate","Std. Error","t value"
"(Intercept)",4.37074873829376,0.709924145575164,6.15664189693489
"SPEI_z",-0.055623160699536,0.0663561502225459,-0.838251774899335
"SPEI_timescaleSPEI_3",-0.00488113145559026,0.0886488444161921,-0.0550614222637143
"SPEI_timescaleSPEI_6",-0.00676598441255583,0.0887752052774602,-0.0762147988439932
"SPEI_timescaleSPEI_12",-0.00162112648283716,0.0886498436016945,-0.0182868510193984
"SPEI_timescaleSPEI_24",-0.00733360485669456,0.0887499159891829,-0.0826322456191214
"SPEI_timescaleSPEI_36",-0.00555686257389167,0.0886216653054825,-0.0627032064308083
"SPEI_timescaleSPEI_48",-0.0130490608980172,0.0887604956783526,-0.147014286009668
"coast_regionPacific Coast",0.809567459196969,0.863303375681772,0.937755465809031
"coast_regionGulf Coast",3.4391887221641,1.41800417107586,2.42537278261653
"coast_regionAK Coast",2.43473261737991,0.998036747225003,2.43952201574699
"water_classFreshwater",-1.27823003406032,0.871466042324327,-1.46675828085176
"water_classSaline",-1.15139500551608,0.917897582873602,-1.25438287124744
"month_f2",0.814345997650563,0.298433472797083,2.72873545322535
"month_f3",0.146263491028425,0.284744755968062,0.513665266744475
"month_f4",0.0738044697864024,0.282394443059083,0.261352415390698
"month_f5",0.266496846980237,0.282129645583717,0.944590017929042
"month_f6",-0.306487506020217,0.282546273879024,-1.08473384487613
"month_f7",0.0303402116107246,0.283610038353006,0.1069786238418
"month_f8",0.282158368102826,0.283944742684509,0.993708724575091
"month_f9",0.148450823678477,0.285125414418173,0.520650970315661
"month_f10",0.524379889809132,0.289822275877606,1.8093153406558
"month_f11",0.310856379288254,0.851936769287223,0.364881984784309
"SPEI_z:SPEI_timescaleSPEI_3",-0.0743746127102084,0.0939805134552468,-0.791383340820173
"SPEI_z:SPEI_timescaleSPEI_6",-0.0588687721300675,0.0951208413435903,-0.618884056307123
"SPEI_z:SPEI_timescaleSPEI_12",-0.0316777883026663,0.0952799313068617,-0.332470729860664
"SPEI_z:SPEI_timescaleSPEI_24",-0.0685776987984578,0.0942153490334366,-0.72788244698982
"SPEI_z:SPEI_timescaleSPEI_36",-0.0997243136589612,0.0938473616006231,-1.06262245371743
"SPEI_z:SPEI_timescaleSPEI_48",-0.112390363901929,0.0911163680870885,-1.23348160447426
"SPEI_z:coast_regionPacific Coast",-0.101144857438695,0.108530803012935,-0.931946089320291
"SPEI_z:coast_regionGulf Coast",-0.6315481389188,0.236000766321589,-2.67604274665029
"SPEI_z:coast_regionAK Coast",0.151812102148705,0.170728192000289,0.889203478172179
"SPEI_timescaleSPEI_3:coast_regionPacific Coast",0.0112476930999674,0.148636162593644,0.075672655319537
"SPEI_timescaleSPEI_6:coast_regionPacific Coast",0.0155137398758597,0.148669289001951,0.104350669731501
"SPEI_timescaleSPEI_12:coast_regionPacific Coast",0.0149511063233843,0.148592599593531,0.100618108602194
"SPEI_timescaleSPEI_24:coast_regionPacific Coast",0.026235698428092,0.148757015760348,0.176366124945384
"SPEI_timescaleSPEI_36:coast_regionPacific Coast",0.0210715874497743,0.148782255376202,0.141627019945987
"SPEI_timescaleSPEI_48:coast_regionPacific Coast",0.0260326265763202,0.148931302341197,0.174796205814949
"SPEI_timescaleSPEI_3:coast_regionGulf Coast",0.0311528150589663,0.282927637184793,0.110108773285442
"SPEI_timescaleSPEI_6:coast_regionGulf Coast",0.0831829789493069,0.28333194719257,0.293588420838299
"SPEI_timescaleSPEI_12:coast_regionGulf Coast",0.106012765839483,0.283514561792793,0.373923530308692
"SPEI_timescaleSPEI_24:coast_regionGulf Coast",0.0700012836086792,0.283219378789375,0.247162760923707
"SPEI_timescaleSPEI_36:coast_regionGulf Coast",0.0370435965799816,0.282977829411403,0.130906356363792
"SPEI_timescaleSPEI_48:coast_regionGulf Coast",0.0345867390689623,0.283445693060147,0.122022454091843
"SPEI_timescaleSPEI_3:coast_regionAK Coast",-0.0695070788073339,0.229773256155278,-0.302502910784194
"SPEI_timescaleSPEI_6:coast_regionAK Coast",-0.0573988560035368,0.229494097064623,-0.250110380779746
"SPEI_timescaleSPEI_12:coast_regionAK Coast",-0.15060667585674,0.240344726895112,-0.626627751739547
"SPEI_timescaleSPEI_24:coast_regionAK Coast",-0.133325137320405,0.250458517550623,-0.532324229274643
"SPEI_timescaleSPEI_36:coast_regionAK Coast",-0.226862784222874,0.250196263746982,-0.906739296683885
"SPEI_timescaleSPEI_48:coast_regionAK Coast",-0.159465502363153,0.245599364001654,-0.649291186120819
"SPEI_z:SPEI_timescaleSPEI_3:coast_regionPacific Coast",0.120123352190325,0.149342023329795,0.804350640978359
"SPEI_z:SPEI_timescaleSPEI_6:coast_regionPacific Coast",0.0744766437376372,0.150307423460098,0.495495445422285
"SPEI_z:SPEI_timescaleSPEI_12:coast_regionPacific Coast",0.13861881114175,0.14442037546348,0.959828630114612
"SPEI_z:SPEI_timescaleSPEI_24:coast_regionPacific Coast",0.143197600534835,0.145486957267774,0.984264178893196
"SPEI_z:SPEI_timescaleSPEI_36:coast_regionPacific Coast",0.223432678675143,0.148502635161208,1.50457046390183
"SPEI_z:SPEI_timescaleSPEI_48:coast_regionPacific Coast",0.260761640055201,0.150784679929804,1.72936428406782
"SPEI_z:SPEI_timescaleSPEI_3:coast_regionGulf Coast",-0.78135986371297,0.335249070240889,-2.33068465529683
"SPEI_z:SPEI_timescaleSPEI_6:coast_regionGulf Coast",-0.294202571822603,0.34471486572242,-0.85346644742472
"SPEI_z:SPEI_timescaleSPEI_12:coast_regionGulf Coast",-0.363035461686527,0.327464512123006,-1.10862535708956
"SPEI_z:SPEI_timescaleSPEI_24:coast_regionGulf Coast",-0.085888803666258,0.324138666626616,-0.264975495087094
"SPEI_z:SPEI_timescaleSPEI_36:coast_regionGulf Coast",0.151440638668659,0.335671408836813,0.451157395839698
"SPEI_z:SPEI_timescaleSPEI_48:coast_regionGulf Coast",0.889507519856742,0.345370872868665,2.57551400460744
"SPEI_z:SPEI_timescaleSPEI_3:coast_regionAK Coast",0.394713683567564,0.231969834239297,1.70157333112711
"SPEI_z:SPEI_timescaleSPEI_6:coast_regionAK Coast",0.388561833833791,0.238047174981477,1.63228920428913
"SPEI_z:SPEI_timescaleSPEI_12:coast_regionAK Coast",0.357247102122087,0.263766072555367,1.35440884667643
"SPEI_z:SPEI_timescaleSPEI_24:coast_regionAK Coast",0.268988018378231,0.265460694880504,1.01328755467665
"SPEI_z:SPEI_timescaleSPEI_36:coast_regionAK Coast",0.452886653207483,0.259197094555338,1.74726747606653
"SPEI_z:SPEI_timescaleSPEI_48:coast_regionAK Coast",0.372486920070348,0.248160162023286,1.50099402351049
