"SPEI_timescale","coast_region","near_normal_WUE_T","dry_decrease_threshold","dry_increase_threshold","wet_decrease_threshold","wet_increase_threshold","min_predicted_pct_change","max_predicted_pct_change"
"SPEI_1","Atlantic Coast",4.41263325689937,NA,NA,NA,NA,-0.0223741884823796,0.0221230769727458
"SPEI_1","Pacific Coast",5.15109157306019,NA,-1.78260745270594,NA,NA,-2.3219343499629,12.1330930275683
"SPEI_1","Gulf Coast",7.89087292096851,NA,-1.3374950976977,1.33317903235173,NA,-14.3521113645744,16.1975822016691
"SPEI_1","AK Coast",6.87314498700085,NA,NA,NA,NA,-0.0525076942577601,0.0323143198319304
"SPEI_3","Atlantic Coast",4.41543858740597,NA,NA,NA,NA,-3.65428600912003,2.97154651208656
"SPEI_3","Pacific Coast",5.21194474817021,NA,NA,NA,NA,-1.30739192746112,3.55181374170226
"SPEI_3","Gulf Coast",7.88368967445371,-2.05652274809562,-1.0293403903843,NA,1.50437609197029,-25.660283049488,54.2845135447713
"SPEI_3","AK Coast",6.68673289940874,NA,NA,NA,1.50437609197029,-3.76307022986147,13.8357040553563
"SPEI_6","Atlantic Coast",4.41012777050408,NA,NA,NA,NA,-2.76512539112934,3.10040727103413
"SPEI_6","Pacific Coast",5.20226574016828,NA,NA,NA,NA,-1.61729417174299,5.86996401658458
"SPEI_6","Gulf Coast",7.87428018348138,NA,-1.0293403903843,1.02502432503834,NA,-10.6146116686623,32.7159737343627
"SPEI_6","AK Coast",6.73690635931215,NA,NA,NA,1.67557315158884,-4.89758681073301,11.6816181279921
"SPEI_12","Atlantic Coast",4.4168961236952,NA,NA,NA,NA,-1.60073938098021,0.609879297709676
"SPEI_12","Pacific Coast",5.22660749263688,NA,NA,NA,NA,-0.0134544274014516,0.0160669344498769
"SPEI_12","Gulf Coast",7.73891463574451,NA,-1.0293403903843,1.02502432503834,NA,-15.8395901571765,42.2448589149483
"SPEI_12","AK Coast",6.7244754164514,NA,NA,NA,NA,-9.6035913873223,8.5572934774442
"SPEI_24","Atlantic Coast",4.40992410885951,NA,NA,NA,NA,-3.28514978089122,3.68306896021616
"SPEI_24","Pacific Coast",5.23104121510474,NA,NA,NA,NA,-0.597903500084413,0.502410141266898
"SPEI_24","Gulf Coast",7.87519781662073,NA,-1.0293403903843,1.26470020850431,NA,-10.9384382513057,31.0171508632287
"SPEI_24","AK Coast",6.71772721501263,-1.64564980501109,NA,NA,NA,-11.9664578519633,5.12459075241449
"SPEI_36","Atlantic Coast",4.4123016952391,NA,NA,NA,NA,-4.85377547455949,5.42997993608838
"SPEI_36","Pacific Coast",5.22662718546622,NA,NA,NA,NA,-0.0068965686343948,0.00345056061840884
"SPEI_36","Gulf Coast",7.91668619733761,NA,-1.47445274539254,1.47013668004658,NA,-13.2155518060669,14.9030957183349
"SPEI_36","AK Coast",6.65548275301101,-2.02228333617191,NA,NA,NA,-10.7964715214142,9.50601410724907
"SPEI_48","Atlantic Coast",4.43748799314323,NA,NA,NA,NA,-8.72284037491204,3.66703896984132
"SPEI_48","Pacific Coast",5.22657942521927,NA,NA,NA,NA,-0.00162893125695489,0.00132925723523111
"SPEI_48","Gulf Coast",7.86664566185794,NA,NA,NA,NA,-0.0194994201629083,0.0066495126920517
"SPEI_48","AK Coast",6.72328770584405,NA,NA,NA,NA,-7.592741338259,6.73891273621848
