"term","npar","AIC","LRT","Pr(Chi)"
"<none>",NA,55805.714532433,NA,NA
"SPEI_z",1,55830.1278898253,26.4133573922809,2.75627820076235e-07
"SPEI_timescale",6,55793.7561181108,0.0415856777617591,0.999998524901648
"water_class",2,55805.3491442715,3.63461183854815,0.162462849912167
"month_f",10,55972.9845317553,187.2699993223,7.22981590890445e-35
