"site_name","water_class","coast_region","SPEI_timescale","month_f","baseline_WUE_T","baseline_sd_WUE_T","baseline_n"
"US-Atq","Freshwater","AK Coast","SPEI_36","5",0.814339900389989,1.08004061862751,4
"US-Atq","Freshwater","AK Coast","SPEI_36","6",1.87899710592822,2.16442946463873,6
"US-Atq","Freshwater","AK Coast","SPEI_36","7",1.80445653537018,1.58139371632618,8
"US-Atq","Freshwater","AK Coast","SPEI_36","8",2.13198869228564,1.37511570058356,7
"US-Atq","Freshwater","AK Coast","SPEI_48","5",1.06940827636576,1.16592124446312,3
"US-Atq","Freshwater","AK Coast","SPEI_48","6",1.97283452694987,2.09218319045092,6
"US-Atq","Freshwater","AK Coast","SPEI_48","7",1.98067288447702,1.81150797428308,6
"US-Atq","Freshwater","AK Coast","SPEI_48","8",2.0638502568535,1.49336262119129,6
"US-Brw","Upland","AK Coast","SPEI_1","6",2.23676153806633,2.39992808585727,5
"US-Brw","Upland","AK Coast","SPEI_1","7",2.30389273628562,0.339586646167345,4
"US-Brw","Upland","AK Coast","SPEI_1","8",3.52934663246243,1.11535660234112,8
"US-Brw","Upland","AK Coast","SPEI_3","6",1.85649198787028,2.29293648972488,6
"US-Brw","Upland","AK Coast","SPEI_3","7",2.52733030371725,0.600451259203308,7
"US-Brw","Upland","AK Coast","SPEI_3","8",3.80730275862737,0.854556844279993,7
"US-Brw","Upland","AK Coast","SPEI_6","6",2.4066034880876,2.26087306387308,5
"US-Brw","Upland","AK Coast","SPEI_6","7",2.39568220211793,0.357250320868964,5
"US-Brw","Upland","AK Coast","SPEI_6","8",3.52934663246243,1.11535660234112,8
"US-Brw","Upland","AK Coast","SPEI_12","6",1.92439473919138,2.2343976440952,8
"US-Brw","Upland","AK Coast","SPEI_12","7",2.69386948553943,0.797242854702718,6
"US-Brw","Upland","AK Coast","SPEI_12","8",3.32572677837454,1.03169148601462,7
"US-Brw","Upland","AK Coast","SPEI_24","6",1.94124556605774,2.09069887387941,9
"US-Brw","Upland","AK Coast","SPEI_24","7",2.59975046081578,0.769202320708471,7
"US-Brw","Upland","AK Coast","SPEI_24","8",3.32572677837454,1.03169148601462,7
"US-Brw","Upland","AK Coast","SPEI_36","6",1.94124556605774,2.09069887387941,9
"US-Brw","Upland","AK Coast","SPEI_36","7",2.59975046081578,0.769202320708471,7
"US-Brw","Upland","AK Coast","SPEI_36","8",3.52934663246243,1.11535660234112,8
"US-Brw","Upland","AK Coast","SPEI_48","6",1.94124556605774,2.09069887387941,9
"US-Brw","Upland","AK Coast","SPEI_48","7",2.73451475358346,0.807736916062348,8
"US-Brw","Upland","AK Coast","SPEI_48","8",3.52934663246243,1.11535660234112,8
"US-BWb","Upland","Atlantic Coast","SPEI_1","4",4.86173625136974,NA,1
"US-BWb","Upland","Atlantic Coast","SPEI_1","5",8.38276372845264,NA,1
"US-BWb","Upland","Atlantic Coast","SPEI_1","6",4.83404679559734,NA,1
"US-BWb","Upland","Atlantic Coast","SPEI_1","7",4.68721083081428,0.524687404431401,2
"US-BWb","Upland","Atlantic Coast","SPEI_1","8",3.91456460108346,NA,1
"US-BWb","Upland","Atlantic Coast","SPEI_1","9",2.8775220093122,NA,1
"US-BWb","Upland","Atlantic Coast","SPEI_3","5",8.38276372845264,NA,1
"US-BWb","Upland","Atlantic Coast","SPEI_3","6",3.64741592430362,NA,1
"US-BWb","Upland","Atlantic Coast","SPEI_3","7",4.31620080913767,NA,1
"US-BWb","Upland","Atlantic Coast","SPEI_3","8",3.91456460108346,NA,1
"US-BWb","Upland","Atlantic Coast","SPEI_3","9",2.8775220093122,NA,1
"US-BWb","Upland","Atlantic Coast","SPEI_6","9",2.8775220093122,NA,1
"US-BWb","Upland","Atlantic Coast","SPEI_24","5",8.38276372845264,NA,1
"US-BWb","Upland","Atlantic Coast","SPEI_24","6",3.64741592430362,NA,1
"US-BWb","Upland","Atlantic Coast","SPEI_24","7",4.31620080913767,NA,1
"US-BWb","Upland","Atlantic Coast","SPEI_48","5",8.38276372845264,NA,1
"US-BWb","Upland","Atlantic Coast","SPEI_48","6",3.64741592430362,NA,1
"US-BWb","Upland","Atlantic Coast","SPEI_48","7",4.31620080913767,NA,1
"US-BWb","Upland","Atlantic Coast","SPEI_48","8",3.91456460108346,NA,1
"US-CAK","Upland","AK Coast","SPEI_1","4",0.650432987002107,NA,1
"US-CAK","Upland","AK Coast","SPEI_1","6",2.50438179948228,NA,1
"US-CAK","Upland","AK Coast","SPEI_1","7",6.47778129856253,NA,1
"US-CAK","Upland","AK Coast","SPEI_3","4",0.650432987002107,NA,1
"US-CAK","Upland","AK Coast","SPEI_3","6",2.50438179948228,NA,1
"US-CAK","Upland","AK Coast","SPEI_3","7",6.47778129856253,NA,1
"US-CAK","Upland","AK Coast","SPEI_6","4",0.650432987002107,NA,1
"US-CAK","Upland","AK Coast","SPEI_6","7",6.47778129856253,NA,1
"US-Ced","Upland","Atlantic Coast","SPEI_1","4",3.17589034406036,NA,1
"US-Ced","Upland","Atlantic Coast","SPEI_1","5",3.14980743628771,0.380680925689842,7
"US-Ced","Upland","Atlantic Coast","SPEI_1","6",3.43476641066242,0.592940200570463,6
"US-Ced","Upland","Atlantic Coast","SPEI_1","7",2.99473654977154,0.247669795063848,8
"US-Ced","Upland","Atlantic Coast","SPEI_1","8",3.23377207168598,0.388304307684549,5
