"site_name","water_class","coast_region","SPEI_timescale","n_months","baseline_WUE_T","mean_abs_pct_change","max_abs_pct_change","pct_months_decrease_10","pct_months_increase_10","pct_months_impacted_10","dry_threshold_observed","wet_threshold_observed"
"US-SO3","Upland","Gulf Coast","SPEI_12",19,2.5261884510128,69.8911208360256,278.998340659689,52.6315789473684,42.1052631578947,94.7368421052632,NA,1.57239947348029
"US-Slt","Upland","Atlantic Coast","SPEI_12",85,2.0122297567935,65.3194914538827,168.32880579022,43.5294117647059,52.9411764705882,96.4705882352941,NA,1.01587163280857
"US-Esm","Freshwater","Atlantic Coast","SPEI_12",50,0.801324684592263,51.30365909156,179.896220508292,48,44,92,-1.06612007186946,1.27087664662248
"US-Cms","Upland","AK Coast","SPEI_12",19,1.2732581199234,45.5245066869777,220.362741551118,57.8947368421053,36.8421052631579,94.7368421052632,-1.12659286397155,1.26235481678277
"US-Brw","Upland","AK Coast","SPEI_12",25,2.69386948553943,44.8227813628313,230.05582646353,44,32,76,-1.12659286397155,NA
"US-SCg","Upland","Gulf Coast","SPEI_12",29,7.5745667134241,42.9674920995996,151.649515950925,44.8275862068966,41.3793103448276,86.2068965517241,-1.62849211022977,1.05817705656398
"US-SCs","Upland","Gulf Coast","SPEI_12",12,7.68065493496878,37.8771813784165,83.5859900661468,50,41.6666666666667,91.6666666666667,NA,1.08169590235306
"US-SO2","Upland","Gulf Coast","SPEI_12",25,5.63933839704006,37.5859280732017,122.282781038404,64,24,88,NA,1.55856116308084
"US-xBA","Freshwater","AK Coast","SPEI_12",18,5.37078037211636,36.6758841331546,83.4636353078963,55.5555555555556,33.3333333333333,88.8888888888889,NA,1.03118871566819
"US-xSE","Upland","Atlantic Coast","SPEI_12",45,5.1340431828789,36.5486602623988,92.0926392931028,44.4444444444444,42.2222222222222,86.6666666666667,-1.06272765921208,1.03550474303271
"US-A10","Saline","AK Coast","SPEI_12",31,3.87602384365723,34.1502794913858,82.3277951914438,51.6129032258064,29.0322580645161,80.6451612903226,-1.06337424459278,1.05206521717226
"US-KS2","Upland","Atlantic Coast","SPEI_12",47,3.55961878128872,29.2559736345938,71.2926920536006,46.8085106382979,38.2978723404255,85.1063829787234,-1.07865924323154,1.08671350796074
"US-LA2","Freshwater","Atlantic Coast","SPEI_12",14,5.50388733691423,27.7127180303324,55.9222227744842,57.1428571428571,28.5714285714286,85.7142857142857,-1.6413780430433,1.56497116382171
"US-Twt","Upland","Pacific Coast","SPEI_12",32,2.08325890177979,26.9774927419306,140.223550732195,28.125,40.625,68.75,-2.48156831591934,1.03475007689949
"US-Elm","Freshwater","Atlantic Coast","SPEI_12",43,0.72460968497776,25.066399875746,92.2852480727911,39.5348837209302,30.2325581395349,69.7674418604651,-1.00177690759637,1.31957040213139
"US-xSB","Upland","Atlantic Coast","SPEI_12",26,5.49795691015083,24.276540027501,88.156815551632,42.3076923076923,38.4615384615385,80.7692307692308,-1.15583652830919,2.0268919479044
"US-EDN","Saline","Pacific Coast","SPEI_12",44,1.35801825862049,23.7264605623608,113.420713909023,29.5454545454545,38.6363636363636,68.1818181818182,-1.04668780283711,NA
"US-KS4","Saline","Atlantic Coast","SPEI_12",28,8.05634758910428,23.6282740334213,81.099269195866,39.2857142857143,32.1428571428571,71.4285714285714,NA,1.36467691573758
"US-A03","Saline","AK Coast","SPEI_12",18,3.20648244586985,22.0010522244362,61.1855055574133,33.3333333333333,38.8888888888889,72.2222222222222,NA,NA
"US-NC4","Freshwater","Atlantic Coast","SPEI_12",78,2.5655059814906,20.1179320188787,80.9872058909615,39.7435897435897,33.3333333333333,73.0769230769231,-1.47085926429652,1.04504065613013
"US-NGC","Upland","AK Coast","SPEI_12",17,6.02293125340637,19.4361931603567,45.8648573212406,47.0588235294118,23.5294117647059,70.5882352941177,-1.21036415516807,1.35058707074019
"US-Skr","Saline","Atlantic Coast","SPEI_12",95,2.90576538673186,18.5428114112764,63.6876154933188,47.3684210526316,23.1578947368421,70.5263157894737,-1.11929049154617,1.17009891143165
"US-HB2","Upland","Atlantic Coast","SPEI_12",42,3.49574534942973,18.4204449043659,66.76022773313,26.1904761904762,40.4761904761905,66.6666666666667,NA,NA
"US-Dix","Upland","Atlantic Coast","SPEI_12",6,3.62434930264907,18.2533415111365,30.6734708820795,33.3333333333333,33.3333333333333,66.6666666666667,NA,NA
"US-MRf","Upland","Pacific Coast","SPEI_12",41,10.9993613607447,18.1990736025909,49.1677908822476,39.0243902439024,29.2682926829268,68.2926829268293,-1.10062259958826,1.08131103491153
