"model","AIC","BIC","logLik","deviance_explained","adjusted_r_squared"
"ecosystem_smooth_gam",55467.758958322,56263.8158221356,-27627.4643365063,0.57858749586098,0.575302519321731
"coast_threshold_gam",55347.653737182,56361.1224009501,-27538.3485914309,0.584280451942988,0.580260337683297
