"site_name","water_class","coast_region","SPEI_timescale","n_months","SPEI_slope","SPEI_cor","mean_WUE_T"
"US-BWb","Upland","Atlantic Coast","SPEI_1",10,0.201115293870878,0.087486380819843,5.02621062602486
"US-BWb","Upland","Atlantic Coast","SPEI_3",10,-1.16367126765349,-0.400889059677285,5.02621062602486
"US-BWb","Upland","Atlantic Coast","SPEI_6",10,-0.852182322012198,-0.386032551841953,5.02621062602486
"US-BWb","Upland","Atlantic Coast","SPEI_12",10,0.303163403300003,0.0542010837488715,5.02621062602486
"US-BWb","Upland","Atlantic Coast","SPEI_24",10,-0.283051110952548,-0.160546265552602,5.02621062602486
"US-BWb","Upland","Atlantic Coast","SPEI_36",10,-0.344941165209941,-0.0839472370927495,5.02621062602486
"US-BWb","Upland","Atlantic Coast","SPEI_48",10,0.0348661921268558,0.0264864702687902,5.02621062602486
"US-CAK","Upland","AK Coast","SPEI_1",4,1.13877478368076,0.384673601839581,3.97081785172519
"US-CAK","Upland","AK Coast","SPEI_3",4,1.8160464258915,0.692871242874565,3.97081785172519
"US-CAK","Upland","AK Coast","SPEI_6",4,0.798069720772487,0.218077059796374,3.97081785172519
"US-CAK","Upland","AK Coast","SPEI_12",4,-6.75752538754836,-0.603588132890809,3.97081785172519
"US-CAK","Upland","AK Coast","SPEI_24",4,-9.5478814756356,-0.98630254692214,3.97081785172519
"US-CAK","Upland","AK Coast","SPEI_36",4,3.21387020606892,0.470187870540936,3.97081785172519
"US-CAK","Upland","AK Coast","SPEI_48",4,5.81681327821567,0.590533154313636,3.97081785172519
"US-Ced","Upland","Atlantic Coast","SPEI_1",59,0.080455434371056,0.164027989543648,3.2341464192182
"US-Ced","Upland","Atlantic Coast","SPEI_3",59,0.0341991474310003,0.0730656074417327,3.2341464192182
"US-Ced","Upland","Atlantic Coast","SPEI_6",59,0.0462268852557503,0.0914727120711044,3.2341464192182
"US-Ced","Upland","Atlantic Coast","SPEI_12",59,0.053027983479894,0.0889306602834953,3.2341464192182
"US-Ced","Upland","Atlantic Coast","SPEI_24",59,0.114403191252689,0.175567676167096,3.2341464192182
"US-Ced","Upland","Atlantic Coast","SPEI_36",59,-0.0706008704729122,-0.101803094168576,3.2341464192182
"US-Ced","Upland","Atlantic Coast","SPEI_48",59,-0.0193901048008719,-0.0321180424725957,3.2341464192182
"US-CGG","Upland","Pacific Coast","SPEI_1",17,-1.87603983462502,-0.646412087641875,5.64940248466461
"US-CGG","Upland","Pacific Coast","SPEI_3",17,-0.763396884958007,-0.350203992802132,5.64940248466461
"US-CGG","Upland","Pacific Coast","SPEI_6",17,-1.79676721184508,-0.684772329432493,5.64940248466461
"US-CGG","Upland","Pacific Coast","SPEI_12",17,-2.10956297861845,-0.745895252188181,5.64940248466461
"US-CGG","Upland","Pacific Coast","SPEI_24",17,-1.6235762627475,-0.537184141840745,5.64940248466461
"US-CGG","Upland","Pacific Coast","SPEI_36",17,-0.637830676367163,-0.150003105001873,5.64940248466461
"US-CGG","Upland","Pacific Coast","SPEI_48",17,0.0646650255501906,0.00956975753697171,5.64940248466461
"US-Cms","Upland","AK Coast","SPEI_1",19,0.575735641665069,0.329332619877704,2.75350769914211
"US-Cms","Upland","AK Coast","SPEI_3",19,0.428480825415589,0.186176883991653,2.75350769914211
"US-Cms","Upland","AK Coast","SPEI_6",19,0.238926422157711,0.108295399502295,2.75350769914211
"US-Cms","Upland","AK Coast","SPEI_12",19,0.526498909580034,0.220505670772314,2.75350769914211
"US-Cms","Upland","AK Coast","SPEI_24",19,0.535818412863085,0.165248448399784,2.75350769914211
"US-Cms","Upland","AK Coast","SPEI_36",19,0.519138078414096,0.147394465605383,2.75350769914211
"US-Cms","Upland","AK Coast","SPEI_48",19,0.732838313114918,0.226525831851672,2.75350769914211
"US-Dix","Upland","Atlantic Coast","SPEI_1",15,-0.0900512595683819,-0.118422036398406,3.8934935319271
"US-Dix","Upland","Atlantic Coast","SPEI_3",15,-0.394219963788322,-0.454956055821615,3.8934935319271
"US-Dix","Upland","Atlantic Coast","SPEI_6",15,-0.403800327618088,-0.429665271417497,3.8934935319271
"US-Dix","Upland","Atlantic Coast","SPEI_12",15,-0.430901136712577,-0.468027097293794,3.8934935319271
"US-Dix","Upland","Atlantic Coast","SPEI_24",15,-0.751697253768316,-0.623058012333899,3.8934935319271
"US-Dix","Upland","Atlantic Coast","SPEI_36",15,-0.431101566975718,-0.313290688451185,3.8934935319271
"US-Dix","Upland","Atlantic Coast","SPEI_48",15,0.123828753312947,0.0871260916812481,3.8934935319271
"US-Dmg","Freshwater","Pacific Coast","SPEI_1",26,0.0112444597656917,0.0302335094139365,2.59753699439085
"US-Dmg","Freshwater","Pacific Coast","SPEI_3",26,-0.041398317099177,-0.11109770176678,2.59753699439085
"US-Dmg","Freshwater","Pacific Coast","SPEI_6",26,-0.122507193890504,-0.305246453710956,2.59753699439085
"US-Dmg","Freshwater","Pacific Coast","SPEI_12",26,-0.0495264615480649,-0.0608637061459467,2.59753699439085
"US-Dmg","Freshwater","Pacific Coast","SPEI_24",26,0.0233313790588264,0.0594399715599417,2.59753699439085
"US-Dmg","Freshwater","Pacific Coast","SPEI_36",26,-0.02257911585026,-0.064368510555633,2.59753699439085
"US-Dmg","Freshwater","Pacific Coast","SPEI_48",26,-0.132892981496493,-0.162889413710808,2.59753699439085
"US-EDN","Saline","Pacific Coast","SPEI_1",44,-0.157138272067153,-0.223441478724818,2.54164553318792
"US-EDN","Saline","Pacific Coast","SPEI_3",44,-0.078780895443637,-0.113804712012454,2.54164553318792
"US-EDN","Saline","Pacific Coast","SPEI_6",44,0.0329564132766606,0.0526036887173873,2.54164553318792
"US-EDN","Saline","Pacific Coast","SPEI_12",44,0.112590667252685,0.180881041789439,2.54164553318792
"US-EDN","Saline","Pacific Coast","SPEI_24",44,-0.0271106364743801,-0.0456616784270739,2.54164553318792
"US-EDN","Saline","Pacific Coast","SPEI_36",44,-0.13636907965978,-0.193224160309886,2.54164553318792
"US-EDN","Saline","Pacific Coast","SPEI_48",44,-0.237535178415902,-0.298285981765507,2.54164553318792
"US-EKH","Saline","Pacific Coast","SPEI_1",15,-0.336451826315567,-0.250907358345537,3.52748812015632
"US-EKH","Saline","Pacific Coast","SPEI_3",15,-0.280499703911678,-0.266458113369112,3.52748812015632
"US-EKH","Saline","Pacific Coast","SPEI_6",15,0.0595635291689055,0.0398814444453087,3.52748812015632
"US-EKH","Saline","Pacific Coast","SPEI_12",15,0.474037191665432,0.253700960047806,3.52748812015632
"US-EKH","Saline","Pacific Coast","SPEI_24",15,0.193105441548053,0.134376938903729,3.52748812015632
"US-EKH","Saline","Pacific Coast","SPEI_36",15,0.060364651060552,0.0320997053647136,3.52748812015632
"US-EKH","Saline","Pacific Coast","SPEI_48",15,0.145095443382494,0.0443220748615785,3.52748812015632
"US-EKN","Saline","Pacific Coast","SPEI_1",7,0.0343007303938406,0.235942324207129,0.504991234955292
"US-EKN","Saline","Pacific Coast","SPEI_3",7,0.253224603979694,0.687612468381675,0.504991234955292
"US-EKN","Saline","Pacific Coast","SPEI_6",7,0.129091079585408,0.124511347076061,0.504991234955292
"US-EKN","Saline","Pacific Coast","SPEI_12",7,0.329885741224398,0.746563436395873,0.504991234955292
