"SPEI_timescale","water_class","n_sites","mean_slope","median_slope","sd_slope","se_slope","ci95_slope","pct_negative"
"SPEI_1","Upland",28,-0.338569992273206,-0.00412350188935454,2.29002308167493,0.432773683622115,0.88797825078544,50
"SPEI_1","Freshwater",18,-0.329879305958434,0.0302493158927713,1.68656554339193,0.397527310882669,0.838709313114443,38.8888888888889
"SPEI_1","Saline",15,-0.022276670558807,0.0343007303938406,0.560944906071517,0.144835351956991,0.310640934817245,46.6666666666667
"SPEI_3","Upland",28,-0.945365875937113,-0.0996303844070571,2.78645135430587,0.526589808848033,1.08047303946191,57.1428571428571
"SPEI_3","Freshwater",18,0.230480198366847,0.000862566639671055,2.06092367235308,0.485764368076248,1.02487323092362,50
"SPEI_3","Saline",15,0.0219405171863146,0.08138994381682,0.504426368945712,0.130242328420975,0.279342012200725,40
"SPEI_6","Upland",28,-0.548677349911943,-0.00137550069508756,3.40230462337156,0.642975136994745,1.31927600742391,50
"SPEI_6","Freshwater",18,0.173952952497273,-0.0125090255854854,2.85948875239042,0.673987962513977,1.42199030258412,55.5555555555556
"SPEI_6","Saline",15,0.210717471037485,0.129091079585408,0.755881534268754,0.195167772928573,0.418593241287768,26.6666666666667
"SPEI_12","Upland",28,-3.47258689430999,0.00080240674803024,18.3008218577783,3.45853024455546,7.09631789794892,50
"SPEI_12","Freshwater",18,0.511950777554643,-0.0336420886694398,4.3770302433524,1.0316759221777,2.17664593188605,61.1111111111111
"SPEI_12","Saline",15,0.0261116864757669,0.109358606069505,0.607601485175538,0.15688202888105,0.336478487117613,40
"SPEI_24","Upland",28,-0.441606709847086,-0.265466410388019,8.58043009603809,1.62154886972077,3.3271434548572,60.7142857142857
"SPEI_24","Freshwater",18,-3.88125524107034,-0.14661429792007,13.0840347754867,3.08393657167576,6.50653741997138,61.1111111111111
"SPEI_24","Saline",15,0.0994773819651263,0.0614380435101185,0.55736346901841,0.14391062888618,0.308657601084958,40
"SPEI_36","Upland",28,-0.897390896339306,-0.0861043336327906,9.96648212709186,1.88348808246108,3.86459832502058,57.1428571428571
"SPEI_36","Freshwater",18,-1.98392619342799,0.0270788446814015,9.70294475948367,2.28700601230313,4.82516091135559,44.4444444444444
"SPEI_36","Saline",15,0.125547195750572,0.126992276304828,1.10394223826887,0.285036660266018,0.611342834507106,33.3333333333333
"SPEI_48","Upland",28,-6.86990573412305,0.085367674672717,42.0011647342293,7.93747404727336,16.2863514739658,35.7142857142857
"SPEI_48","Freshwater",18,-0.267956218093632,0.0536660670638276,2.20100580236402,0.518782042760844,1.09453443531702,44.4444444444444
"SPEI_48","Saline",15,-0.367237858230462,-0.00783965556706056,1.04505444928699,0.269831898531232,0.578731863945374,53.3333333333333
