"SPEI_timescale","coast_region","n_sites","mean_slope","median_slope","sd_slope","se_slope","ci95_slope","pct_negative"
"SPEI_1","Atlantic Coast",27,0.0230645384778525,0.0311031651796849,0.510118362468708,0.0981723246299599,0.201796103336887,44.4444444444444
"SPEI_1","Pacific Coast",18,-0.708918204437739,-0.035817049566371,2.73387688406791,0.644380961217857,1.35952499003664,50
"SPEI_1","Gulf Coast",5,-0.402635160583597,-0.600852978591969,0.972358363820197,0.434851879998487,1.20734237370786,80
"SPEI_1","AK Coast",11,-0.145543309580765,0.561558371479208,2.27640042300734,0.686360552338332,1.5293066131358,27.2727272727273
"SPEI_3","Atlantic Coast",27,-0.111114511446506,-0.0014899267588742,0.587249929001998,0.113016301530297,0.232308334842066,51.8518518518518
"SPEI_3","Pacific Coast",18,-0.582792703087057,-0.0231254966138514,2.76833750867414,0.652503408332185,1.37666185548858,55.5555555555556
"SPEI_3","Gulf Coast",5,-3.28834321620173,-2.00709413364154,2.93897323651699,1.31434878818091,3.64921725946755,100
"SPEI_3","AK Coast",11,0.721780304344557,0.428480825415589,2.67112188009298,0.805373549597919,1.79448409622122,18.1818181818182
"SPEI_6","Atlantic Coast",27,0.237138127704384,0.0396043867125283,1.57837792256265,0.303758972824836,0.624385510893371,48.1481481481481
"SPEI_6","Pacific Coast",18,-0.985139006489059,-0.0598666328293136,3.69062326480138,0.869888245781964,1.83530377192488,50
"SPEI_6","Gulf Coast",5,-1.09616412101027,-1.23643277816663,0.745062899960758,0.333202258365076,0.925117779278567,80
"SPEI_6","AK Coast",11,0.703594789710441,0.387377264450275,3.74432244264814,1.12895569421554,2.51547004445277,18.1818181818182
"SPEI_12","Atlantic Coast",27,0.487289144163451,0.0408522767037692,2.83413299152978,0.545429148526306,1.12114567148974,48.1481481481481
"SPEI_12","Pacific Coast",18,-5.5185862246762,-0.0434505748919511,22.4411126466067,5.2894209765956,11.1597027741397,61.1111111111111
"SPEI_12","Gulf Coast",5,-1.43678089863536,-1.70407292165836,1.0263055707485,0.458977804376071,1.27432667835437,80
"SPEI_12","AK Coast",11,0.521455081579605,0.523302503874979,6.11437446580971,1.84355326643823,4.10769265865722,27.2727272727273
"SPEI_24","Atlantic Coast",27,1.25912098208953,0.00302394599534789,6.82606846093111,1.31367748780846,2.70030274907271,48.1481481481481
"SPEI_24","Pacific Coast",18,-2.09642631365983,-0.18390596533239,5.71536289454647,1.34712395322526,2.84218310178706,66.6666666666667
"SPEI_24","Gulf Coast",5,-1.85837483715538,-1.16649615937868,2.67297653623035,1.1953914474546,3.31893873308063,80
"SPEI_24","AK Coast",11,-6.15492183366101,0.254539462195711,16.8165250113745,5.07037306730512,11.2974952253273,45.4545454545455
"SPEI_36","Atlantic Coast",27,0.860938655216115,0.0534983635528257,4.88184786709274,0.939512060069599,1.93119469743307,48.1481481481481
"SPEI_36","Pacific Coast",18,-2.32943909186384,-0.0286623031548499,10.8601641460273,2.55976523748498,5.400632573642,55.5555555555556
"SPEI_36","Gulf Coast",5,-1.23986842205269,-0.499262203123446,1.87671887173216,0.839294194369965,2.33025425777941,80
"SPEI_36","AK Coast",11,-3.09731877908801,0.675731339172847,12.3428563995734,3.72151122896563,8.29204375736151,18.1818181818182
"SPEI_48","Atlantic Coast",27,0.876692169208047,0.0348661921268558,5.6082952777109,1.0793169294271,2.21856772206303,40.7407407407407
"SPEI_48","Pacific Coast",18,-12.4076118052269,-0.00429714984673315,51.6284751874071,12.1689483024457,25.6742366943482,50
"SPEI_48","Gulf Coast",5,-0.731483453547027,0.357339949550375,2.5957329527104,1.16084706673934,3.22302815633166,40
"SPEI_48","AK Coast",11,0.0576909853285105,0.654223582851508,3.16728575628145,0.95497258703842,2.12781152376215,36.3636363636364
