"site_name","Year","month","NEE","GPP","Reco","ET","NEP","IGBP","water_class","WUE","WUE_tra","WUE_eva","CUE","Tair_f","VPD_f","Rg_f","avg_length","avg_sos","avg_eos","lat","long","climate","NETRAD_f","WS","WD","H_f","PAR_f","RH","PA","precip_mm","Evap_pen","Trans_pen","Evap_ratio","Trans_ratio","lai","coast_region","month_f","WUE_T","SPEI_timescale","SPEI_value","SPEI_z","spei_ecosystem","spei_coast","baseline_WUE_T","baseline_sd_WUE_T","baseline_n","WUE_T_change","WUE_T_pct_change","impact_class_10pct"
"US-A03",2015,6,-21.2241869301886,32.0446943318687,12.9194812733745,34.8067374467081,19.1252130584942,"BSV","Saline",0.920646308230748,3.63957047453673,1.23238344138164,0.596829317840425,8.20438487439583,6.90000932995662,270.731872135417,70,158,227,70.4953,-149.8823,"Tundra",164.631057167977,3.78129331597222,35.4676617334482,72.113424049767,577.256574305556,35.0546607291667,101.242636848958,8.04,26.0022110455679,8.80452640114013,0.747045341017076,0.252954658982922,0.477083333333333,"AK Coast","6",3.63957047453673,"SPEI_1",-0.250404030876904,-0.296012995581514,"SPEI_1__Saline","SPEI_1__AK Coast",3.50224907285247,1.00526052619116,5,0.137321401684254,3.9209490481044,"No meaningful change"
"US-A03",2015,7,-69.6725562278243,100.626277068997,40.1384714267002,21.4939117306577,60.487805642297,"BSV","Saline",NA,15.8008665517353,NA,0.601113420909151,5.03221711360215,5.21512658532669,211.630531048387,70,158,227,70.4953,-149.8823,"Tundra",136.068530485738,4.46814482526882,30.8329400296437,84.2277649832784,450.994347244624,31.0121618951613,101.425926344086,1.64,15.1255092927581,6.36840243789958,0.703711333809188,0.29628866619081,0.659677419354839,"AK Coast","7",15.8008665517353,"SPEI_1",-0.771681108434527,-0.788308840602072,"SPEI_1__Saline","SPEI_1__AK Coast",11.0092877302341,3.39211888149897,4,4.79157882150122,43.5230592469884,"WUE increase"
"US-A03",2016,6,-17.9100250364016,38.7908761453754,20.5577488455633,35.5432937718666,18.2331272998121,"BSV","Saline",1.09136976427546,3.33996701237972,1.62107243262964,0.470036490835638,5.00850802216083,5.87625682893039,246.967106083333,70,158,227,70.4953,-149.8823,"Tundra",154.897871251089,4.55882541666667,15.4144849581034,82.7325702355567,529.5116925,33.7543254583333,101.323187625,23.86,23.9291442902712,11.6141494815953,0.673239358284001,0.326760641715997,0.393,"AK Coast","6",3.33996701237972,"SPEI_1",1.21948423730048,1.09215448429046,"SPEI_1__Saline","SPEI_1__AK Coast",3.50224907285247,1.00526052619116,5,-0.16228206047275,-4.63365274990498,"No meaningful change"
"US-A03",2016,7,-79.0273330927425,109.190980166833,34.3372862741664,38.7605924407906,74.8536938926668,"BSV","Saline",2.81706169310053,7.75659106147569,4.42365940533258,0.685530011529319,7.64942716174731,6.48626289063294,214.976891733871,70,158,227,70.4953,-149.8823,"Tundra",129.486911697097,4.59060359543011,9.78142830102463,75.3854810633204,436.794773645451,33.3399024193548,101.189300705645,18.45,24.6834057873459,14.0771866534446,0.636817041046301,0.363182958953696,0.670161290322581,"AK Coast","7",7.75659106147569,"SPEI_1",-1.16375957242196,-1.15858907553475,"SPEI_1__Saline","SPEI_1__AK Coast",11.0092877302341,3.39211888149897,4,-3.25269666875843,-29.5450236969078,"WUE decrease"
"US-A03",2017,6,94.5920696884745,67.8343331085212,209.904384348924,44.8283436423353,-142.070051240403,"BSV","Saline",1.51320186286025,2.87678793707406,3.19243570153372,NA,4.10537740293142,4.74359732854881,270.406310677083,70,158,227,70.4953,-149.8823,"Tundra",176.393119941971,5.89789088541667,42.6851115560815,131.187033903418,597.747210245699,39.1023485987103,101.453523226687,0,21.2484571187862,23.5798865235491,NA,NA,0.245833333333333,"AK Coast","6",2.87678793707406,"SPEI_1",-0.795633376750576,-0.81092944426655,"SPEI_1__Saline","SPEI_1__AK Coast",3.50224907285247,1.00526052619116,5,-0.625461135778413,-17.8588422116133,"WUE decrease"
"US-A03",2017,7,-6.11209097960552,64.1295904069126,92.5477793080727,25.8101119457248,-28.41818890116,"BSV","Saline",2.48466920801306,9.90780959340655,3.31633623203919,NA,8.75819949677419,6.46578342708068,207.688770497312,70,158,227,70.4953,-149.8823,"Tundra",128.579067140871,4.75233649193548,46.3270046357805,86.9769797831303,461.764440053763,37.5120298387097,101.251220698925,19.66,19.3374814614259,6.47263048429893,0.749221138679675,0.250778861320323,0.658064516129032,"AK Coast","7",9.90780959340655,"SPEI_1",-0.0793113825681002,-0.134432516595889,"SPEI_1__Saline","SPEI_1__AK Coast",11.0092877302341,3.39211888149897,4,-1.10147813682756,-10.0049900031465,"WUE decrease"
"US-A03",2018,7,-32.2867986664388,71.2647534303238,30.6167631326288,36.161460864721,40.647990297695,"BSV","Saline",1.97073767835108,10.4943705200654,2.4263892847724,0.570380003313096,8.50684166230511,7.01022276251176,189.875690793011,70,158,227,70.4953,-149.8823,"Tundra",117.619312961742,4.07757402553763,358.444491843288,53.637504374583,425.128758508422,32.9798888776882,101.356326680108,39.53,29.370700685817,6.79076017890396,0.812210015399874,0.187789984600124,0.358064516129032,"AK Coast","7",10.4943705200654,"SPEI_1",0.598347914505307,0.505551228424843,"SPEI_1__Saline","SPEI_1__AK Coast",11.0092877302341,3.39211888149897,4,-0.514917210168697,-4.67711647461636,"No meaningful change"
"US-A03",2019,6,-25.8307245085509,32.6118187990194,10.2953733636908,27.185117450035,22.3164454353286,"BSV","Saline",1.19962030176837,3.97000051510766,1.71907566803386,0.684305452966629,3.54801826471267,4.80458224725472,242.75594140625,70,158,227,70.4953,-149.8823,"Tundra",156.470862045397,4.16922313368056,30.6464508973714,91.4900925177485,530.510655555556,33.8132181857639,101.876942274306,14.54,18.9705545866507,8.21456286338418,0.697828678559795,0.302171321440203,0.201041666666667,"AK Coast","6",3.97000051510766,"SPEI_1",0.808188625825573,0.703725509908965,"SPEI_1__Saline","SPEI_1__AK Coast",3.50224907285247,1.00526052619116,5,0.467751442255187,13.3557446236746,"WUE increase"
"US-A03",2019,7,-79.1997471794621,99.0726871301481,38.4028773444693,38.1670077142824,60.6698097856788,"BSV","Saline",2.59576773405462,7.83410425572915,3.88205587176388,0.61237674623662,9.20015562365591,7.07887501314486,176.037581384409,70,158,227,70.4953,-149.8823,"Tundra",110.850675388797,4.12653760080645,51.9560834028692,54.9801476828534,376.829722379032,36.7787359879032,101.180244254032,29.33,25.5206752305532,12.6463324837291,0.668658004882137,0.331341995117861,0.638709677419355,"AK Coast","7",7.83410425572915,"SPEI_1",0.887346387903712,0.778482369648086,"SPEI_1__Saline","SPEI_1__AK Coast",11.0092877302341,3.39211888149897,4,-3.17518347450496,-28.8409527692255,"WUE decrease"
"US-A03",2020,6,-40.1688991546564,39.1587584274952,7.12031962063272,25.8659844981275,32.0384388068624,"BSV","Saline",1.51390945240573,4.81880014729281,2.20740344106599,0.818167891256908,3.56359495742083,4.23804652257619,260.768938666667,70,158,227,70.4953,-149.8823,"Tundra",162.107772474517,4.26853758333333,46.0646772241567,105.834742900571,570.665164703485,39.0690551666667,101.095489916667,6.44,17.739737874371,8.12624662375644,0.685832695664657,0.314167304335341,0.291,"AK Coast","6",4.81880014729281,"SPEI_1",-0.337731962168077,-0.378485790913922,"SPEI_1__Saline","SPEI_1__AK Coast",3.50224907285247,1.00526052619116,5,1.31655107444034,37.591588920546,"WUE increase"
