"SPEI_timescale","water_class","n_months","n_sites","mean_SPEI","min_SPEI","max_SPEI","mean_WUE_T"
"SPEI_1","Upland",793,29,0.0134800660871852,-2.33872939239001,2.70576396742857,4.72963006034556
"SPEI_1","Freshwater",629,20,0.0500793116982605,-4.70855801652176,2.69561989108851,3.07502116609407
"SPEI_1","Saline",450,15,-0.0493242309408593,-3.14812151132683,1.96575532033173,3.66209104181693
"SPEI_3","Upland",793,29,-0.0027900293603557,-2.62327877143672,2.67904269344093,4.72963006034556
"SPEI_3","Freshwater",629,20,0.106019507241031,-4.7534243088229,3.03292237171466,3.07502116609407
"SPEI_3","Saline",450,15,-0.0236348383803342,-4.7534243088229,2.34454707868554,3.66209104181693
"SPEI_6","Upland",793,29,-0.0795872216638765,-3.39240376123629,2.1984485739645,4.72963006034556
"SPEI_6","Freshwater",629,20,0.164384171678536,-3.2888356593731,3.36290470839415,3.07502116609407
"SPEI_6","Saline",450,15,0.00452757917001238,-3.24901968767283,2.41021954530091,3.66209104181693
"SPEI_12","Upland",793,29,-0.00031944937967071,-2.49144811933305,2.33405630857138,4.72963006034556
"SPEI_12","Freshwater",629,20,0.221750298886592,-4.7534243088229,3.22570213886938,3.07502116609407
"SPEI_12","Saline",450,15,0.0137231176531995,-2.51806802750694,2.31229617374055,3.66209104181693
"SPEI_24","Upland",793,29,-0.0103602030059227,-3.03752310041276,2.50171591844755,4.72963006034556
"SPEI_24","Freshwater",629,20,0.237559002230124,-2.46915627582881,3.59355221952683,3.07502116609407
"SPEI_24","Saline",450,15,0.0772723009441682,-2.55769354801683,2.13256701352225,3.66209104181693
"SPEI_36","Upland",793,29,0.0404594975951124,-2.94582739282698,3.11170156639335,4.72963006034556
"SPEI_36","Freshwater",629,20,0.258812474647581,-2.32918726406476,2.78330793346978,3.07502116609407
"SPEI_36","Saline",450,15,0.0600995836617141,-2.44921473323749,2.14954075495486,3.66209104181693
"SPEI_48","Upland",793,29,0.0709935371200607,-2.72401560529552,2.69126965796563,4.72963006034556
"SPEI_48","Freshwater",629,20,0.212351548235233,-2.90025015604088,2.39815439309445,3.07502116609407
"SPEI_48","Saline",450,15,-0.0518128398895155,-3.268865122765,2.00646554737339,3.66209104181693
