"SPEI_timescale","coast_region","near_normal_WUE_T","dry_decrease_threshold","dry_increase_threshold","wet_decrease_threshold","wet_increase_threshold","min_predicted_pct_change","max_predicted_pct_change"
"SPEI_1","Atlantic Coast",4.40407807674474,NA,NA,NA,NA,-2.27714456553721,2.58280155419992
"SPEI_1","Pacific Coast",5.21908094817507,NA,NA,NA,NA,-5.41568485592722,6.1426224204812
"SPEI_1","Gulf Coast",7.87720549403542,NA,-1.21108921845733,1.22335450353983,NA,-15.7283362981566,17.8395223784461
"SPEI_1","AK Coast",6.83065248046865,NA,NA,NA,NA,-2.879740407219,2.53894272589131
"SPEI_3","Atlantic Coast",4.4031937543214,NA,NA,NA,NA,-5.32301961851395,6.03751889616684
"SPEI_3","Pacific Coast",5.22298902340177,NA,NA,NA,NA,-3.83238593189033,4.34680015093605
"SPEI_3","Gulf Coast",7.94946339739766,NA,-1.00608343134178,1.01834871642428,NA,-34.9938350253813,39.6909940891908
"SPEI_3","AK Coast",6.73904960454054,-1.72360368624621,NA,NA,1.73586897132871,-12.639676132826,11.1438564721366
"SPEI_6","Atlantic Coast",4.40047563472377,NA,NA,NA,NA,-4.69099765274574,5.32066176720828
"SPEI_6","Pacific Coast",5.22698995396369,NA,NA,NA,NA,-4.86911895041151,5.52269196388956
"SPEI_6","Gulf Coast",7.97259615021711,NA,-1.00608343134178,1.01834871642428,NA,-23.5247402499846,26.6824235050161
"SPEI_6","AK Coast",6.74877030131466,-1.67235223946732,NA,NA,1.68461752454982,-12.9049113826838,11.3777029350289
"SPEI_12","Atlantic Coast",4.40415927940079,NA,NA,NA,NA,-3.57392880457091,4.05365079176163
"SPEI_12","Pacific Coast",5.2266640362951,NA,NA,NA,NA,-1.71881867229926,1.94953258804412
"SPEI_12","Gulf Coast",8.00280858478947,NA,-1.00608343134178,1.01834871642428,NA,-24.3740915783515,27.6457817230967
"SPEI_12","AK Coast",6.66092894501964,-1.67235223946732,NA,NA,1.68461752454982,-12.948491514263,11.4161256545869
"SPEI_24","Atlantic Coast",4.40042976120896,NA,NA,NA,NA,-5.08884774431066,5.77191455562753
"SPEI_24","Pacific Coast",5.23397305115455,NA,NA,NA,NA,-2.82980217997775,3.20964139876671
"SPEI_24","Gulf Coast",7.94817403096647,NA,-1.00608343134178,1.01834871642428,NA,-19.0918412714601,21.6545045293743
"SPEI_24","AK Coast",6.6792239104395,NA,NA,NA,NA,-9.08101613467691,8.00633966903465
"SPEI_36","Atlantic Coast",4.40388028796018,NA,NA,NA,NA,-6.36002234057914,7.21371661448236
"SPEI_36","Pacific Coast",5.2279477229959,NA,NA,NA,NA,-1.14013690996548,1.29317542137025
"SPEI_36","Gulf Coast",7.90591305020943,NA,-1.31359211201511,1.32585739709761,NA,-14.4918122698402,16.4370219704899
"SPEI_36","AK Coast",6.57925428202474,-1.56984934590955,NA,NA,1.58211463099205,-13.9668895158474,12.314003182611
"SPEI_48","Atlantic Coast",4.39706874909994,NA,NA,NA,NA,-6.88923399284905,7.81396338786234
"SPEI_48","Pacific Coast",5.22409120636247,NA,NA,NA,NA,-0.289794412080403,0.328692990883134
"SPEI_48","Gulf Coast",7.85698175987961,NA,NA,NA,NA,-2.34107755582119,2.06402695749916
"SPEI_48","AK Coast",6.64416061733231,-1.97986092014065,NA,NA,NA,-10.966004197528,9.66825222148921
