"term","Estimate","Std. Error","t value"
"(Intercept)",5.44510842939685,0.633067573809359,8.6011488420296
"SPEI_z",-0.194706061689914,0.0787907987335503,-2.47117766058393
"SPEI_timescaleSPEI_3",-0.0135571242342398,0.100547141240433,-0.134833512589098
"SPEI_timescaleSPEI_6",-0.0343517194159438,0.101001604021921,-0.340110632386475
"SPEI_timescaleSPEI_12",-0.00563969982651909,0.100542517698356,-0.0560926855187685
"SPEI_timescaleSPEI_24",-0.0140722489233031,0.100576593162752,-0.139915744615962
"SPEI_timescaleSPEI_36",0.00340912472235779,0.10044056142338,0.0339417131290967
"SPEI_timescaleSPEI_48",0.0106346975976645,0.100429313106579,0.105892366169811
"water_classFreshwater",-1.26112903019937,0.888221129655262,-1.4198367817357
"water_classSaline",-1.69978095706879,0.97146968222146,-1.74970046742159
"month_f2",0.825937892769979,0.299381166941497,2.7588171333816
"month_f3",0.181127839817066,0.285614509348602,0.634168902098715
"month_f4",0.0935581681833259,0.283279256545584,0.330268334237424
"month_f5",0.262549344716326,0.283013726197625,0.92769120510074
"month_f6",-0.315574712488083,0.283465252725904,-1.11327476455545
"month_f7",0.0407911595572716,0.28453115354246,0.143362718104555
"month_f8",0.306875052886436,0.284868692098621,1.07725089277342
"month_f9",0.160700133958748,0.286055808913844,0.56177895694175
"month_f10",0.536881698932313,0.290763574642263,1.84645445906647
"month_f11",0.288584218681404,0.854670309177564,0.337655603081736
"SPEI_z:SPEI_timescaleSPEI_3",-0.169955415195063,0.111402185631487,-1.52560216149858
"SPEI_z:SPEI_timescaleSPEI_6",-0.127982929289086,0.111757047697852,-1.14518888898266
"SPEI_z:SPEI_timescaleSPEI_12",-0.0518487832043316,0.112489859995974,-0.460919617165382
"SPEI_z:SPEI_timescaleSPEI_24",-0.139775004342483,0.111395462672576,-1.2547638924336
"SPEI_z:SPEI_timescaleSPEI_36",-0.0727882861804475,0.110992747077756,-0.655793176552842
"SPEI_z:SPEI_timescaleSPEI_48",-0.00785783543432643,0.112686680205449,-0.0697317146977808
"SPEI_z:water_classFreshwater",0.14201591237238,0.114252816607837,1.24299703577408
"SPEI_z:water_classSaline",0.159938573503103,0.121895502033413,1.31209577740827
"SPEI_timescaleSPEI_3:water_classFreshwater",0.0130984111814488,0.151058654116243,0.0867107631673279
"SPEI_timescaleSPEI_6:water_classFreshwater",0.0397593693981106,0.151513593796748,0.262414535896013
"SPEI_timescaleSPEI_12:water_classFreshwater",0.0120469747082051,0.151354563820114,0.0795943934833901
"SPEI_timescaleSPEI_24:water_classFreshwater",0.0253353772397719,0.1514685787395,0.167264903722009
"SPEI_timescaleSPEI_36:water_classFreshwater",0.00778298187050409,0.15155672657191,0.0513535891579925
"SPEI_timescaleSPEI_48:water_classFreshwater",-0.00527720115936705,0.151303444899816,-0.0348782617795734
"SPEI_timescaleSPEI_3:water_classSaline",0.0157193521080057,0.167357840549937,0.0939265949916177
"SPEI_timescaleSPEI_6:water_classSaline",0.0435386541959762,0.167555154081136,0.259846702029192
"SPEI_timescaleSPEI_12:water_classSaline",0.011609898242595,0.16725488557665,0.0694144042642891
"SPEI_timescaleSPEI_24:water_classSaline",0.0162834231550284,0.16722522469311,0.097374204070657
"SPEI_timescaleSPEI_36:water_classSaline",0.000677818399495289,0.167137054184247,0.0040554645575366
"SPEI_timescaleSPEI_48:water_classSaline",-0.000446021302050309,0.167431195794654,-0.0026639080007368
"SPEI_z:SPEI_timescaleSPEI_3:water_classFreshwater",0.249826604956876,0.158540729494687,1.5757881634148
"SPEI_z:SPEI_timescaleSPEI_6:water_classFreshwater",0.130910872306064,0.159321657415247,0.821676565696683
"SPEI_z:SPEI_timescaleSPEI_12:water_classFreshwater",0.0660938078747723,0.154625218357342,0.427445203162322
"SPEI_z:SPEI_timescaleSPEI_24:water_classFreshwater",0.128041076654523,0.154586315994134,0.828282088431308
"SPEI_z:SPEI_timescaleSPEI_36:water_classFreshwater",0.0684323213352957,0.156214109044267,0.438067481573665
"SPEI_z:SPEI_timescaleSPEI_48:water_classFreshwater",0.0271273725925732,0.157594124036557,0.172134416548935
"SPEI_z:SPEI_timescaleSPEI_3:water_classSaline",0.186066668706869,0.170188082355022,1.09330022485783
"SPEI_z:SPEI_timescaleSPEI_6:water_classSaline",0.262247227890058,0.173695915367133,1.50980653365255
"SPEI_z:SPEI_timescaleSPEI_12:water_classSaline",0.135594393690541,0.174081586233197,0.778912902993087
"SPEI_z:SPEI_timescaleSPEI_24:water_classSaline",0.28447343022713,0.17381555231424,1.63663968177504
"SPEI_z:SPEI_timescaleSPEI_36:water_classSaline",0.251000792375523,0.175848014903012,1.42737347654428
"SPEI_z:SPEI_timescaleSPEI_48:water_classSaline",0.102548260829009,0.172896161222382,0.593120518720539
